Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.20118515099966316,54.5,954.76171875,16.2939453125
1.0,2.0,0.02475211299952207,50.0,954.80078125,16.2939453125
1.0,3.0,0.022137756999654812,50.0,954.83203125,16.2939453125
1.0,4.0,0.009344375000182481,100.0,954.8515625,16.2939453125
1.0,5.0,0.012646305999624019,33.3,954.85546875,16.2939453125
1.0,6.0,0.009643317000154639,50.0,954.8671875,16.2939453125
1.0,7.0,0.01140923599996313,50.0,954.8828125,16.2939453125
1.0,8.0,0.009378460000334599,50.0,954.90234375,16.2939453125
1.0,9.0,0.011895018999894091,50.0,954.9296875,16.2939453125
1.0,10.0,0.012883078999948339,50.0,954.95703125,16.2939453125
1.0,11.0,0.011799363999671186,50.0,954.96875,16.2939453125
1.0,12.0,0.014358714000081818,66.7,955.0234375,16.2939453125
1.0,13.0,0.011837099999866041,33.3,955.03515625,16.2939453125
1.0,14.0,0.027452377999907185,60.0,955.0703125,16.2939453125
1.0,15.0,0.03705956999965565,50.0,955.1171875,16.2939453125
1.0,16.0,0.016092666999611538,33.3,955.140625,16.2939453125
1.0,17.0,0.009306963000199175,50.0,955.1484375,16.2939453125
1.0,18.0,0.011750714000299922,66.7,955.171875,16.2939453125
1.0,19.0,0.009471063000091817,50.0,955.1953125,16.2939453125
1.0,20.0,0.009255732000383432,50.0,955.22265625,16.2939453125
1.0,21.0,0.011092132999692694,50.0,955.2578125,16.2939453125
1.0,22.0,0.01104654099981417,33.3,955.27734375,16.2939453125
1.0,23.0,0.0091587740007526,50.0,955.2890625,16.2939453125
1.0,24.0,0.009369434000291221,50.0,955.30078125,16.2939453125
1.0,25.0,0.015180626999608648,66.7,955.3203125,16.2939453125
1.0,26.0,0.009414060999915819,50.0,955.33203125,16.2939453125
1.0,27.0,0.02327146800053015,40.0,955.375,16.2939453125
1.0,28.0,0.01120914700004505,50.0,955.40625,16.2939453125
1.0,29.0,0.010941354999886244,50.0,955.41015625,16.2939453125
1.0,30.0,0.024843750999934855,60.0,955.4375,16.2939453125
1.0,31.0,0.02519802200004051,100.0,955.46875,16.294921875
1.0,32.0,0.012056778999976814,50.0,955.48828125,16.294921875
1.0,33.0,0.0099065000003975,50.0,955.515625,16.294921875
1.0,34.0,0.01041755100050068,33.3,955.546875,16.294921875
1.0,35.0,0.009441860999686469,50.0,955.55859375,16.294921875
1.0,36.0,0.02124660700064851,60.0,955.5859375,16.294921875
1.0,37.0,0.009415636000085215,50.0,955.58984375,16.294921875
1.0,38.0,0.011107657000138715,50.0,955.609375,16.294921875
1.0,39.0,0.00936367699978291,50.0,955.6171875,16.294921875
1.0,40.0,0.011957638000239967,50.0,955.65625,16.294921875
1.0,41.0,0.02810193899949809,50.0,955.67578125,16.294921875
1.0,42.0,0.011773139000069932,50.0,955.69140625,16.294921875
1.0,43.0,0.022761580999940634,50.0,955.71875,16.294921875
1.0,44.0,0.018492397000045457,50.0,955.734375,16.294921875
1.0,45.0,0.010344053999688185,50.0,955.7421875,16.294921875
1.0,46.0,0.021503936000044632,50.0,955.7734375,16.294921875
1.0,47.0,0.009951130999979796,50.0,955.7890625,16.294921875
1.0,48.0,0.010272378999616194,50.0,955.8046875,16.294921875
1.0,49.0,0.009337831999800983,50.0,955.8125,16.294921875
1.0,50.0,0.00988924000012048,50.0,955.83203125,16.294921875
1.0,51.0,0.010207371999968018,50.0,955.86328125,16.294921875
1.0,52.0,0.02741829600017809,57.1,955.890625,16.294921875
1.0,53.0,0.011124139999992622,50.0,955.90234375,16.294921875
1.0,54.0,0.009628277000047092,50.0,955.91015625,16.294921875
1.0,55.0,0.01961119600036909,50.0,955.92578125,16.294921875
1.0,56.0,0.012250568999661482,50.0,955.9296875,16.294921875
1.0,57.0,0.02522977799981163,50.0,955.9765625,16.294921875
1.0,58.0,0.012994771999728982,50.0,955.99609375,16.294921875
1.0,59.0,0.009848396000052162,50.0,956.0078125,16.294921875
1.0,60.0,0.00862769000013941,50.0,956.03125,16.294921875
1.0,61.0,0.009871382999335765,50.0,956.0390625,16.294921875
1.0,62.0,0.007982755999364599,50.0,956.05078125,16.294921875
1.0,63.0,0.009730116000355338,50.0,956.078125,16.294921875
1.0,64.0,0.009998215999985405,50.0,956.10546875,16.294921875
1.0,65.0,0.03477060699970025,50.0,956.1328125,16.294921875
1.0,66.0,0.022656228000414558,50.0,956.1640625,16.294921875
1.0,67.0,0.023240696000357275,50.0,956.203125,16.294921875
1.0,68.0,0.01093985499937844,100.0,956.2109375,16.294921875
1.0,69.0,0.012656226999752107,33.3,956.2109375,16.294921875
1.0,70.0,0.02300949500022398,60.0,956.25,16.294921875
1.0,71.0,0.00991926299957413,50.0,956.28125,16.294921875
1.0,72.0,0.023863282000093022,50.0,956.328125,16.294921875
1.0,73.0,0.02860562200021377,50.0,956.3671875,16.294921875
1.0,74.0,0.024018506999709643,50.0,956.390625,16.294921875
1.0,75.0,0.009323238999968453,50.0,956.3984375,16.294921875
1.0,76.0,0.009519858000203385,50.0,956.421875,16.294921875
1.0,77.0,0.00760185699982685,0.0,956.421875,16.294921875
1.0,78.0,0.009905111999614746,50.0,956.46875,16.294921875
1.0,79.0,0.021971564000523358,60.0,956.49609375,16.294921875
1.0,80.0,0.021681679000721488,60.0,956.5234375,16.294921875
1.0,81.0,0.01760563199968601,50.0,956.546875,16.294921875
