Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.017105428999911965,50.8,765.75390625,8.16796875
1.0,2.0,0.011041720000093846,50.0,765.7578125,8.16796875
1.0,3.0,0.004922146000126304,100.0,765.76171875,8.16796875
1.0,4.0,0.007511491000059323,50.0,765.765625,8.16796875
1.0,5.0,0.011026455999854079,50.0,765.76953125,8.16796875
1.0,6.0,0.013003496000010273,33.3,765.77734375,8.16796875
1.0,7.0,0.00939557199990304,50.0,765.78125,8.16796875
1.0,8.0,0.014197318000015002,66.7,765.7890625,8.16796875
1.0,9.0,0.0058435830001144495,0.0,765.79296875,8.16796875
1.0,10.0,0.007462913999916054,50.0,765.796875,8.16796875
1.0,11.0,0.015420580999943923,50.0,765.8046875,8.16796875
1.0,12.0,0.010006502000123874,100.0,765.80859375,8.16796875
1.0,13.0,0.014707667000038782,50.0,765.80859375,8.16796875
1.0,14.0,0.007669969000062338,50.0,765.80859375,8.16796875
1.0,15.0,0.015932775000010224,50.0,765.80859375,8.16796875
1.0,16.0,0.015149214000075517,50.0,765.80859375,8.16796875
1.0,17.0,0.0057548909999241005,0.0,765.80859375,8.16796875
1.0,18.0,0.017222933999846646,100.0,765.80859375,8.16796875
1.0,19.0,0.020762410000088494,80.0,765.80859375,8.16796875
1.0,20.0,0.009667745000115247,50.0,765.80859375,8.16796875
1.0,21.0,0.011632953000116686,50.0,765.80859375,8.16796875
1.0,22.0,0.011078403000055914,50.0,765.80859375,8.16796875
1.0,23.0,0.014170219000106954,50.0,765.80859375,8.16796875
1.0,24.0,0.011380771000176537,50.0,765.80859375,8.16796875
1.0,25.0,0.006897038000033717,50.0,765.80859375,8.16796875
1.0,26.0,0.007087350999881892,0.0,765.80859375,8.16796875
1.0,27.0,0.016084819000070638,50.0,765.80859375,8.16796875
1.0,28.0,0.012873758000068847,50.0,765.80859375,8.16796875
1.0,29.0,0.009866605000070194,66.7,765.80859375,8.16796875
1.0,30.0,0.005742934000181776,0.0,765.80859375,8.16796875
1.0,31.0,0.008320697000044674,50.0,765.80859375,8.16796875
1.0,32.0,0.012918641999931424,50.0,765.80859375,8.16796875
1.0,33.0,0.016411565999987943,50.0,765.80859375,8.16796875
1.0,34.0,0.010709490999943228,50.0,765.80859375,8.16796875
1.0,35.0,0.01797650599996814,50.0,765.80859375,8.16796875
1.0,36.0,0.013694757000166646,50.0,765.80859375,8.16796875
1.0,37.0,0.010323421000066446,50.0,765.80859375,8.16796875
1.0,38.0,0.0096995930000503,100.0,765.80859375,8.16796875
1.0,39.0,0.018919138000001112,50.0,765.80859375,8.16796875
1.0,40.0,0.003785139999990861,0.0,765.80859375,8.16796875
1.0,41.0,0.014024640000116051,66.7,765.80859375,8.16796875
1.0,42.0,0.7565430360000391,22.4,961.14453125,16.2939453125
1.0,43.0,0.005978602000141109,50.0,961.17578125,16.2939453125
1.0,44.0,0.00829562400008399,50.0,961.19140625,16.2939453125
1.0,45.0,0.010679861999960849,50.0,961.203125,16.2939453125
1.0,46.0,0.00972586200009573,50.0,961.2109375,16.2939453125
1.0,47.0,0.007069375999890326,50.0,961.2265625,16.2939453125
1.0,48.0,0.010314040000139357,50.0,961.23828125,16.2939453125
1.0,49.0,0.015039376000004268,66.7,961.28125,16.2939453125
1.0,50.0,0.013859204000027603,33.3,961.3125,16.2939453125
1.0,51.0,0.01723115599997982,50.0,961.3359375,16.2939453125
1.0,52.0,0.013862926000001607,50.0,961.375,16.2939453125
1.0,53.0,0.010180040000022927,50.0,961.40625,16.2939453125
1.0,54.0,0.009297044000049937,50.0,961.4296875,16.2939453125
1.0,55.0,0.008253131000174108,50.0,961.43359375,16.2939453125
1.0,56.0,0.007494403999999122,50.0,961.4453125,16.2939453125
1.0,57.0,0.011160063000033915,50.0,961.46875,16.2939453125
1.0,58.0,0.010368413000151122,50.0,961.48046875,16.2939453125
1.0,59.0,0.012487871999837807,50.0,961.50390625,16.2939453125
1.0,60.0,0.012728099000014481,50.0,961.5234375,16.2939453125
1.0,61.0,0.010873528000047372,50.0,961.53125,16.2939453125
1.0,62.0,0.014187823999918692,66.7,961.55859375,16.2939453125
1.0,63.0,0.004141979999985779,0.0,961.5703125,16.2939453125
1.0,64.0,0.017311301000063395,50.0,961.6171875,16.2939453125
1.0,65.0,0.00645336499997029,100.0,961.6171875,16.2939453125
1.0,66.0,0.00754705000008471,50.0,961.63671875,16.2939453125
1.0,67.0,0.01350225699980001,33.3,961.66015625,16.2939453125
1.0,68.0,0.010458013000061328,50.0,961.6875,16.2939453125
1.0,69.0,0.00855323399991903,50.0,961.703125,16.2939453125
1.0,70.0,0.007878029000039533,100.0,961.72265625,16.2939453125
1.0,71.0,0.007674700000052326,50.0,961.7734375,16.2939453125
1.0,72.0,0.012890640000023268,75.0,961.796875,16.2939453125
1.0,73.0,0.008922821000169279,100.0,961.80078125,16.2939453125
1.0,74.0,0.011900987999979407,100.0,961.81640625,16.2939453125
1.0,75.0,0.01305834100003267,66.7,961.84375,16.2939453125
1.0,76.0,0.02079445599997598,50.0,961.8828125,16.2939453125
1.0,77.0,0.009003730000131327,50.0,961.89453125,16.2939453125
1.0,78.0,0.008592465999981869,50.0,961.91015625,16.2939453125
1.0,79.0,0.009964581000076578,50.0,961.9296875,16.2939453125
1.0,80.0,0.011737647000018114,33.3,961.96875,16.2939453125
1.0,81.0,0.01130669700000908,66.7,961.99609375,16.2939453125
1.0,82.0,0.010943980000092779,50.0,962.01953125,16.2939453125
1.0,83.0,0.016343731999995725,66.7,962.0390625,16.2939453125
1.0,84.0,0.016105616000004375,50.0,962.07421875,16.2939453125
1.0,85.0,0.010018606999892654,50.0,962.1015625,16.2939453125
1.0,86.0,0.012166685000011057,50.0,962.125,16.2939453125
1.0,87.0,0.008796079000148893,66.7,962.14453125,16.2939453125
1.0,88.0,0.008267419000048903,50.0,962.16796875,16.2939453125
1.0,89.0,0.017965101999834587,50.0,962.19140625,16.2939453125
1.0,90.0,0.012675083999965864,50.0,962.19921875,16.2939453125
1.0,91.0,0.013162020999970991,33.3,962.234375,16.2939453125
1.0,92.0,0.007881252000061068,100.0,962.25,16.2939453125
1.0,93.0,0.009648494999964896,33.3,962.265625,16.2939453125
1.0,94.0,0.006123071999809326,100.0,962.265625,16.2939453125
1.0,95.0,0.019405989999995654,50.0,962.29296875,16.2939453125
1.0,96.0,0.009065813999995953,50.0,962.29296875,16.2939453125
1.0,97.0,0.010819861000072706,50.0,962.29296875,16.2939453125
1.0,98.0,0.01141103000009025,33.3,962.3125,16.2939453125
1.0,99.0,0.00991130800002793,50.0,962.33984375,16.2939453125
1.0,100.0,0.01460823000002165,66.7,962.35546875,16.2939453125
2.0,1.0,0.006131320000122287,50.0,962.36328125,16.2939453125
2.0,2.0,0.009177736999845365,50.0,962.375,16.2939453125
2.0,3.0,0.016037608000033288,33.3,962.39453125,16.2939453125
2.0,4.0,0.013953854999954274,66.7,962.41015625,16.2939453125
2.0,5.0,0.01230127300004824,50.0,962.421875,16.2939453125
2.0,6.0,0.003759507000040685,50.0,962.44140625,16.2939453125
2.0,7.0,0.013484390000030544,50.0,962.44921875,16.2939453125
2.0,8.0,0.0076905580001493945,50.0,962.46875,16.2939453125
2.0,9.0,0.013028242000018508,50.0,962.48828125,16.2939453125
2.0,10.0,0.012610505000111516,50.0,962.5,16.2939453125
2.0,11.0,0.013094113000079233,50.0,962.52734375,16.2939453125
2.0,12.0,0.010619779000080598,50.0,962.5390625,16.2939453125
2.0,13.0,0.009542178999936368,50.0,962.5625,16.2939453125
2.0,14.0,0.007569156000045041,50.0,962.5625,16.2939453125
2.0,15.0,0.010923215000048003,66.7,962.59765625,16.2939453125
2.0,16.0,0.0054475860001730325,50.0,962.6015625,16.2939453125
2.0,17.0,0.009646016999795393,50.0,962.61328125,16.2939453125
2.0,18.0,0.006730247000177769,100.0,962.63671875,16.2939453125
2.0,19.0,0.007181803000094078,50.0,962.63671875,16.2939453125
2.0,20.0,0.010972340999842345,50.0,962.6484375,16.2939453125
2.0,21.0,0.011541642000111096,66.7,962.66015625,16.2939453125
2.0,22.0,0.0054087759999674745,0.0,962.66015625,16.2939453125
2.0,23.0,0.013976150999951642,66.7,962.66796875,16.2939453125
2.0,24.0,0.013120256999854973,100.0,962.68359375,16.2939453125
2.0,25.0,0.013195900000027905,66.7,962.69921875,16.2939453125
2.0,26.0,0.009278105000021242,50.0,962.73828125,16.2939453125
2.0,27.0,0.009991869000032239,50.0,962.73828125,16.2939453125
2.0,28.0,0.007961724999859143,50.0,962.7421875,16.2939453125
2.0,29.0,0.008778733000099237,50.0,962.75390625,16.2939453125
2.0,30.0,0.012236942000072304,50.0,962.77734375,16.2939453125
2.0,31.0,0.01802296899995781,50.0,962.80078125,16.2939453125
2.0,32.0,0.01090620999980274,50.0,962.828125,16.2939453125
2.0,33.0,0.008072529999935796,50.0,962.83203125,16.2939453125
2.0,34.0,0.011618920000046273,66.7,962.84375,16.2939453125
2.0,35.0,0.011368060999984664,50.0,962.85546875,16.2939453125
2.0,36.0,0.0073681759999999485,50.0,962.8671875,16.2939453125
2.0,37.0,0.012604152999983853,50.0,962.91015625,16.2939453125
2.0,38.0,0.009182292999867059,50.0,962.94140625,16.2939453125
2.0,39.0,0.005137723999951049,50.0,962.953125,16.2939453125
2.0,40.0,0.009211160000177188,50.0,962.9765625,16.2939453125
2.0,41.0,0.010994483000104083,50.0,962.9765625,16.2939453125
2.0,42.0,0.013846578999846315,66.7,963.00390625,16.2939453125
2.0,43.0,0.007916415999943638,0.0,963.02734375,16.2939453125
2.0,44.0,0.006520172999898932,66.7,963.05078125,16.2939453125
2.0,45.0,0.01154535599994233,66.7,963.05078125,16.2939453125
2.0,46.0,0.005710220999844751,0.0,963.05078125,16.2939453125
2.0,47.0,0.011534656000094401,50.0,963.06640625,16.2939453125
2.0,48.0,0.014200800000025993,100.0,963.109375,16.2939453125
2.0,49.0,0.011297642000045016,50.0,963.1171875,16.2939453125
2.0,50.0,0.010773620999998457,33.3,963.1171875,16.2939453125
2.0,51.0,0.016490152000187663,66.7,963.12109375,16.2939453125
2.0,52.0,0.008739871999978277,50.0,963.13671875,16.2939453125
2.0,53.0,0.008670161000054577,50.0,963.1484375,16.2939453125
2.0,54.0,0.007616611000003104,50.0,963.15625,16.2939453125
2.0,55.0,0.011104185000021971,50.0,963.1796875,16.2939453125
2.0,56.0,0.012788064000005761,33.3,963.1953125,16.2939453125
2.0,57.0,0.00647845700018479,100.0,963.21484375,16.2939453125
2.0,58.0,0.007279039999957604,50.0,963.25,16.2939453125
2.0,59.0,0.012664665000102104,50.0,963.25,16.2939453125
2.0,60.0,0.010983552999960011,66.7,963.30078125,16.2939453125
2.0,61.0,0.007465898999953424,100.0,963.3125,16.2939453125
2.0,62.0,0.023498598000060156,100.0,963.31640625,16.2939453125
2.0,63.0,0.00813130500000625,0.0,963.31640625,16.2939453125
2.0,64.0,0.011409158999867941,66.7,963.33203125,16.2939453125
2.0,65.0,0.008989315999997416,50.0,963.33203125,16.2939453125
2.0,66.0,0.004192785999975968,0.0,963.34375,16.2939453125
2.0,67.0,0.014833050999868647,50.0,963.3515625,16.2939453125
2.0,68.0,0.015257546999919214,33.3,963.37890625,16.2939453125
2.0,69.0,0.007076917999938814,100.0,963.3828125,16.2939453125
2.0,70.0,0.018546476999972583,50.0,963.4453125,16.2939453125
2.0,71.0,0.0076988159999018535,50.0,963.4453125,16.2939453125
2.0,72.0,0.017057971999975052,66.7,963.46875,16.2939453125
2.0,73.0,0.01794304899999588,100.0,963.46875,16.2939453125
2.0,74.0,0.011930656999993516,50.0,963.49609375,16.2939453125
2.0,75.0,0.01625344299986864,50.0,963.5,16.2939453125
2.0,76.0,0.013533081000105085,50.0,963.5078125,16.2939453125
2.0,77.0,0.015500850999842442,66.7,963.53515625,16.2939453125
2.0,78.0,0.013835966999977245,33.3,963.54296875,16.2939453125
2.0,79.0,0.012302657999953226,50.0,963.546875,16.2939453125
2.0,80.0,0.006460857000092801,50.0,963.5625,16.2939453125
2.0,81.0,0.011978864999946381,50.0,963.578125,16.2939453125
2.0,82.0,0.009251000999938697,50.0,963.59375,16.2939453125
2.0,83.0,0.0051331000001937355,50.0,963.625,16.2939453125
2.0,84.0,0.006185069000139265,100.0,963.625,16.2939453125
2.0,85.0,0.006490232000032847,0.0,963.6484375,16.2939453125
2.0,86.0,0.014035730999921725,50.0,963.67578125,16.2939453125
2.0,87.0,0.008193311000013637,50.0,963.67578125,16.2939453125
2.0,88.0,0.009269326000094225,50.0,963.68359375,16.2939453125
2.0,89.0,0.005997486999831381,0.0,963.6875,16.2939453125
2.0,90.0,0.6595647039998767,24.2,1239.14453125,36.7998046875
2.0,91.0,0.0699182970001857,73.3,1239.17578125,36.7998046875
2.0,92.0,0.048005830999954924,50.0,1239.19140625,36.7998046875
2.0,93.0,0.03577953400008482,42.9,1239.20703125,36.7998046875
2.0,94.0,0.039854575000163095,50.0,1239.22265625,36.7998046875
2.0,95.0,0.061555807999866374,57.1,1239.22265625,36.7998046875
2.0,96.0,0.05262580900011926,50.0,1239.23828125,36.7998046875
2.0,97.0,0.06435338699998283,46.2,1239.23828125,36.7998046875
2.0,98.0,0.04651836200014259,55.6,1239.2578125,36.7998046875
2.0,99.0,0.05177305699999124,45.5,1239.26171875,36.7998046875
2.0,100.0,0.07176588300012554,50.0,1239.32421875,36.7998046875
3.0,1.0,0.01762405700014824,50.0,1239.32421875,36.7998046875
3.0,2.0,0.042756568999948286,55.6,1239.38671875,36.7998046875
3.0,3.0,0.052169124999863925,54.5,1239.3984375,36.7998046875
3.0,4.0,0.04372192899995753,44.4,1239.40234375,36.7998046875
3.0,5.0,0.07118062000017744,53.3,1239.41796875,36.7998046875
3.0,6.0,0.047100851999857696,57.1,1239.41796875,36.7998046875
3.0,7.0,0.044480835000058505,54.5,1239.41796875,36.7998046875
3.0,8.0,0.04010500800018235,50.0,1239.53125,36.7998046875
3.0,9.0,0.0330216269999255,50.0,1239.53125,36.7998046875
3.0,10.0,0.057900641999822255,50.0,1239.53125,36.7998046875
3.0,11.0,0.040681025999901976,50.0,1239.53125,36.7998046875
3.0,12.0,0.07088019100001475,71.4,1239.53125,36.7998046875
3.0,13.0,0.05820477999986906,53.8,1239.53125,36.7998046875
