Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.05332528100007039,56.2,746.1875,8.16796875
1.0,2.0,0.04082189400014613,50.0,746.21484375,8.16796875
1.0,3.0,0.05544169799941301,54.5,746.24609375,8.16796875
1.0,4.0,0.040464765000251646,44.4,746.265625,8.16796875
1.0,5.0,0.0774494789993696,53.3,746.29296875,8.16796875
1.0,6.0,0.04867308699977002,50.0,746.30078125,8.16796875
1.0,7.0,0.06091558299976896,50.0,746.3125,8.16796875
1.0,8.0,0.034820971000044665,57.1,746.3203125,8.16796875
1.0,9.0,0.04528538500017021,44.4,746.34765625,8.16796875
1.0,10.0,0.0334435120003036,57.1,746.3671875,8.16796875
1.0,11.0,0.03428283100038243,50.0,746.3828125,8.16796875
1.0,12.0,0.0341033430004245,57.1,746.38671875,8.16796875
1.0,13.0,0.03717624699947919,42.9,746.39453125,8.16796875
1.0,14.0,0.03611658099998749,50.0,746.3984375,8.16796875
1.0,15.0,0.08554208699933952,50.0,746.40234375,8.16796875
1.0,16.0,0.03531344099974376,50.0,746.4140625,8.16796875
1.0,17.0,0.030840852000437735,50.0,746.42578125,8.16796875
1.0,18.0,0.03101647299990873,57.1,746.4375,8.16796875
1.0,19.0,0.030860355000186246,42.9,746.453125,8.16796875
1.0,20.0,0.041284710999207164,50.0,746.453125,8.16796875
1.0,21.0,0.052940266000405245,50.0,746.45703125,8.16796875
1.0,22.0,0.03182125800049107,57.1,746.45703125,8.16796875
1.0,23.0,0.057018249000066135,72.7,746.4609375,8.16796875
1.0,24.0,0.03443570200033719,57.1,746.46875,8.16796875
1.0,25.0,0.041251403000387654,50.0,746.4765625,8.16796875
1.0,26.0,0.03144824500031973,57.1,746.484375,8.16796875
1.0,27.0,0.05290759800027445,45.5,746.484375,8.16796875
1.0,28.0,0.03109857399977045,50.0,746.484375,8.16796875
1.0,29.0,0.04261473499991553,50.0,746.4921875,8.16796875
1.0,30.0,0.06571919199996046,57.1,746.5,8.16796875
1.0,31.0,0.03068813399931969,42.9,746.50390625,8.16796875
1.0,32.0,0.09138008499940042,50.0,746.5234375,8.16796875
1.0,33.0,0.03085718700003781,57.1,746.5234375,8.16796875
1.0,34.0,0.030986314000074344,50.0,746.5234375,8.16796875
1.0,35.0,0.030582599999434024,50.0,746.52734375,8.16796875
1.0,36.0,0.040242409999336815,50.0,746.53515625,8.16796875
1.0,37.0,0.030537923000338196,50.0,746.54296875,8.16796875
1.0,38.0,0.04022715100018104,44.4,746.5546875,8.16796875
1.0,39.0,0.04258317999938299,50.0,746.57421875,8.16796875
1.0,40.0,0.031464155000321625,57.1,746.5859375,8.16796875
1.0,41.0,0.030613326000093366,50.0,746.5859375,8.16796875
1.0,42.0,0.030706618999829516,50.0,746.5859375,8.16796875
1.0,43.0,0.04215243399994506,44.4,746.5859375,8.16796875
1.0,44.0,0.04228619399964373,55.6,746.58984375,8.16796875
1.0,45.0,0.034924775999570556,50.0,746.59375,8.16796875
1.0,46.0,0.061518174999946496,53.8,746.60546875,8.16796875
1.0,47.0,0.030598356999689713,50.0,746.625,8.16796875
1.0,48.0,0.04495912299989868,80.0,746.62890625,8.16796875
1.0,49.0,0.030579864000173984,57.1,746.63671875,8.16796875
1.0,50.0,0.05054691800069122,50.0,746.6484375,8.16796875
1.0,51.0,0.030737296000552305,50.0,746.66015625,8.16796875
1.0,52.0,0.06310508299975481,53.8,746.6875,8.16796875
1.0,53.0,0.03144545599934645,57.1,746.6953125,8.16796875
1.0,54.0,0.06653190099950734,69.2,746.71875,8.16796875
1.0,55.0,0.04196280499945715,77.8,746.73046875,8.16796875
1.0,56.0,0.055179871000291314,100.0,746.73828125,8.16796875
1.0,57.0,0.09235059900038323,100.0,746.765625,8.16796875
1.0,58.0,0.05078231599964056,100.0,746.8046875,8.16796875
1.0,59.0,0.05110613100077899,100.0,746.8203125,8.16796875
1.0,60.0,0.06823462400006974,92.9,746.8359375,8.16796875
1.0,61.0,0.3196648829998594,100.0,956.1328125,16.2939453125
1.0,62.0,0.06252886099991883,100.0,956.15625,16.2939453125
1.0,63.0,0.056798091999553435,100.0,956.16796875,16.2939453125
1.0,64.0,0.0697198739999294,100.0,956.19921875,16.2939453125
1.0,65.0,0.08736608300023363,100.0,956.2265625,16.2939453125
1.0,66.0,0.05334366100032639,100.0,956.23828125,16.2939453125
1.0,67.0,0.05092941100065218,100.0,956.265625,16.2939453125
1.0,68.0,0.04893075499967381,100.0,956.28125,16.2939453125
1.0,69.0,0.048689399999602756,100.0,956.296875,16.2939453125
1.0,70.0,0.054040667000663234,100.0,956.30859375,16.2939453125
1.0,71.0,0.0834665460006363,100.0,956.32421875,16.2939453125
1.0,72.0,0.0844374729995252,100.0,956.34375,16.2939453125
1.0,73.0,0.05068784099967161,100.0,956.37109375,16.2939453125
1.0,74.0,0.0834811719996651,100.0,956.3828125,16.2939453125
1.0,75.0,0.071405300999686,93.3,956.3984375,16.2939453125
1.0,76.0,0.09911752900006832,100.0,956.4296875,16.2939453125
1.0,77.0,0.051824067000779905,100.0,956.44140625,16.2939453125
1.0,78.0,0.05666913200002455,100.0,956.4453125,16.2939453125
1.0,79.0,0.06278454099992814,100.0,956.4609375,16.2939453125
1.0,80.0,0.05701808800040453,100.0,956.484375,16.2939453125
1.0,81.0,0.07359103799990407,100.0,956.51953125,16.2939453125
1.0,82.0,0.07602859700000408,100.0,956.55078125,16.2939453125
1.0,83.0,0.055819264999627194,100.0,956.5625,16.2939453125
1.0,84.0,0.055072586000278534,100.0,956.58203125,16.2939453125
