Epoch,Episodio,Paso,StateIdx,Accion,NextStateIdx,Reward,Done,Epsilon
1,1,1,0,0,0,0.0,False,1.0
1,1,2,0,3,0,0.0,False,0.99981
1,1,3,0,2,1,0.0,False,0.99962
1,1,4,1,2,2,0.0,False,0.99943
1,1,5,2,3,2,0.0,False,0.99924
1,1,6,2,3,2,0.0,False,0.99905
1,1,7,2,1,6,1.0,False,0.99886
1,1,8,6,3,2,0.0,False,0.99867
1,1,9,2,1,6,1.0,False,0.99848
1,1,10,6,3,2,0.0,False,0.99829
1,1,11,2,3,2,0.0,False,0.9981
1,1,12,2,0,1,0.0,False,0.99791
1,1,13,1,0,0,1.0,False,0.99772
1,1,14,0,2,1,0.0,False,0.99753
1,1,15,1,3,1,0.0,False,0.99734
1,1,16,1,2,2,0.0,False,0.99715
1,1,17,2,2,3,0.0,False,0.99696
1,1,18,3,3,3,0.0,False,0.99677
1,1,19,3,3,3,0.0,False,0.99658
1,1,20,3,0,2,0.0,False,0.99639
1,1,21,2,0,1,0.0,False,0.9962
1,1,22,1,1,5,1.0,True,0.99601
1,2,1,0,3,0,0.0,False,0.99582
1,2,2,0,1,4,1.0,False,0.99563
1,2,3,4,0,4,0.0,False,0.99544
1,2,4,4,3,0,1.0,False,0.99525
1,2,5,0,2,1,0.0,False,0.9950600000000001
1,2,6,1,3,1,0.0,False,0.99487
1,2,7,1,1,5,1.0,True,0.99468
1,3,1,0,1,4,1.0,False,0.99449
1,3,2,4,1,8,1.0,True,0.9943
2,1,1,0,1,4,1.0,False,0.99411
2,1,2,4,1,8,0.0,False,0.99392
2,1,3,8,1,12,1.0,True,0.99373
2,2,1,0,1,4,1.0,False,0.99354
2,2,2,4,3,0,1.0,False,0.99335
2,2,3,0,3,0,0.0,False,0.99316
2,2,4,0,1,4,1.0,False,0.99297
2,2,5,4,0,4,0.0,False,0.99278
2,2,6,4,0,4,0.0,False,0.99259
2,2,7,4,1,8,0.0,False,0.9924
2,2,8,8,3,4,0.0,False,0.99221
2,2,9,4,3,0,1.0,False,0.99202
2,2,10,0,0,0,0.0,False,0.99183
2,2,11,0,2,1,0.0,False,0.99164
2,2,12,1,0,0,1.0,False,0.99145
2,2,13,0,3,0,0.0,False,0.99126
2,2,14,0,3,0,0.0,False,0.99107
2,2,15,0,2,1,0.0,False,0.99088
2,2,16,1,3,1,0.0,False,0.99069
2,2,17,1,0,0,1.0,False,0.9905
2,2,18,0,1,4,1.0,False,0.99031
2,2,19,4,0,4,0.0,False,0.99012
2,2,20,4,0,4,0.0,False,0.98993
2,2,21,4,1,8,0.0,False,0.98974
2,2,22,8,2,9,0.0,False,0.98955
2,2,23,9,3,5,0.0,False,0.98936
2,2,24,5,3,1,1.0,False,0.98917
2,2,25,1,2,2,0.0,False,0.98898
2,2,26,2,2,3,0.0,False,0.98879
2,2,27,3,1,7,0.0,False,0.9886
2,2,28,7,0,6,0.0,False,0.98841
2,2,29,6,2,7,0.0,False,0.98822
2,2,30,7,2,7,0.0,False,0.98803
2,2,31,7,2,7,0.0,False,0.98784
2,2,32,7,3,3,0.0,False,0.98765
2,2,33,3,2,3,0.0,False,0.98746
2,2,34,3,0,2,0.0,False,0.98727
2,2,35,2,3,2,0.0,False,0.98708
2,2,36,2,0,1,0.0,False,0.98689
2,2,37,1,0,0,1.0,False,0.9867
2,2,38,0,0,0,0.0,False,0.98651
2,2,39,0,3,0,0.0,False,0.98632
2,2,40,0,2,1,0.0,False,0.98613
2,2,41,1,1,5,0.0,False,0.98594
2,2,42,5,1,9,1.0,False,0.98575
2,2,43,9,1,13,0.0,False,0.98556
2,2,44,13,3,9,0.0,False,0.98537
2,2,45,9,1,13,0.0,False,0.9851800000000001
2,2,46,13,3,9,0.0,False,0.98499
2,2,47,9,3,5,0.0,False,0.9848
2,2,48,5,1,9,1.0,False,0.98461
2,2,49,9,0,8,0.0,False,0.98442
2,2,50,8,0,8,0.0,False,0.98423
2,3,1,0,0,0,0.0,False,0.98404
2,3,2,0,1,4,1.0,False,0.98385
2,3,3,4,0,4,0.0,False,0.98366
2,3,4,4,0,4,0.0,False,0.98347
2,3,5,4,3,0,1.0,False,0.98328
2,3,6,0,2,1,0.0,False,0.98309
2,3,7,1,3,1,0.0,False,0.9829
2,3,8,1,3,1,0.0,False,0.98271
2,3,9,1,0,0,1.0,False,0.98252
2,3,10,0,3,0,0.0,False,0.98233
2,3,11,0,1,4,1.0,False,0.98214
2,3,12,4,0,4,0.0,False,0.98195
2,3,13,4,0,4,0.0,False,0.98176
2,3,14,4,1,8,0.0,False,0.98157
2,3,15,8,1,12,0.0,False,0.98138
2,3,16,12,3,8,0.0,False,0.98119
2,3,17,8,2,9,1.0,True,0.981
3,1,1,0,0,0,0.0,False,0.98081
3,1,2,0,3,0,0.0,False,0.98062
3,1,3,0,2,1,0.0,False,0.98043
3,1,4,1,2,2,0.0,False,0.98024
3,1,5,2,0,1,0.0,False,0.98005
3,1,6,1,3,1,0.0,False,0.97986
3,1,7,1,1,5,1.0,True,0.97967
3,2,1,0,2,1,0.0,False,0.97948
3,2,2,1,3,1,0.0,False,0.97929
3,2,3,1,3,1,0.0,False,0.9791
3,2,4,1,3,1,0.0,False,0.97891
3,2,5,1,3,1,0.0,False,0.97872
3,2,6,1,3,1,0.0,False,0.97853
3,2,7,1,2,2,0.0,False,0.97834
3,2,8,2,3,2,0.0,False,0.97815
3,2,9,2,3,2,0.0,False,0.97796
3,2,10,2,3,2,0.0,False,0.97777
3,2,11,2,1,6,1.0,False,0.97758
3,2,12,6,2,7,0.0,False,0.97739
3,2,13,7,0,6,0.0,False,0.9772
3,2,14,6,2,7,0.0,False,0.97701
3,2,15,7,2,7,0.0,False,0.97682
3,2,16,7,3,3,0.0,False,0.97663
3,2,17,3,0,2,0.0,False,0.97644
3,2,18,2,0,1,0.0,False,0.97625
3,2,19,1,3,1,0.0,False,0.97606
3,2,20,1,0,0,1.0,False,0.97587
3,2,21,0,2,1,0.0,False,0.97568
3,2,22,1,0,0,1.0,False,0.97549
3,2,23,0,3,0,0.0,False,0.9753000000000001
3,2,24,0,3,0,0.0,False,0.97511
3,2,25,0,3,0,0.0,False,0.97492
3,2,26,0,3,0,0.0,False,0.97473
3,2,27,0,3,0,0.0,False,0.97454
3,2,28,0,3,0,0.0,False,0.97435
3,2,29,0,2,1,0.0,False,0.97416
3,2,30,1,0,0,1.0,False,0.97397
3,2,31,0,0,0,0.0,False,0.97378
3,2,32,0,1,4,1.0,False,0.97359
3,2,33,4,1,8,0.0,False,0.9734
3,2,34,8,0,8,0.0,False,0.97321
3,2,35,8,0,8,0.0,False,0.97302
3,2,36,8,1,12,1.0,True,0.97283
3,3,1,0,3,0,0.0,False,0.97264
3,3,2,0,3,0,0.0,False,0.97245
3,3,3,0,0,0,0.0,False,0.97226
3,3,4,0,3,0,0.0,False,0.97207
3,3,5,0,2,1,0.0,False,0.97188
3,3,6,1,1,5,1.0,True,0.97169
4,1,1,0,1,4,1.0,False,0.9715
4,1,2,4,3,0,1.0,False,0.97131
4,1,3,0,3,0,0.0,False,0.97112
4,1,4,0,1,4,1.0,False,0.97093
4,1,5,4,0,4,0.0,False,0.97074
4,1,6,4,3,0,1.0,False,0.97055
4,1,7,0,3,0,0.0,False,0.97036
4,1,8,0,2,1,0.0,False,0.97017
4,1,9,1,3,1,0.0,False,0.96998
4,1,10,1,0,0,1.0,False,0.96979
4,1,11,0,1,4,1.0,False,0.9696
4,1,12,4,1,8,0.0,False,0.96941
4,1,13,8,2,9,0.0,False,0.96922
4,1,14,9,0,8,0.0,False,0.9690300000000001
4,1,15,8,0,8,0.0,False,0.96884
4,1,16,8,2,9,0.0,False,0.96865
4,1,17,9,0,8,0.0,False,0.96846
4,1,18,8,0,8,0.0,False,0.96827
4,1,19,8,2,9,0.0,False,0.96808
4,1,20,9,2,10,0.0,False,0.96789
4,1,21,10,0,9,0.0,False,0.9677
4,1,22,9,1,13,0.0,False,0.96751
4,1,23,13,3,9,0.0,False,0.96732
4,1,24,9,1,13,0.0,False,0.96713
4,1,25,13,1,13,0.0,False,0.96694
4,1,26,13,2,14,0.0,False,0.96675
4,1,27,14,1,14,0.0,False,0.96656
4,1,28,14,3,10,0.0,False,0.96637
4,1,29,10,2,11,0.0,False,0.96618
4,1,30,11,2,11,0.0,False,0.96599
4,1,31,11,2,11,0.0,False,0.9658
4,1,32,11,1,15,1.0,True,0.96561
4,2,1,0,0,0,0.0,False,0.96542
4,2,2,0,2,1,0.0,False,0.96523
4,2,3,1,0,0,1.0,False,0.96504
4,2,4,0,3,0,0.0,False,0.96485
4,2,5,0,3,0,0.0,False,0.96466
4,2,6,0,2,1,0.0,False,0.96447
4,2,7,1,3,1,0.0,False,0.96428
4,2,8,1,3,1,0.0,False,0.96409
4,2,9,1,1,5,0.0,False,0.9639
4,2,10,5,1,9,1.0,False,0.96371
4,2,11,9,0,8,0.0,False,0.96352
4,2,12,8,1,12,1.0,True,0.96333
4,3,1,0,3,0,0.0,False,0.96314
4,3,2,0,2,1,0.0,False,0.96295
4,3,3,1,3,1,0.0,False,0.9627600000000001
4,3,4,1,3,1,0.0,False,0.96257
4,3,5,1,3,1,0.0,False,0.96238
4,3,6,1,0,0,1.0,False,0.96219
4,3,7,0,1,4,1.0,False,0.962
4,3,8,4,3,0,1.0,False,0.96181
4,3,9,0,2,1,0.0,False,0.96162
4,3,10,1,3,1,0.0,False,0.96143
4,3,11,1,1,5,0.0,False,0.96124
4,3,12,5,1,9,1.0,True,0.96105
5,1,1,0,3,0,0.0,False,0.96086
5,1,2,0,3,0,0.0,False,0.96067
5,1,3,0,1,4,1.0,True,0.96048
5,2,1,0,0,0,0.0,False,0.96029
5,2,2,0,2,1,1.0,True,0.9601
5,3,1,0,0,0,0.0,False,0.95991
5,3,2,0,1,4,1.0,False,0.95972
5,3,3,4,1,8,1.0,True,0.95953
6,1,1,0,1,4,1.0,False,0.95934
6,1,2,4,3,0,1.0,False,0.95915
6,1,3,0,0,0,0.0,False,0.95896
6,1,4,0,2,1,0.0,False,0.95877
6,1,5,1,0,0,1.0,False,0.95858
6,1,6,0,2,1,0.0,False,0.95839
6,1,7,1,1,5,0.0,False,0.9582
6,1,8,5,0,4,0.0,False,0.95801
6,1,9,4,0,4,0.0,False,0.95782
6,1,10,4,0,4,0.0,False,0.95763
6,1,11,4,1,8,0.0,False,0.95744
6,1,12,8,3,4,0.0,False,0.95725
6,1,13,4,3,0,1.0,False,0.95706
6,1,14,0,3,0,0.0,False,0.95687
6,1,15,0,3,0,0.0,False,0.95668
6,1,16,0,1,4,1.0,False,0.95649
6,1,17,4,1,8,0.0,False,0.9563
6,1,18,8,0,8,0.0,False,0.95611
6,1,19,8,3,4,0.0,False,0.95592
6,1,20,4,1,8,0.0,False,0.95573
6,1,21,8,3,4,0.0,False,0.9555400000000001
6,1,22,4,0,4,0.0,False,0.95535
6,1,23,4,3,0,1.0,False,0.95516
6,1,24,0,2,1,0.0,False,0.95497
6,1,25,1,3,1,0.0,False,0.95478
6,1,26,1,2,2,1.0,True,0.95459
6,2,1,0,3,0,0.0,False,0.9544
6,2,2,0,3,0,0.0,False,0.95421
6,2,3,0,0,0,0.0,False,0.95402
6,2,4,0,0,0,0.0,False,0.95383
6,2,5,0,0,0,0.0,False,0.95364
6,2,6,0,1,4,1.0,False,0.95345
6,2,7,4,3,0,1.0,False,0.95326
6,2,8,0,3,0,0.0,False,0.95307
6,2,9,0,1,4,1.0,False,0.95288
6,2,10,4,1,8,0.0,False,0.95269
6,2,11,8,0,8,0.0,False,0.9525
6,2,12,8,0,8,0.0,False,0.95231
6,2,13,8,1,12,0.0,False,0.95212
6,2,14,12,2,13,0.0,False,0.95193
6,2,15,13,3,9,0.0,False,0.95174
6,2,16,9,1,13,0.0,False,0.95155
6,2,17,13,0,12,0.0,False,0.95136
6,2,18,12,0,12,0.0,False,0.95117
6,2,19,12,0,12,0.0,False,0.95098
6,2,20,12,0,12,0.0,False,0.95079
6,2,21,12,3,8,0.0,False,0.9506
6,2,22,8,2,9,0.0,False,0.95041
6,2,23,9,1,13,0.0,False,0.95022
6,2,24,13,3,9,0.0,False,0.95003
6,2,25,9,1,13,0.0,False,0.94984
6,2,26,13,3,9,0.0,False,0.94965
6,2,27,9,0,8,0.0,False,0.94946
6,2,28,8,2,9,0.0,False,0.9492700000000001
6,2,29,9,0,8,0.0,False,0.94908
6,2,30,8,3,4,0.0,False,0.94889
6,2,31,4,1,8,0.0,False,0.9487
6,2,32,8,2,9,0.0,False,0.94851
6,2,33,9,3,5,0.0,False,0.94832
6,2,34,5,3,1,1.0,True,0.94813
6,3,1,0,0,0,0.0,False,0.94794
6,3,2,0,1,4,1.0,False,0.94775
6,3,3,4,3,0,1.0,False,0.94756
6,3,4,0,2,1,0.0,False,0.94737
6,3,5,1,0,0,1.0,False,0.94718
6,3,6,0,0,0,0.0,False,0.94699
6,3,7,0,0,0,0.0,False,0.9468
6,3,8,0,2,1,0.0,False,0.94661
6,3,9,1,2,2,0.0,False,0.94642
6,3,10,2,1,6,1.0,False,0.94623
6,3,11,6,1,10,0.0,False,0.94604
6,3,12,10,1,14,0.0,False,0.94585
6,3,13,14,2,15,1.0,True,0.94566
7,1,1,0,2,1,1.0,True,0.94547
7,2,1,0,2,1,0.0,False,0.94528
7,2,2,1,1,5,0.0,False,0.94509
7,2,3,5,0,4,0.0,False,0.9449
7,2,4,4,2,5,0.0,False,0.94471
7,2,5,5,3,1,1.0,False,0.94452
7,2,6,1,1,5,0.0,False,0.94433
7,2,7,5,1,9,0.0,False,0.94414
7,2,8,9,0,8,1.0,True,0.94395
7,3,1,0,3,0,0.0,False,0.94376
7,3,2,0,0,0,0.0,False,0.94357
7,3,3,0,0,0,0.0,False,0.94338
7,3,4,0,1,4,1.0,False,0.94319
7,3,5,4,3,0,1.0,False,0.9430000000000001
7,3,6,0,1,4,1.0,False,0.94281
7,3,7,4,2,5,1.0,True,0.94262
8,1,1,0,1,4,1.0,False,0.94243
8,1,2,4,1,8,1.0,True,0.94224
8,2,1,0,2,1,0.0,False,0.94205
8,2,2,1,0,0,1.0,False,0.94186
8,2,3,0,3,0,0.0,False,0.94167
8,2,4,0,3,0,0.0,False,0.94148
8,2,5,0,0,0,0.0,False,0.94129
8,2,6,0,2,1,0.0,False,0.9411
8,2,7,1,0,0,1.0,False,0.94091
8,2,8,0,0,0,0.0,False,0.94072
8,2,9,0,0,0,0.0,False,0.94053
8,2,10,0,0,0,0.0,False,0.94034
8,2,11,0,1,4,1.0,False,0.94015
8,2,12,4,0,4,0.0,False,0.93996
8,2,13,4,3,0,1.0,False,0.93977
8,2,14,0,0,0,0.0,False,0.93958
8,2,15,0,0,0,0.0,False,0.9393900000000001
8,2,16,0,1,4,1.0,False,0.9392
8,2,17,4,2,5,0.0,False,0.93901
8,2,18,5,0,4,0.0,False,0.93882
8,2,19,4,0,4,0.0,False,0.93863
8,2,20,4,2,5,0.0,False,0.93844
8,2,21,5,0,4,0.0,False,0.93825
8,2,22,4,2,5,0.0,False,0.93806
8,2,23,5,0,4,0.0,False,0.93787
8,2,24,4,1,8,0.0,False,0.93768
8,2,25,8,3,4,0.0,False,0.93749
8,2,26,4,3,0,1.0,False,0.9373
8,2,27,0,0,0,0.0,False,0.93711
8,2,28,0,3,0,0.0,False,0.93692
8,2,29,0,3,0,0.0,False,0.93673
8,2,30,0,1,4,1.0,False,0.93654
8,2,31,4,0,4,0.0,False,0.93635
8,2,32,4,3,0,1.0,False,0.93616
8,2,33,0,1,4,1.0,False,0.93597
8,2,34,4,0,4,0.0,False,0.9357800000000001
8,2,35,4,0,4,0.0,False,0.93559
8,2,36,4,3,0,1.0,False,0.9354
8,2,37,0,0,0,0.0,False,0.93521
8,2,38,0,0,0,0.0,False,0.93502
8,2,39,0,1,4,1.0,False,0.93483
8,2,40,4,0,4,0.0,False,0.93464
8,2,41,4,1,8,0.0,False,0.93445
8,2,42,8,1,12,0.0,False,0.93426
8,2,43,12,0,12,0.0,False,0.93407
8,2,44,12,3,8,0.0,False,0.93388
8,2,45,8,0,8,0.0,False,0.93369
8,2,46,8,2,9,0.0,False,0.9335
8,2,47,9,0,8,0.0,False,0.93331
8,2,48,8,0,8,0.0,False,0.93312
8,2,49,8,3,4,0.0,False,0.93293
8,2,50,4,0,4,0.0,False,0.93274
8,3,1,0,0,0,0.0,False,0.93255
8,3,2,0,0,0,0.0,False,0.93236
8,3,3,0,2,1,0.0,False,0.9321699999999999
8,3,4,1,0,0,1.0,False,0.93198
8,3,5,0,0,0,0.0,False,0.93179
8,3,6,0,1,4,1.0,False,0.9316
8,3,7,4,0,4,0.0,False,0.93141
8,3,8,4,1,8,1.0,True,0.9312199999999999
9,1,1,0,0,0,0.0,False,0.93103
9,1,2,0,0,0,0.0,False,0.93084
9,1,3,0,2,1,0.0,False,0.93065
9,1,4,1,3,1,0.0,False,0.93046
9,1,5,1,0,0,1.0,False,0.93027
9,1,6,0,1,4,1.0,False,0.93008
9,1,7,4,3,0,1.0,False,0.92989
9,1,8,0,1,4,1.0,False,0.9297
9,1,9,4,1,8,0.0,False,0.9295100000000001
9,1,10,8,1,12,1.0,True,0.92932
9,2,1,0,1,4,1.0,True,0.92913
9,3,1,0,1,4,1.0,False,0.92894
9,3,2,4,2,5,0.0,False,0.92875
9,3,3,5,3,1,1.0,True,0.92856
10,1,1,0,2,1,1.0,True,0.92837
10,2,1,0,0,0,0.0,False,0.92818
10,2,2,0,2,1,0.0,False,0.92799
10,2,3,1,1,5,0.0,False,0.9278
10,2,4,5,1,9,0.0,False,0.92761
10,2,5,9,1,13,0.0,False,0.92742
10,2,6,13,2,14,0.0,False,0.92723
10,2,7,14,2,15,1.0,True,0.92704
10,3,1,0,0,0,0.0,False,0.92685
10,3,2,0,3,0,0.0,False,0.92666
10,3,3,0,1,4,1.0,True,0.92647
11,1,1,0,2,1,0.0,False,0.92628
11,1,2,1,0,0,1.0,False,0.92609
11,1,3,0,3,0,0.0,False,0.9259
11,1,4,0,0,0,0.0,False,0.92571
11,1,5,0,3,0,0.0,False,0.92552
11,1,6,0,1,4,1.0,False,0.92533
11,1,7,4,0,4,0.0,False,0.92514
11,1,8,4,2,5,0.0,False,0.92495
11,1,9,5,2,6,0.0,False,0.92476
11,1,10,6,2,7,0.0,False,0.92457
11,1,11,7,2,7,0.0,False,0.92438
11,1,12,7,3,3,0.0,False,0.9241900000000001
11,1,13,3,3,3,0.0,False,0.924
11,1,14,3,0,2,0.0,False,0.92381
11,1,15,2,2,3,0.0,False,0.92362
