Epoch,Episodio,Paso,StateIdx,Accion,NextStateIdx,Reward,Done,Epsilon
1,1,1,0,0,0,0,False,1.0
1,1,2,0,3,0,0,False,0.999981
1,1,3,0,2,1,0,False,0.999962
1,1,4,1,2,2,0,False,0.999943
1,1,5,2,3,2,0,False,0.999924
1,1,6,2,3,2,0,False,0.999905
1,1,7,2,1,6,0,False,0.999886
1,1,8,6,3,2,0,False,0.999867
1,1,9,2,1,6,0,False,0.999848
1,1,10,6,3,2,0,False,0.999829
1,1,11,2,3,2,0,False,0.99981
1,1,12,2,0,1,0,False,0.999791
1,1,13,1,0,0,0,False,0.999772
1,1,14,0,2,1,0,False,0.999753
1,1,15,1,3,1,0,False,0.999734
1,1,16,1,2,2,0,False,0.999715
1,1,17,2,2,3,0,False,0.999696
1,1,18,3,3,3,0,False,0.999677
1,1,19,3,3,3,0,False,0.999658
1,1,20,3,0,2,0,False,0.999639
1,1,21,2,0,1,0,False,0.99962
1,1,22,1,1,5,0,True,0.999601
1,2,1,0,3,0,0,False,0.999582
1,2,2,0,1,4,0,False,0.999563
1,2,3,4,0,4,0,False,0.999544
1,2,4,4,3,0,0,False,0.999525
1,2,5,0,2,1,0,False,0.999506
1,2,6,1,3,1,0,False,0.999487
1,2,7,1,1,5,0,True,0.999468
1,3,1,0,1,4,0,False,0.999449
1,3,2,4,1,8,0,True,0.99943
1,4,1,0,1,4,0,False,0.999411
1,4,2,4,1,8,0,False,0.999392
1,4,3,8,1,12,0,True,0.999373
1,5,1,0,1,4,0,False,0.999354
1,5,2,4,3,0,0,False,0.999335
1,5,3,0,3,0,0,False,0.999316
1,5,4,0,1,4,0,False,0.999297
1,5,5,4,0,4,0,False,0.999278
1,5,6,4,0,4,0,False,0.999259
1,5,7,4,1,8,0,False,0.99924
1,5,8,8,3,4,0,False,0.999221
1,5,9,4,3,0,0,False,0.999202
1,5,10,0,0,0,0,False,0.999183
1,5,11,0,2,1,0,False,0.999164
1,5,12,1,0,0,0,False,0.999145
1,5,13,0,3,0,0,False,0.999126
1,5,14,0,3,0,0,False,0.999107
1,5,15,0,2,1,0,False,0.999088
1,5,16,1,3,1,0,False,0.999069
1,5,17,1,0,0,0,False,0.99905
1,5,18,0,1,4,0,False,0.999031
1,5,19,4,0,4,0,False,0.999012
1,5,20,4,0,4,0,False,0.998993
1,5,21,4,1,8,0,False,0.998974
1,5,22,8,2,9,0,False,0.998955
1,5,23,9,3,5,0,False,0.998936
1,5,24,5,3,1,0,False,0.998917
1,5,25,1,2,2,0,False,0.998898
1,5,26,2,2,3,0,False,0.998879
1,5,27,3,1,7,0,False,0.99886
1,5,28,7,0,6,0,False,0.998841
1,5,29,6,2,7,0,False,0.998822
1,5,30,7,2,7,0,False,0.998803
1,5,31,7,2,7,0,False,0.998784
1,5,32,7,3,3,0,False,0.998765
1,5,33,3,2,3,0,False,0.998746
1,5,34,3,0,2,0,False,0.998727
1,5,35,2,3,2,0,False,0.998708
1,5,36,2,0,1,0,False,0.998689
1,5,37,1,0,0,0,False,0.99867
1,5,38,0,0,0,0,False,0.998651
1,5,39,0,3,0,0,False,0.998632
1,5,40,0,2,1,0,False,0.998613
1,5,41,1,1,5,0,False,0.998594
1,5,42,5,1,9,0,False,0.998575
1,5,43,9,1,13,0,False,0.998556
1,5,44,13,3,9,0,False,0.998537
1,5,45,9,1,13,0,False,0.998518
1,5,46,13,3,9,0,False,0.998499
1,5,47,9,3,5,0,False,0.99848
1,5,48,5,1,9,0,False,0.998461
1,5,49,9,0,8,0,False,0.998442
1,5,50,8,0,8,0,False,0.998423
1,6,1,0,0,0,0,False,0.998404
1,6,2,0,1,4,0,False,0.998385
