Epoch,Episodio,Estado,Accion,EstadoSig,Reward,RewardAcum,Done
1,1,0,3,0,0,0.0,False
1,1,0,0,0,0,0.0,False
1,1,0,3,0,0,0.0,False
1,1,0,2,1,0,0.0,False
1,1,1,0,0,0,0.0,False
1,1,0,1,4,0,0.0,False
1,1,4,3,0,0,0.0,False
1,1,0,2,1,0,0.0,False
1,1,1,3,1,0,0.0,False
1,1,1,3,1,0,0.0,False
1,1,1,0,0,0,0.0,False
1,1,0,1,4,0,0.0,False
1,1,4,2,5,0,0.0,True
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,1,4,0,0.0,False
1,2,4,0,4,0,0.0,False
1,2,4,3,0,0,0.0,False
1,2,0,0,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,3,0,0,0.0,False
1,2,0,2,1,0,0.0,False
1,2,1,0,0,0,0.0,False
1,2,0,1,4,0,0.0,False
1,2,4,1,8,0,0.0,False
1,2,8,1,12,0,0.0,True
1,3,0,2,1,0,0.0,False
1,3,1,2,2,0,0.0,False
1,3,2,3,2,0,0.0,False
1,3,2,0,1,0,0.0,False
1,3,1,3,1,0,0.0,False
1,3,1,1,5,0,0.0,True
1,4,0,0,0,0,0.0,False
1,4,0,3,0,0,0.0,False
1,4,0,2,1,0,0.0,False
1,4,1,2,2,0,0.0,False
1,4,2,3,2,0,0.0,False
1,4,2,2,3,0,0.0,False
1,4,3,3,3,0,0.0,False
1,4,3,0,2,0,0.0,False
1,4,2,2,3,0,0.0,False
1,4,3,3,3,0,0.0,False
1,4,3,2,3,0,0.0,False
1,4,3,0,2,0,0.0,False
1,4,2,2,3,0,0.0,False
1,4,3,3,3,0,0.0,False
1,4,3,1,7,0,0.0,True
1,5,0,1,4,0,0.0,False
1,5,4,0,4,0,0.0,False
1,5,4,2,5,0,0.0,True
1,6,0,0,0,0,0.0,False
1,6,0,3,0,0,0.0,False
1,6,0,2,1,0,0.0,False
1,6,1,3,1,0,0.0,False
1,6,1,1,5,0,0.0,True
1,7,0,2,1,0,0.0,False
1,7,1,0,0,0,0.0,False
1,7,0,0,0,0,0.0,False
1,7,0,1,4,0,0.0,False
1,7,4,2,5,0,0.0,True
1,8,0,1,4,0,0.0,False
1,8,4,1,8,0,0.0,False
1,8,8,3,4,0,0.0,False
1,8,4,0,4,0,0.0,False
1,8,4,1,8,0,0.0,False
1,8,8,2,9,0,0.0,False
1,8,9,1,13,0,0.0,False
1,8,13,3,9,0,0.0,False
1,8,9,1,13,0,0.0,False
