Epoch,Episodio,Estado,Accion,EstadoSig,Reward,RewardAcum,Done
1,1,0,1,4,0,0.0,False
1,1,4,3,0,0,0.0,False
1,1,0,3,0,0,0.0,False
1,1,0,0,0,0,0.0,False
1,1,0,2,1,0,0.0,True
1,2,0,3,0,0,0.0,False
1,2,0,1,4,0,0.0,False
1,2,4,2,5,0,0.0,False
1,2,5,3,1,0,0.0,False
1,2,1,1,5,0,0.0,False
1,2,5,0,4,0,0.0,False
1,2,4,1,8,0,0.0,False
1,2,8,1,12,0,0.0,False
1,2,12,1,12,0,0.0,False
1,2,12,0,12,0,0.0,False
1,2,12,2,13,0,0.0,False
1,2,13,2,14,0,0.0,False
1,2,14,1,14,0,0.0,False
1,2,14,3,10,0,0.0,False
1,2,10,0,9,0,0.0,False
1,2,9,1,13,0,0.0,False
1,2,13,2,14,0,0.0,False
1,2,14,1,14,0,0.0,False
1,2,14,0,13,0,0.0,False
1,2,13,0,12,0,0.0,False
1,2,12,2,13,0,0.0,False
1,2,13,1,13,0,0.0,False
1,2,13,1,13,0,0.0,False
1,2,13,3,9,0,0.0,False
1,2,9,2,10,0,0.0,False
1,2,10,3,6,0,0.0,False
1,2,6,0,5,0,0.0,False
1,2,5,1,9,0,0.0,False
1,2,9,1,13,0,0.0,False
1,2,13,3,9,0,0.0,False
1,2,9,2,10,0,0.0,False
1,2,10,1,14,0,0.0,False
1,2,14,2,15,1,1.0,True
1,3,0,2,1,0,0.0,True
1,4,0,1,4,0,0.0,False
1,4,4,2,5,0,0.0,False
1,4,5,3,1,0,0.0,False
1,4,1,1,5,0,0.0,False
1,4,5,3,1,0,0.0,False
1,4,1,1,5,0,0.0,False
1,4,5,1,9,0,0.0,True
1,5,0,1,4,0,0.0,False
1,5,4,3,0,0,0.0,False
1,5,0,2,1,0,0.0,True
1,6,0,3,0,0,0.0,False
1,6,0,1,4,0,0.0,False
1,6,4,0,4,0,0.0,False
1,6,4,1,8,0,0.0,False
1,6,8,0,8,0,0.0,False
1,6,8,1,12,0,0.0,False
1,6,12,3,8,0,0.0,False
1,6,8,2,9,0,0.0,False
1,6,9,0,8,0,0.0,False
1,6,8,1,12,0,0.0,False
1,6,12,2,13,0,0.0,True
1,7,0,2,1,0,0.0,False
1,7,1,0,0,0,0.0,False
1,7,0,3,0,0,0.0,False
1,7,0,0,0,0,0.0,False
1,7,0,3,0,0,0.0,False
1,7,0,2,1,0,0.0,False
1,7,1,1,5,0,0.0,False
1,7,5,0,4,0,0.0,False
1,7,4,1,8,0,0.0,False
1,7,8,2,9,0,0.0,False
1,7,9,2,10,0,0.0,False
1,7,10,1,14,0,0.0,False
1,7,14,2,15,1,1.0,True
1,8,0,2,1,0,0.0,False
1,8,1,0,0,0,0.0,False
1,8,0,1,4,0,0.0,False
1,8,4,1,8,0,0.0,False
1,8,8,1,12,0,0.0,False
1,8,12,0,12,0,0.0,False
1,8,12,1,12,0,0.0,False
1,8,12,0,12,0,0.0,False
1,8,12,2,13,0,0.0,False
1,8,13,2,14,0,0.0,False
1,8,14,2,15,1,1.0,True
1,9,0,2,1,0,0.0,False
1,9,1,1,5,0,0.0,False
1,9,5,1,9,0,0.0,False
1,9,9,3,5,0,0.0,False
1,9,5,1,9,0,0.0,False
1,9,9,1,13,0,0.0,True
1,10,0,2,1,0,0.0,False
1,10,1,1,5,0,0.0,False
1,10,5,0,4,0,0.0,False
1,10,4,2,5,0,0.0,False
1,10,5,2,6,0,0.0,False
1,10,6,1,10,0,0.0,False
1,10,10,1,14,0,0.0,False
1,10,14,2,15,1,1.0,True
1,11,0,2,1,0,0.0,False
1,11,1,2,2,0,0.0,False
1,11,2,0,1,0,0.0,False
1,11,1,3,1,0,0.0,False
1,11,1,3,1,0,0.0,False
1,11,1,3,1,0,0.0,False
1,11,1,0,0,0,0.0,False
1,11,0,2,1,0,0.0,False
1,11,1,1,5,0,0.0,False
1,11,5,1,9,0,0.0,False
1,11,9,0,8,0,0.0,False
1,11,8,3,4,0,0.0,False
1,11,4,1,8,0,0.0,False
1,11,8,3,4,0,0.0,False
1,11,4,2,5,0,0.0,False
1,11,5,2,6,0,0.0,False
1,11,6,1,10,0,0.0,False
1,11,10,1,14,0,0.0,False
1,11,14,2,15,1,1.0,True
1,12,0,1,4,0,0.0,False
1,12,4,0,4,0,0.0,False
1,12,4,1,8,0,0.0,False
1,12,8,2,9,0,0.0,False
1,12,9,1,13,0,0.0,True
1,13,0,0,0,0,0.0,False
1,13,0,1,4,0,0.0,False
1,13,4,2,5,0,0.0,False
1,13,5,0,4,0,0.0,False
1,13,4,2,5,0,0.0,False
1,13,5,2,6,0,0.0,False
1,13,6,1,10,0,0.0,False
1,13,10,1,14,0,0.0,False
1,13,14,2,15,1,1.0,True
1,14,0,2,1,0,0.0,False
1,14,1,1,5,0,0.0,True
1,15,0,2,1,0,0.0,False
1,15,1,1,5,0,0.0,True
1,16,0,2,1,0,0.0,False
1,16,1,0,0,0,0.0,False
1,16,0,1,4,0,0.0,True
1,17,0,0,0,0,0.0,False
1,17,0,0,0,0,0.0,False
1,17,0,1,4,0,0.0,False
1,17,4,2,5,0,0.0,False
1,17,5,2,6,0,0.0,False
1,17,6,1,10,0,0.0,False
1,17,10,3,6,0,0.0,False
1,17,6,0,5,0,0.0,False
1,17,5,2,6,0,0.0,False
1,17,6,1,10,0,0.0,False
1,17,10,1,14,0,0.0,False
1,17,14,2,15,1,1.0,True
1,18,0,1,4,0,0.0,True
1,19,0,1,4,0,0.0,False
1,19,4,2,5,0,0.0,False
1,19,5,2,6,0,0.0,False
1,19,6,1,10,0,0.0,False
1,19,10,1,14,0,0.0,False
1,19,14,2,15,1,1.0,True
1,20,0,1,4,0,0.0,False
1,20,4,2,5,0,0.0,False
1,20,5,2,6,0,0.0,False
1,20,6,1,10,0,0.0,False
1,20,10,3,6,0,0.0,False
1,20,6,2,7,0,0.0,False
1,20,7,3,3,0,0.0,True
1,21,0,1,4,0,0.0,False
1,21,4,2,5,0,0.0,False
1,21,5,2,6,0,0.0,False
1,21,6,1,10,0,0.0,True
1,22,0,1,4,0,0.0,False
1,22,4,2,5,0,0.0,False
1,22,5,2,6,0,0.0,True
1,23,0,1,4,0,0.0,False
1,23,4,2,5,0,0.0,True
1,24,0,1,4,0,0.0,False
1,24,4,2,5,0,0.0,False
1,24,5,2,6,0,0.0,False
1,24,6,1,10,0,0.0,False
1,24,10,1,14,0,0.0,True
1,25,0,1,4,0,0.0,False
1,25,4,2,5,0,0.0,False
1,25,5,2,6,0,0.0,False
1,25,6,1,10,0,0.0,False
1,25,10,1,14,0,0.0,False
1,25,14,2,15,1,1.0,True
1,26,0,1,4,0,0.0,False
1,26,4,2,5,0,0.0,True
1,27,0,1,4,0,0.0,False
1,27,4,2,5,0,0.0,False
1,27,5,2,6,0,0.0,False
1,27,6,1,10,0,0.0,False
1,27,10,1,14,0,0.0,False
1,27,14,2,15,1,1.0,True
1,28,0,1,4,0,0.0,False
1,28,4,2,5,0,0.0,False
1,28,5,1,9,0,0.0,False
1,28,9,3,5,0,0.0,False
1,28,5,2,6,0,0.0,False
1,28,6,1,10,0,0.0,False
1,28,10,1,14,0,0.0,False
1,28,14,2,15,1,1.0,True
1,29,0,1,4,0,0.0,False
1,29,4,2,5,0,0.0,False
1,29,5,2,6,0,0.0,False
1,29,6,1,10,0,0.0,True
1,30,0,1,4,0,0.0,False
1,30,4,2,5,0,0.0,False
1,30,5,2,6,0,0.0,False
1,30,6,1,10,0,0.0,False
1,30,10,1,14,0,0.0,False
1,30,14,2,15,1,1.0,True
1,31,0,1,4,0,0.0,False
1,31,4,1,8,0,0.0,False
1,31,8,0,8,0,0.0,False
1,31,8,0,8,0,0.0,False
1,31,8,0,8,0,0.0,False
1,31,8,3,4,0,0.0,False
1,31,4,2,5,0,0.0,False
1,31,5,2,6,0,0.0,True
1,32,0,1,4,0,0.0,False
1,32,4,2,5,0,0.0,False
1,32,5,2,6,0,0.0,False
1,32,6,1,10,0,0.0,True
1,33,0,1,4,0,0.0,False
1,33,4,1,8,0,0.0,False
1,33,8,3,4,0,0.0,False
1,33,4,2,5,0,0.0,False
1,33,5,2,6,0,0.0,False
1,33,6,1,10,0,0.0,True
1,34,0,1,4,0,0.0,True
1,35,0,1,4,0,0.0,False
1,35,4,2,5,0,0.0,False
1,35,5,2,6,0,0.0,False
1,35,6,1,10,0,0.0,False
1,35,10,1,14,0,0.0,True
1,36,0,1,4,0,0.0,False
1,36,4,2,5,0,0.0,True
1,37,0,1,4,0,0.0,False
1,37,4,2,5,0,0.0,False
1,37,5,2,6,0,0.0,False
1,37,6,1,10,0,0.0,False
1,37,10,3,6,0,0.0,False
1,37,6,1,10,0,0.0,False
1,37,10,1,14,0,0.0,True
1,38,0,1,4,0,0.0,True
1,39,0,1,4,0,0.0,False
1,39,4,2,5,0,0.0,True
1,40,0,1,4,0,0.0,False
1,40,4,2,5,0,0.0,True
1,41,0,1,4,0,0.0,True
1,42,0,1,4,0,0.0,True
1,43,0,1,4,0,0.0,True
1,44,0,1,4,0,0.0,False
1,44,4,1,8,0,0.0,False
1,44,8,3,4,0,0.0,False
1,44,4,2,5,0,0.0,False
1,44,5,2,6,0,0.0,True
1,45,0,1,4,0,0.0,True
1,46,0,1,4,0,0.0,False
1,46,4,2,5,0,0.0,False
1,46,5,2,6,0,0.0,False
1,46,6,1,10,0,0.0,False
1,46,10,0,9,0,0.0,True
1,47,0,1,4,0,0.0,False
1,47,4,2,5,0,0.0,False
1,47,5,2,6,0,0.0,False
1,47,6,1,10,0,0.0,False
1,47,10,1,14,0,0.0,False
1,47,14,3,10,0,0.0,False
1,47,10,2,11,0,0.0,True
1,48,0,3,0,0,0.0,False
1,48,0,1,4,0,0.0,False
1,48,4,1,8,0,0.0,False
1,48,8,3,4,0,0.0,False
1,48,4,2,5,0,0.0,True
1,49,0,1,4,0,0.0,True
1,50,0,1,4,0,0.0,False
1,50,4,1,8,0,0.0,False
1,50,8,3,4,0,0.0,False
1,50,4,2,5,0,0.0,True
1,51,0,1,4,0,0.0,False
1,51,4,2,5,0,0.0,False
1,51,5,2,6,0,0.0,False
1,51,6,1,10,0,0.0,False
1,51,10,1,14,0,0.0,True
1,52,0,1,4,0,0.0,False
1,52,4,1,8,0,0.0,False
1,52,8,3,4,0,0.0,False
1,52,4,2,5,0,0.0,False
1,52,5,2,6,0,0.0,False
1,52,6,1,10,0,0.0,False
1,52,10,1,14,0,0.0,False
1,52,14,2,15,1,1.0,True
1,53,0,1,4,0,0.0,False
1,53,4,2,5,0,0.0,False
1,53,5,2,6,0,0.0,False
1,53,6,1,10,0,0.0,False
1,53,10,0,9,0,0.0,False
1,53,9,2,10,0,0.0,False
1,53,10,1,14,0,0.0,False
1,53,14,2,15,1,1.0,True
1,54,0,0,0,0,0.0,False
1,54,0,1,4,0,0.0,False
1,54,4,2,5,0,0.0,False
1,54,5,2,6,0,0.0,True
1,55,0,1,4,0,0.0,False
1,55,4,2,5,0,0.0,True
1,56,0,1,4,0,0.0,False
1,56,4,2,5,0,0.0,False
1,56,5,2,6,0,0.0,False
1,56,6,1,10,0,0.0,False
1,56,10,1,14,0,0.0,False
1,56,14,2,15,1,1.0,True
1,57,0,1,4,0,0.0,False
1,57,4,2,5,0,0.0,True
1,58,0,1,4,0,0.0,False
1,58,4,2,5,0,0.0,False
1,58,5,2,6,0,0.0,False
1,58,6,1,10,0,0.0,False
1,58,10,1,14,0,0.0,False
1,58,14,2,15,1,1.0,True
1,59,0,1,4,0,0.0,False
1,59,4,2,5,0,0.0,False
1,59,5,0,4,0,0.0,False
1,59,4,2,5,0,0.0,False
1,59,5,2,6,0,0.0,False
1,59,6,1,10,0,0.0,True
1,60,0,1,4,0,0.0,False
1,60,4,2,5,0,0.0,True
1,61,0,1,4,0,0.0,False
1,61,4,1,8,0,0.0,False
1,61,8,3,4,0,0.0,False
1,61,4,1,8,0,0.0,False
1,61,8,3,4,0,0.0,False
1,61,4,2,5,0,0.0,True
1,62,0,1,4,0,0.0,False
1,62,4,2,5,0,0.0,False
1,62,5,2,6,0,0.0,False
1,62,6,1,10,0,0.0,False
1,62,10,1,14,0,0.0,True
1,63,0,1,4,0,0.0,True
1,64,0,1,4,0,0.0,False
1,64,4,2,5,0,0.0,True
1,65,0,1,4,0,0.0,False
1,65,4,2,5,0,0.0,True
1,66,0,1,4,0,0.0,False
1,66,4,2,5,0,0.0,False
1,66,5,2,6,0,0.0,False
1,66,6,1,10,0,0.0,False
1,66,10,1,14,0,0.0,True
1,67,0,1,4,0,0.0,False
1,67,4,2,5,0,0.0,False
1,67,5,2,6,0,0.0,False
1,67,6,1,10,0,0.0,False
1,67,10,1,14,0,0.0,False
1,67,14,2,15,1,1.0,True
1,68,0,1,4,0,0.0,False
1,68,4,2,5,0,0.0,False
1,68,5,2,6,0,0.0,True
1,69,0,1,4,0,0.0,False
1,69,4,2,5,0,0.0,False
1,69,5,2,6,0,0.0,False
1,69,6,1,10,0,0.0,False
1,69,10,1,14,0,0.0,False
1,69,14,2,15,1,1.0,True
1,70,0,1,4,0,0.0,True
1,71,0,1,4,0,0.0,False
1,71,4,2,5,0,0.0,False
1,71,5,0,4,0,0.0,False
1,71,4,2,5,0,0.0,False
1,71,5,2,6,0,0.0,False
1,71,6,1,10,0,0.0,False
1,71,10,1,14,0,0.0,False
1,71,14,2,15,1,1.0,True
1,72,0,1,4,0,0.0,False
1,72,4,2,5,0,0.0,False
1,72,5,2,6,0,0.0,False
1,72,6,1,10,0,0.0,False
1,72,10,1,14,0,0.0,False
1,72,14,1,14,0,0.0,False
1,72,14,3,10,0,0.0,False
1,72,10,1,14,0,0.0,False
1,72,14,2,15,1,1.0,True
1,73,0,1,4,0,0.0,False
1,73,4,2,5,0,0.0,False
1,73,5,2,6,0,0.0,False
1,73,6,1,10,0,0.0,True
1,74,0,1,4,0,0.0,False
1,74,4,2,5,0,0.0,True
1,75,0,1,4,0,0.0,False
1,75,4,2,5,0,0.0,False
1,75,5,2,6,0,0.0,False
1,75,6,1,10,0,0.0,False
1,75,10,3,6,0,0.0,False
1,75,6,1,10,0,0.0,False
1,75,10,1,14,0,0.0,False
1,75,14,2,15,1,1.0,True
1,76,0,0,0,0,0.0,False
1,76,0,1,4,0,0.0,True
1,77,0,1,4,0,0.0,False
1,77,4,2,5,0,0.0,False
1,77,5,2,6,0,0.0,False
1,77,6,1,10,0,0.0,True
1,78,0,0,0,0,0.0,False
