Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.7568556169990188,54.0,887.49609375,8.162109375
1.0,2.0,0.23735484099961468,6.4,887.55078125,8.162109375
1.0,3.0,0.21518963999915286,6.7,887.56640625,8.162109375
1.0,4.0,0.332143770001494,0.0,887.5703125,8.162109375
1.0,5.0,0.049082871999416966,50.0,887.6171875,8.162109375
1.0,6.0,0.3410082250011328,2.9,887.65234375,8.162109375
1.0,7.0,0.27286023600026965,7.3,887.67578125,8.162109375
1.0,8.0,0.3056755020006676,8.2,887.72265625,8.162109375
1.0,9.0,0.23533947299983993,42.6,887.75390625,8.162109375
1.0,10.0,0.06999604100019496,100.0,887.796875,8.162109375
1.0,11.0,0.30527749599968956,62.3,887.82421875,8.162109375
1.0,12.0,0.2793697039996914,55.4,887.85546875,8.162109375
1.0,13.0,0.2251904540007672,52.3,887.859375,8.162109375
1.0,14.0,0.23759286400127166,57.4,887.859375,8.162109375
1.0,15.0,0.24408318200039503,64.0,887.859375,8.162109375
1.0,16.0,1.0858603969991236,38.2,1098.94921875,17.28759765625
1.0,17.0,0.2220564060007746,2.3,1098.97265625,17.28759765625
1.0,18.0,0.3791202169995813,1.3,1098.9921875,17.28759765625
1.0,19.0,0.2116873699997086,2.4,1099.03125,17.28759765625
1.0,20.0,0.29416292300084024,11.9,1099.109375,17.28759765625
1.0,21.0,0.2736427579984593,3.7,1099.1640625,17.28759765625
1.0,22.0,0.3603365599992685,1.4,1099.18359375,17.28759765625
1.0,23.0,0.22899292399961269,22.9,1099.234375,17.28759765625
1.0,24.0,0.33860723599900666,6.0,1099.2734375,17.28759765625
1.0,25.0,0.21485501200004364,2.4,1099.31640625,17.28759765625
1.0,26.0,0.372684300000401,2.6,1099.34375,17.28759765625
1.0,27.0,0.25062977200104797,6.1,1099.3671875,17.28759765625
1.0,28.0,0.2311356859991065,6.2,1099.3671875,17.28759765625
1.0,29.0,0.2450494870008697,2.0,1099.37890625,17.28759765625
1.0,30.0,0.21084421600062342,2.4,1099.38671875,17.28759765625
1.0,31.0,0.23981115899914585,8.5,1099.40625,17.28759765625
1.0,32.0,0.23423463099970832,6.2,1099.42578125,17.28759765625
1.0,33.0,0.23830362999979116,8.3,1099.44921875,17.28759765625
1.0,34.0,0.22741052499986836,8.9,1099.484375,17.28759765625
1.0,35.0,0.25202789200011466,8.0,1099.4921875,17.28759765625
1.0,36.0,0.22111322699856828,4.5,1099.51953125,17.28759765625
1.0,37.0,0.2137904499995784,2.3,1099.53125,17.28759765625
1.0,38.0,0.193968142999438,2.6,1099.546875,17.28759765625
1.0,39.0,0.2321795989992097,4.3,1099.58203125,17.28759765625
1.0,40.0,0.1842042930002208,10.8,1099.6015625,17.28759765625
1.0,41.0,0.19870594999883906,0.0,1099.609375,17.28759765625
1.0,42.0,0.05365521600106149,54.5,1099.7109375,17.28759765625
1.0,43.0,0.21758767300161708,4.7,1099.78125,17.28759765625
1.0,44.0,0.4203095510001731,3.5,1099.78125,17.28759765625
1.0,45.0,0.4619262220003293,3.3,1099.79296875,17.28759765625
1.0,46.0,0.34504611500051396,4.3,1099.8125,17.28759765625
1.0,47.0,0.312847494999005,3.2,1099.828125,17.28759765625
1.0,48.0,0.3115813280001021,6.3,1099.84765625,17.28759765625
1.0,49.0,0.0541244159994676,54.5,1099.91015625,17.28759765625
1.0,50.0,0.207333264999761,2.4,1099.93359375,17.28759765625
1.0,51.0,0.20990845000051195,2.3,1099.94140625,17.28759765625
1.0,52.0,0.2113429269993503,11.9,1099.98046875,17.28759765625
1.0,53.0,0.33328938099839434,28.1,1100.03125,17.28759765625
1.0,54.0,0.19080943900007696,55.3,1100.05859375,17.28759765625
1.0,55.0,0.2375728210008674,57.1,1100.08984375,17.28759765625
1.0,56.0,0.2898067740006809,58.6,1100.12890625,17.28759765625
1.0,57.0,0.24639605899938033,53.1,1100.15625,17.28759765625
1.0,58.0,0.27284463599971787,60.0,1100.1953125,17.28759765625
1.0,59.0,0.20289899799900013,65.0,1100.21484375,17.28759765625
1.0,60.0,0.08554416799961473,100.0,1100.30078125,17.28759765625
1.0,61.0,0.39952337199974863,30.8,1100.32421875,17.28759765625
1.0,62.0,0.2716612210006133,1.8,1100.328125,17.28759765625
1.0,63.0,0.25560314299946185,3.8,1100.34765625,17.28759765625
1.0,64.0,0.32892726399950334,10.8,1100.390625,17.28759765625
1.0,65.0,0.23402954999983194,6.5,1100.4453125,17.28759765625
1.0,66.0,0.22698243699960585,4.3,1100.51171875,17.28759765625
1.0,67.0,0.3928952640017087,2.5,1100.52734375,17.28759765625
1.0,68.0,0.2075549469991529,9.8,1100.5390625,17.28759765625
1.0,69.0,0.3668049379994045,2.7,1100.5625,17.28759765625
1.0,70.0,0.22987989399916842,2.2,1100.5703125,17.28759765625
1.0,71.0,0.25772431299992604,3.8,1100.62109375,17.28759765625
1.0,72.0,0.23008801700052572,6.7,1100.62109375,17.28759765625
1.0,73.0,0.2989846540003782,6.6,1100.64453125,17.28759765625
1.0,74.0,0.1941657999996096,2.6,1100.65234375,17.28759765625
1.0,75.0,0.21593438900163164,2.4,1100.671875,17.28759765625
1.0,76.0,0.25593229999867617,7.7,1100.6796875,17.28759765625
1.0,77.0,0.4000789210003859,7.6,1100.703125,17.28759765625
1.0,78.0,0.2478500739998708,3.9,1100.70703125,17.28759765625
1.0,79.0,0.2412511459988309,8.3,1100.7109375,17.28759765625
1.0,80.0,0.4221231119990989,1.2,1100.7109375,17.28759765625
1.0,81.0,0.33714030100236414,2.9,1100.71484375,17.28759765625
1.0,82.0,0.40435434200117015,3.8,1100.71484375,17.28759765625
1.0,83.0,0.21858462499949383,2.3,1100.71875,17.28759765625
1.0,84.0,0.2360408130007272,6.4,1100.71875,17.28759765625
1.0,85.0,0.19905791400015005,2.6,1100.72265625,17.28759765625
1.0,86.0,0.40052671800003736,6.3,1100.72265625,17.28759765625
1.0,87.0,0.2167259239977284,2.3,1100.72265625,17.28759765625
1.0,88.0,2.522581891997106,3.4,1100.7265625,17.28759765625
1.0,89.0,0.08453475900023477,100.0,1100.7578125,17.28759765625
1.0,90.0,1.6218102359998738,52.6,1100.76953125,17.28759765625
1.0,91.0,0.36533307599893305,0.0,1100.7734375,17.28759765625
1.0,92.0,0.23272751400145353,12.8,1100.7890625,17.28759765625
1.0,93.0,0.24869750899961218,6.0,1100.80078125,17.28759765625
1.0,94.0,0.2679686170013156,3.7,1100.8046875,17.28759765625
1.0,95.0,0.22138514099788154,6.8,1100.8046875,17.28759765625
1.0,96.0,0.2642841640008555,7.4,1100.8046875,17.28759765625
1.0,97.0,0.25785042099960265,4.0,1100.8203125,17.28759765625
1.0,98.0,0.2536796750027861,17.6,1100.828125,17.28759765625
1.0,99.0,0.25994019800054957,3.9,1100.83984375,17.28759765625
1.0,100.0,0.20136592400012887,12.2,1100.85546875,17.28759765625
2.0,1.0,0.232247075997293,4.3,1100.87890625,17.28759765625
2.0,2.0,0.24754283799848054,2.0,1100.91015625,17.28759765625
2.0,3.0,0.25260341000102926,2.0,1100.9296875,17.28759765625
2.0,4.0,0.25676854500125046,7.8,1100.94921875,17.28759765625
2.0,5.0,0.5137297939982091,4.8,1100.9609375,17.28759765625
2.0,6.0,0.19291013999827555,2.6,1100.96484375,17.28759765625
2.0,7.0,0.05495616600092035,53.8,1100.984375,17.28759765625
2.0,8.0,0.22508315999948536,13.6,1101.00390625,17.28759765625
2.0,9.0,0.20502162499906262,0.0,1101.00390625,17.28759765625
2.0,10.0,0.20424491100129671,4.9,1101.0078125,17.28759765625
2.0,11.0,0.22770116999890888,4.4,1101.01953125,17.28759765625
2.0,12.0,0.26519906600151444,3.8,1101.0625,17.28759765625
2.0,13.0,0.44324846399831586,3.4,1101.06640625,17.28759765625
2.0,14.0,0.45246143199983635,3.3,1101.07421875,17.28759765625
2.0,15.0,0.2495284759970673,7.8,1101.09375,17.28759765625
2.0,16.0,0.1828319569976884,0.0,1101.09765625,17.28759765625
2.0,17.0,0.3015031260001706,5.0,1101.1015625,17.28759765625
2.0,18.0,0.236383563002164,2.1,1101.109375,17.28759765625
2.0,19.0,0.46927221399892005,5.3,1101.12109375,17.28759765625
2.0,20.0,0.24396535499909078,4.2,1101.1640625,17.28759765625
2.0,21.0,0.2509801960004552,4.0,1101.1796875,17.28759765625
2.0,22.0,0.23887675199875957,4.2,1101.19140625,17.28759765625
2.0,23.0,0.2699584350011719,7.4,1101.1953125,17.28759765625
2.0,24.0,0.3332803689991124,0.0,1101.1953125,17.28759765625
2.0,25.0,0.18644743299955735,5.3,1101.21484375,17.28759765625
2.0,26.0,0.26956554600110394,3.7,1101.21484375,17.28759765625
2.0,27.0,0.33276481100256206,18.2,1101.21484375,17.28759765625
2.0,28.0,0.22675529699699837,57.8,1101.22265625,17.28759765625
2.0,29.0,0.24294976900273468,58.3,1101.22265625,17.28759765625
2.0,30.0,0.20630771700234618,53.7,1101.22265625,17.28759765625
2.0,31.0,0.22095833300045342,62.2,1101.23828125,17.28759765625
2.0,32.0,0.23847958899932564,61.2,1101.27734375,17.28759765625
2.0,33.0,6.923815485999512,12.2,1101.27734375,17.28759765625
2.0,34.0,0.2033876829991641,4.9,1101.28125,17.28759765625
2.0,35.0,0.17248516899780952,0.0,1101.2890625,17.28759765625
2.0,36.0,0.3638950519998616,98.7,1101.32421875,17.28759765625
2.0,37.0,0.22921074899932137,46.7,1101.33984375,17.28759765625
2.0,38.0,0.49944335199688794,25.3,1101.34375,17.28759765625
2.0,39.0,0.3932301399981952,76.2,1101.359375,17.28759765625
2.0,40.0,0.26404210399778094,11.3,1101.3671875,17.28759765625
2.0,41.0,0.2115186269984406,4.8,1101.37109375,17.28759765625
2.0,42.0,0.3137542919976113,1.6,1101.375,17.28759765625
2.0,43.0,0.4040017289989919,8.7,1101.37890625,17.28759765625
2.0,44.0,0.2951549110002816,3.4,1101.37890625,17.28759765625
2.0,45.0,0.2162150139993173,4.5,1101.37890625,17.28759765625
2.0,46.0,0.1951771349995397,48.7,1101.3828125,17.28759765625
2.0,47.0,0.2507719509994786,62.0,1101.3828125,17.28759765625
2.0,48.0,0.1818571059993701,51.4,1101.3828125,17.28759765625
2.0,49.0,0.31657021900173277,53.8,1101.38671875,17.28759765625
2.0,50.0,0.37613793600030476,55.4,1101.3984375,17.28759765625
2.0,51.0,0.25609367600191035,68.6,1101.40625,17.28759765625
2.0,52.0,0.7795818509985111,12.3,1101.4296875,17.28759765625
2.0,53.0,0.3724563389987452,5.3,1101.4375,17.28759765625
2.0,54.0,0.9784457050009223,18.2,1408.359375,37.69091796875
2.0,55.0,0.22852885000247625,11.1,1408.39453125,37.69091796875
2.0,56.0,0.4203410560003249,11.8,1408.42578125,37.69091796875
2.0,57.0,0.29360941300183185,10.2,1408.453125,37.69091796875
2.0,58.0,0.22335572700103512,6.8,1408.453125,37.69091796875
2.0,59.0,0.3711240250013361,12.2,1408.453125,37.69091796875
2.0,60.0,0.22980391099918052,8.9,1408.453125,37.69091796875
2.0,61.0,0.8234470170027635,6.1,1408.45703125,37.69091796875
2.0,62.0,0.4237903979992552,7.1,1408.4609375,37.69091796875
2.0,63.0,0.3598781159998907,6.9,1408.46484375,37.69091796875
2.0,64.0,0.2125252330006333,2.4,1408.49609375,37.69091796875
2.0,65.0,0.23172629900000175,8.5,1408.49609375,37.69091796875
2.0,66.0,0.3548744820000138,4.2,1408.49609375,37.69091796875
2.0,67.0,0.25108705000093323,4.0,1408.50390625,37.69091796875
2.0,68.0,0.4035165759996744,9.9,1408.50390625,37.69091796875
2.0,69.0,0.3077756619968568,4.9,1408.5078125,37.69091796875
2.0,70.0,0.19848420799826272,5.0,1408.53125,37.69091796875
2.0,71.0,0.39805943299870705,7.5,1408.5390625,37.69091796875
2.0,72.0,0.44043179499931284,14.8,1408.55859375,37.69091796875
2.0,73.0,0.29165619400009746,5.1,1408.55859375,37.69091796875
2.0,74.0,0.3290220240014605,15.4,1408.5625,37.69091796875
2.0,75.0,0.41544713500115904,36.1,1408.59375,37.69091796875
2.0,76.0,0.24297422500239918,51.0,1408.59375,37.69091796875
2.0,77.0,0.2946151239993924,11.9,1408.6171875,37.69091796875
2.0,78.0,0.3001822890000767,31.7,1408.62109375,37.69091796875
2.0,79.0,0.3301593670003058,64.6,1408.64453125,37.69091796875
2.0,80.0,0.26365756599989254,58.5,1408.6484375,37.69091796875
2.0,81.0,0.4079506029993354,63.4,1408.65625,37.69091796875
2.0,82.0,0.30355638900073245,63.9,1408.65625,37.69091796875
2.0,83.0,0.3583862439991208,80.3,1408.65625,37.69091796875
2.0,84.0,0.2349399109989463,40.0,1408.65625,37.69091796875
2.0,85.0,0.2058708000004117,4.8,1408.65625,37.69091796875
2.0,86.0,0.23848238000209676,50.0,1408.65625,37.69091796875
2.0,87.0,0.25035944800038124,16.0,1408.6796875,37.69091796875
2.0,88.0,0.33284714500041446,10.4,1408.6875,37.69091796875
2.0,89.0,0.20807219899870688,11.9,1408.69140625,37.69091796875
2.0,90.0,0.22677556799681042,11.1,1408.69921875,37.69091796875
2.0,91.0,0.21948035400055232,9.1,1408.703125,37.69091796875
2.0,92.0,0.39691094500085455,13.9,1408.7265625,37.69091796875
2.0,93.0,0.22820257900093566,8.7,1408.74609375,37.69091796875
2.0,94.0,0.34438765899903956,18.6,1408.76171875,37.69091796875
2.0,95.0,0.2662630429986166,5.9,1408.7734375,37.69091796875
2.0,96.0,0.2910280439973576,17.2,1408.796875,37.69091796875
2.0,97.0,0.5351420020015212,8.3,1408.80859375,37.69091796875
2.0,98.0,0.22456539300037548,6.7,1408.81640625,37.69091796875
2.0,99.0,0.381997066000622,7.8,1408.81640625,37.69091796875
2.0,100.0,0.4262728159992548,3.6,1408.8203125,37.69091796875
3.0,1.0,0.27141015799861634,11.1,1408.8203125,37.69091796875
3.0,2.0,0.2536593549993995,56.9,1408.83203125,37.69091796875
3.0,3.0,0.5881380799983162,19.0,1408.8359375,37.69091796875
3.0,4.0,0.266639496996504,14.8,1408.85546875,37.69091796875
3.0,5.0,0.2951984770006675,3.4,1408.8671875,37.69091796875
3.0,6.0,0.3145896599999105,3.2,1408.87109375,37.69091796875
3.0,7.0,0.366347096998652,18.9,1408.87109375,37.69091796875
3.0,8.0,0.2145532219983579,7.0,1408.875,37.69091796875
3.0,9.0,0.2096383739990415,2.4,1408.875,37.69091796875
3.0,10.0,0.4435221099993214,7.9,1408.87890625,37.69091796875
