Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.026297327000008863,51.6,772.54296875,0.369140625
1.0,2.0,0.007311656000013045,50.0,772.546875,0.369140625
1.0,3.0,0.002429825999968216,0.0,772.546875,0.369140625
1.0,4.0,0.0034216930000070533,0.0,772.55078125,0.369140625
1.0,5.0,0.0478882919999819,50.0,772.57421875,0.369140625
1.0,6.0,0.01657028899995794,66.7,772.58203125,0.369140625
1.0,7.0,0.007692380000037247,50.0,772.5859375,0.369140625
1.0,8.0,0.03513252199996941,42.9,772.59375,0.369140625
1.0,9.0,0.005871153999976286,50.0,772.59375,0.369140625
1.0,10.0,0.045886655000003884,55.6,772.59375,0.369140625
1.0,11.0,0.01275928899997325,33.3,772.59375,0.369140625
1.0,12.0,0.010367287999997643,50.0,772.59375,0.369140625
1.0,13.0,0.005538723000029222,100.0,772.59375,0.369140625
1.0,14.0,0.008086318999971809,50.0,772.59375,0.369140625
1.0,15.0,0.01356031300002769,33.3,772.59375,0.369140625
1.0,16.0,0.7605373210000153,24.7,983.47265625,9.4951171875
1.0,17.0,0.001772961000028772,0.0,983.48046875,9.4951171875
1.0,18.0,0.0036322959999779414,50.0,983.49609375,9.4951171875
1.0,19.0,0.011608238000007987,50.0,983.49609375,9.4951171875
1.0,20.0,0.042850750000013704,50.0,983.49609375,9.4951171875
1.0,21.0,0.004358726000020852,50.0,983.5,9.4951171875
1.0,22.0,0.0033565619999649243,0.0,983.5,9.4951171875
1.0,23.0,0.005569422000007762,50.0,983.5,9.4951171875
1.0,24.0,0.011189061999971273,50.0,983.50390625,9.4951171875
1.0,25.0,0.0034411740000450664,50.0,983.515625,9.4951171875
1.0,26.0,0.009861376000003474,50.0,983.51953125,9.4951171875
1.0,27.0,0.005689630999995643,0.0,983.5234375,9.4951171875
1.0,28.0,0.007369702000005418,50.0,983.52734375,9.4951171875
1.0,29.0,0.01007498499996018,50.0,983.546875,9.4951171875
1.0,30.0,0.003560220999986541,50.0,983.55078125,9.4951171875
1.0,31.0,0.018355885999994825,50.0,983.56640625,9.4951171875
1.0,32.0,0.014097966000008455,50.0,983.57421875,9.4951171875
1.0,33.0,0.016481747999989693,50.0,983.58984375,9.4951171875
1.0,34.0,0.014825673000018469,66.7,983.59765625,9.4951171875
1.0,35.0,0.0015038310000363708,0.0,983.60546875,9.4951171875
1.0,36.0,0.031487436999952934,50.0,983.625,9.4951171875
1.0,37.0,0.011515362000011464,50.0,983.625,9.4951171875
1.0,38.0,0.0052316549999886774,50.0,983.62890625,9.4951171875
1.0,39.0,0.007109495999998217,100.0,983.640625,9.4951171875
1.0,40.0,0.008309134000000995,50.0,983.64453125,9.4951171875
1.0,41.0,0.0051632380000228295,0.0,983.65234375,9.4951171875
1.0,42.0,0.012971382999978687,66.7,983.65234375,9.4951171875
1.0,43.0,0.00952205400000139,50.0,983.65234375,9.4951171875
1.0,44.0,0.014713880999977391,33.3,983.6640625,9.4951171875
1.0,45.0,0.005138477000002695,100.0,983.6640625,9.4951171875
1.0,46.0,0.04679604700004347,50.0,983.70703125,9.4951171875
1.0,47.0,0.00424940099998139,0.0,983.7109375,9.4951171875
1.0,48.0,0.008578562000025158,50.0,983.72265625,9.4951171875
1.0,49.0,0.03718576899996151,50.0,983.76171875,9.4951171875
1.0,50.0,0.0034727130000078432,0.0,983.76953125,9.4951171875
1.0,51.0,0.028271938999978374,60.0,983.80078125,9.4951171875
1.0,52.0,0.007116098999972564,50.0,983.82421875,9.4951171875
1.0,53.0,0.014542460000029678,50.0,983.83203125,9.4951171875
1.0,54.0,0.00983131800001047,50.0,983.83203125,9.4951171875
1.0,55.0,0.004511275000027126,0.0,983.8359375,9.4951171875
1.0,56.0,0.010232658000006722,50.0,983.8359375,9.4951171875
1.0,57.0,0.009210627000015847,50.0,983.8515625,9.4951171875
1.0,58.0,0.02282246499999019,50.0,983.87890625,9.4951171875
1.0,59.0,0.01488010100001702,66.7,983.9140625,9.4951171875
1.0,60.0,0.0532804810000016,60.0,983.97265625,9.4951171875
1.0,61.0,0.026317237999990084,40.0,983.99609375,9.4951171875
1.0,62.0,0.001648757999987538,100.0,984.0,9.4951171875
1.0,63.0,0.010788040000022647,50.0,984.01171875,9.4951171875
1.0,64.0,0.00912780699997029,50.0,984.03125,9.4951171875
1.0,65.0,0.011184604999982639,33.3,984.046875,9.4951171875
1.0,66.0,0.04627372300001298,88.9,984.08984375,9.4951171875
1.0,67.0,0.010264455000026373,50.0,984.10546875,9.4951171875
1.0,68.0,0.012166487999991205,66.7,984.12109375,9.4951171875
1.0,69.0,0.005069568999999774,0.0,984.12109375,9.4951171875
1.0,70.0,0.01243199700002151,66.7,984.12890625,9.4951171875
1.0,71.0,0.007966437999982645,0.0,984.13671875,9.4951171875
1.0,72.0,0.0015454910000016753,100.0,984.13671875,9.4951171875
1.0,73.0,0.017617422000000715,50.0,984.1484375,9.4951171875
1.0,74.0,0.0035695920000193837,0.0,984.15625,9.4951171875
1.0,75.0,0.013165565000008428,50.0,984.171875,9.4951171875
1.0,76.0,0.0036169040000118002,50.0,984.1953125,9.4951171875
1.0,77.0,0.02945321499998954,50.0,984.19921875,9.4951171875
1.0,78.0,0.008506583000041701,100.0,984.19921875,9.4951171875
1.0,79.0,0.004921883999998045,0.0,984.19921875,9.4951171875
1.0,80.0,0.04821945899999491,50.0,984.21875,9.4951171875
1.0,81.0,0.012451679999969656,66.7,984.21875,9.4951171875
1.0,82.0,0.0014625470000169116,0.0,984.21875,9.4951171875
1.0,83.0,0.0023665379999897596,0.0,984.21875,9.4951171875
1.0,84.0,0.03332202899997583,85.7,984.2421875,9.4951171875
1.0,85.0,0.007887322000044605,50.0,984.2421875,9.4951171875
1.0,86.0,0.006409448999988854,50.0,984.25,9.4951171875
1.0,87.0,0.011107958000025064,50.0,984.2578125,9.4951171875
1.0,88.0,0.005145856000012827,50.0,984.2578125,9.4951171875
1.0,89.0,0.054266258999973616,50.0,984.2890625,9.4951171875
1.0,90.0,0.011453830999982983,66.7,984.2890625,9.4951171875
1.0,91.0,0.0015796690000229319,0.0,984.2890625,9.4951171875
1.0,92.0,0.016546390000030442,50.0,984.30859375,9.4951171875
1.0,93.0,0.010782699000003504,50.0,984.31640625,9.4951171875
1.0,94.0,0.0015987649999829046,0.0,984.31640625,9.4951171875
1.0,95.0,0.00644407400000091,100.0,984.31640625,9.4951171875
1.0,96.0,0.005317171000001508,50.0,984.31640625,9.4951171875
1.0,97.0,0.003487370000016199,0.0,984.32421875,9.4951171875
1.0,98.0,0.009352871999965373,50.0,984.32421875,9.4951171875
1.0,99.0,0.015097898999954396,50.0,984.3359375,9.4951171875
1.0,100.0,0.01098078499995836,50.0,984.3359375,9.4951171875
2.0,1.0,0.03205387100001644,50.0,984.34375,9.4951171875
2.0,2.0,0.0016200100000105522,0.0,984.34375,9.4951171875
2.0,3.0,0.024402944000030402,60.0,984.3515625,9.4951171875
2.0,4.0,0.010533552999959284,50.0,984.359375,9.4951171875
2.0,5.0,0.04735752100003765,50.0,984.41015625,9.4951171875
2.0,6.0,0.00633718400001726,50.0,984.41015625,9.4951171875
2.0,7.0,0.023660016999997424,50.0,984.42578125,9.4951171875
2.0,8.0,0.010283056999981,50.0,984.42578125,9.4951171875
2.0,9.0,0.0023687780000045677,50.0,984.42578125,9.4951171875
2.0,10.0,0.008197877999975844,100.0,984.43359375,9.4951171875
2.0,11.0,0.007165891999989071,0.0,984.43359375,9.4951171875
2.0,12.0,0.032787170999995396,57.1,984.484375,9.4951171875
2.0,13.0,0.001580844999978126,0.0,984.484375,9.4951171875
2.0,14.0,0.004465912999989996,50.0,984.484375,9.4951171875
2.0,15.0,0.033776226999975734,50.0,984.5234375,9.4951171875
2.0,16.0,0.020711732999984633,60.0,984.54296875,9.4951171875
2.0,17.0,0.0017749890000118285,0.0,984.54296875,9.4951171875
2.0,18.0,0.001491289999989931,0.0,984.546875,9.4951171875
2.0,19.0,0.0041357820000484935,100.0,984.546875,9.4951171875
2.0,20.0,0.0024663850000479215,0.0,984.546875,9.4951171875
2.0,21.0,0.005320200000028308,100.0,984.55078125,9.4951171875
2.0,22.0,0.010393566999994164,50.0,984.55078125,9.4951171875
2.0,23.0,0.0014247510000018337,0.0,984.55078125,9.4951171875
2.0,24.0,0.015179319000026226,66.7,984.578125,9.4951171875
2.0,25.0,0.015213157999994564,33.3,984.6015625,9.4951171875
2.0,26.0,0.011255176000020128,50.0,984.6015625,9.4951171875
2.0,27.0,0.026612999999997555,50.0,984.61328125,9.4951171875
2.0,28.0,0.008334905000026538,50.0,984.62109375,9.4951171875
2.0,29.0,0.0106790769999634,100.0,984.62109375,9.4951171875
2.0,30.0,0.002659990999973161,50.0,984.62109375,9.4951171875
2.0,31.0,0.03026884799999152,50.0,984.625,9.4951171875
2.0,32.0,0.006856809999987945,100.0,984.640625,9.4951171875
2.0,33.0,0.026668812000025355,40.0,984.66796875,9.4951171875
2.0,34.0,0.002426485999990291,100.0,984.66796875,9.4951171875
2.0,35.0,0.024784700999987308,40.0,984.67578125,9.4951171875
2.0,36.0,0.013132901999995283,66.7,984.6796875,9.4951171875
2.0,37.0,0.03995088500005295,50.0,984.68359375,9.4951171875
2.0,38.0,0.050212885000007645,80.0,984.6875,9.4951171875
2.0,39.0,0.010402265999971405,66.7,984.69140625,9.4951171875
2.0,40.0,0.007375248000016654,0.0,984.71875,9.4951171875
2.0,41.0,0.03507579199998645,50.0,984.7265625,9.4951171875
2.0,42.0,0.012549498999987918,50.0,984.7265625,9.4951171875
2.0,43.0,0.021989122999968913,60.0,984.73046875,9.4951171875
2.0,44.0,0.013866122999957042,33.3,984.734375,9.4951171875
2.0,45.0,0.014656189000049835,66.7,984.734375,9.4951171875
2.0,46.0,0.005274149000001671,0.0,984.75,9.4951171875
2.0,47.0,0.0018380180000008295,100.0,984.75,9.4951171875
2.0,48.0,0.5200698579999994,23.8,1245.17578125,18.208984375
2.0,49.0,0.03835055700000112,50.0,1245.66796875,18.208984375
2.0,50.0,0.04501379100003078,50.0,1245.68359375,18.208984375
2.0,51.0,0.018521578999980193,50.0,1245.71484375,18.208984375
2.0,52.0,0.038615266999954656,55.6,1245.74609375,18.208984375
2.0,53.0,0.0052093649999847,100.0,1245.74609375,18.208984375
2.0,54.0,0.052687319999961346,45.5,1245.77734375,18.208984375
2.0,55.0,0.005198294999956943,100.0,1245.77734375,18.208984375
