Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.26393742200002634,51.6,774.24609375,8.162109375
1.0,2.0,0.18979349999995065,2.6,774.296875,8.162109375
1.0,3.0,0.18242651999980808,5.4,774.30859375,8.162109375
1.0,4.0,0.19907659099999364,20.5,774.3515625,8.162109375
1.0,5.0,0.07849494600009166,93.7,774.3984375,8.162109375
1.0,6.0,0.2062647499999457,58.5,774.4140625,8.162109375
1.0,7.0,0.1872349339998891,55.3,774.43359375,8.162109375
1.0,8.0,0.21896536200006267,63.6,774.44921875,8.162109375
1.0,9.0,0.18780081899990364,54.1,774.4609375,8.162109375
1.0,10.0,0.07003448499995102,100.0,774.484375,8.162109375
1.0,11.0,0.19942829299998266,67.5,774.48828125,8.162109375
1.0,12.0,0.187209029999849,65.8,774.5078125,8.162109375
1.0,13.0,0.17899844500016115,57.6,774.53515625,8.162109375
1.0,14.0,0.17799779699998908,8.1,774.546875,8.162109375
1.0,15.0,0.18164352300004794,5.6,774.546875,8.162109375
1.0,16.0,0.41219844700003705,39.8,992.9140625,17.2880859375
1.0,17.0,0.17597138300016013,2.9,992.9609375,17.2880859375
1.0,18.0,0.17185814499998742,5.7,992.96875,17.2880859375
1.0,19.0,0.1781140499999765,2.8,992.98046875,17.2880859375
1.0,20.0,0.19604453199985983,7.7,993.0234375,17.2880859375
1.0,21.0,0.18677940400016269,13.9,993.0703125,17.2880859375
1.0,22.0,0.16901307100010854,2.9,993.07421875,17.2880859375
1.0,23.0,0.18376002799982416,2.8,993.078125,17.2880859375
1.0,24.0,0.18504722000011498,10.5,993.109375,17.2880859375
1.0,25.0,0.18270383300000503,2.8,993.15234375,17.2880859375
1.0,26.0,0.17970450200004962,10.8,993.203125,17.2880859375
1.0,27.0,0.1777979900000446,11.4,993.23828125,17.2880859375
1.0,28.0,0.18857533400000648,10.5,993.2421875,17.2880859375
1.0,29.0,0.1807960329999787,5.4,993.25,17.2880859375
1.0,30.0,0.17178468299994165,2.9,993.25,17.2880859375
1.0,31.0,0.18605078099994898,5.4,993.26953125,17.2880859375
1.0,32.0,0.19528569799990692,10.3,993.27734375,17.2880859375
1.0,33.0,0.21313036700007615,20.9,993.2890625,17.2880859375
1.0,34.0,0.20452855700000327,9.8,993.31640625,17.2880859375
1.0,35.0,0.19507446900001923,4.9,993.3359375,17.2880859375
1.0,36.0,0.18079112300006273,2.8,993.35546875,17.2880859375
1.0,37.0,0.17911084599995775,8.6,993.3828125,17.2880859375
1.0,38.0,0.17428400800008603,2.9,993.4140625,17.2880859375
1.0,39.0,0.21494780300008642,4.7,993.44921875,17.2880859375
1.0,40.0,0.19796368300012546,5.0,993.453125,17.2880859375
1.0,41.0,0.19725570099990364,2.5,993.453125,17.2880859375
1.0,42.0,0.04879845100003877,44.4,993.45703125,17.2880859375
1.0,43.0,0.19793567500005338,15.0,993.4609375,17.2880859375
1.0,44.0,0.22313523100001476,4.4,993.47265625,17.2880859375
1.0,45.0,0.17542748599998959,0.0,993.48828125,17.2880859375
