Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.25237302999994427,51.9,769.640625,8.162109375
1.0,2.0,0.16499362899958214,3.0,769.68359375,8.162109375
1.0,3.0,0.16009190099975967,3.0,769.6953125,8.162109375
1.0,4.0,0.16573944200172264,3.0,769.73828125,8.162109375
1.0,5.0,0.04342169899973669,44.4,769.85546875,8.162109375
1.0,6.0,0.1766837349987327,8.8,770.01953125,8.162109375
1.0,7.0,0.16743289999976696,11.4,770.10546875,8.162109375
1.0,8.0,0.19494143399970199,8.1,770.296875,8.162109375
1.0,9.0,0.16489717699914763,3.0,770.3203125,8.162109375
1.0,10.0,0.04267880900079035,50.0,770.3671875,8.162109375
1.0,11.0,0.17140884999935224,8.6,770.3984375,8.162109375
1.0,12.0,0.1736475790003169,8.3,770.42578125,8.162109375
1.0,13.0,0.1628495599998132,9.4,770.48828125,8.162109375
1.0,14.0,0.162441434998982,3.1,770.52734375,8.162109375
1.0,15.0,0.1669018929987942,5.9,770.53515625,8.162109375
1.0,16.0,0.39460123800017755,30.0,987.34765625,16.2880859375
1.0,17.0,0.16173989200069627,0.0,987.39453125,16.2880859375
1.0,18.0,0.16428985799939255,9.4,987.44140625,16.2880859375
1.0,19.0,0.1743607449989213,5.7,987.4609375,16.2880859375
1.0,20.0,0.1860336659992754,7.9,987.46484375,16.2880859375
1.0,21.0,0.17630673600069713,8.6,987.515625,16.2880859375
1.0,22.0,0.16098151899859658,3.0,987.54296875,16.2880859375
1.0,23.0,0.18693413199980569,2.7,987.546875,16.2880859375
1.0,24.0,0.1643119519994798,12.1,987.5625,16.2880859375
1.0,25.0,0.16495890500118549,3.0,987.56640625,16.2880859375
1.0,26.0,0.17023300100117922,5.7,987.58984375,16.2880859375
1.0,27.0,0.1628043050004635,37.5,987.65234375,16.2880859375
1.0,28.0,0.17614398599835113,58.3,987.68359375,16.2880859375
1.0,29.0,0.17638243599867565,55.6,987.6953125,16.2880859375
1.0,30.0,0.16487930299990694,62.5,987.6953125,16.2880859375
1.0,31.0,0.18602060999910464,59.5,987.69921875,16.2880859375
1.0,32.0,0.17766407700037234,61.1,987.71484375,16.2880859375
1.0,33.0,0.19885074500052724,65.0,987.72265625,16.2880859375
1.0,34.0,0.208692209000219,73.2,987.74609375,16.2880859375
1.0,35.0,0.1654001570004766,31.4,987.765625,16.2880859375
1.0,36.0,0.16239733899965358,3.1,987.77734375,16.2880859375
1.0,37.0,0.16585367500010761,3.0,987.796875,16.2880859375
1.0,38.0,0.16568562599968573,3.0,987.828125,16.2880859375
1.0,39.0,0.17415384700143477,5.7,987.875,16.2880859375
1.0,40.0,0.18373499699919194,2.7,987.875,16.2880859375
1.0,41.0,0.16242887599946698,9.4,987.875,16.2880859375
1.0,42.0,0.045795073001499986,50.0,987.8828125,16.2880859375
1.0,43.0,0.17361347900077817,8.6,987.88671875,16.2880859375
1.0,44.0,0.16666493400043692,3.0,987.91015625,16.2880859375
1.0,45.0,0.16674994200002402,2.9,987.9296875,16.2880859375
1.0,46.0,0.16931622000083735,5.9,987.953125,16.2880859375
1.0,47.0,0.15757690899954468,3.1,987.9765625,16.2880859375
1.0,48.0,0.18421277699962957,15.8,987.99609375,16.2880859375
1.0,49.0,0.0462201250011276,50.0,988.0,16.2880859375
1.0,50.0,0.16874549400017713,5.7,988.01171875,16.2880859375
1.0,51.0,0.1648065030003636,0.0,988.03125,16.2880859375
1.0,52.0,0.18839249499978905,7.7,988.05859375,16.2880859375
1.0,53.0,0.19634533200041915,7.7,988.06640625,16.2880859375
1.0,54.0,0.17451004299982742,8.6,988.08984375,16.2880859375
1.0,55.0,0.16838944600021932,6.1,988.14453125,16.2880859375
