Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,3.2620237430001,30.7,769.625,8.162109375
1.0,2.0,1.003895845000443,2.5,769.703125,8.162109375
1.0,3.0,0.28564723699946626,1.8,769.703125,8.162109375
2.0,1.0,0.4622476770000503,3.3,769.71484375,8.162109375
2.0,2.0,8.162345526000536,15.9,1200.43359375,36.6748046875
2.0,3.0,2.49110452900004,4.6,1200.6328125,36.6748046875
3.0,1.0,1.0360244220000823,4.8,1200.640625,36.6748046875
3.0,2.0,5.334291231999487,20.6,1200.9375,36.6748046875
3.0,3.0,0.8890486489999603,3.4,1200.9375,36.6748046875
4.0,1.0,4.854692666999654,4.5,1263.7421875,36.67578125
4.0,2.0,1.7902313150007103,38.8,1263.75390625,36.67578125
4.0,3.0,1.8059999600000083,18.1,1263.78125,36.67578125
5.0,1.0,0.4446205829999599,5.6,1263.79296875,36.67578125
5.0,2.0,0.3560134389999803,2.8,1263.79296875,36.67578125
5.0,3.0,0.4368138050003836,6.8,1263.79296875,36.67578125
6.0,1.0,4.019139695000376,4.0,1263.86328125,36.67578125
6.0,2.0,5.022418324000682,20.9,1263.8984375,36.67578125
6.0,3.0,1.9701712149999366,4.1,1263.9140625,36.67578125
7.0,1.0,0.14798361999964982,3.3,1263.921875,36.67578125
7.0,2.0,1.1993487009995079,5.0,1263.92578125,36.67578125
7.0,3.0,1.016755609000029,3.9,1263.95703125,36.67578125
8.0,1.0,0.30440086300041,1.6,1263.95703125,36.67578125
8.0,2.0,7.522643958000117,14.8,1264.05859375,36.67578125
8.0,3.0,1.2236120329998812,4.9,1264.0703125,36.67578125
9.0,1.0,1.507203221999589,5.0,1264.0703125,36.67578125
9.0,2.0,0.14328441799989378,3.4,1264.0703125,36.67578125
9.0,3.0,0.44163973499962594,5.7,1264.078125,36.67578125
10.0,1.0,0.14787776100001793,3.4,1264.08984375,36.67578125
10.0,2.0,1.020613542999854,4.9,1264.12890625,36.67578125
10.0,3.0,0.45924009299960744,2.2,1264.12890625,36.67578125
11.0,1.0,7.368473690999963,15.7,1264.203125,36.67578125
11.0,2.0,7.261697220999849,4.1,1264.27734375,36.67578125
11.0,3.0,0.14414620399929845,10.3,1264.28125,36.67578125
12.0,1.0,3.3108434030000353,28.0,1264.5,36.67578125
12.0,2.0,0.31691312400016614,1.6,1264.5,36.67578125
12.0,3.0,1.468231423999896,4.8,1264.5,36.67578125
13.0,1.0,1.1607555919999868,3.5,1264.5,36.67578125
13.0,2.0,0.1438604730001316,3.6,1264.5,36.67578125
13.0,3.0,0.7317310959997485,4.8,1264.5,36.67578125
14.0,1.0,0.1418400370002928,3.4,1264.50390625,36.67578125
14.0,2.0,0.1515411629998198,6.5,1264.5078125,36.67578125
14.0,3.0,1.3293583049999143,3.8,1264.5078125,36.67578125
15.0,1.0,0.3011457259999588,3.3,1264.51171875,36.67578125
15.0,2.0,1.0356922239998312,4.3,1264.515625,36.67578125
15.0,3.0,0.14210770099998626,10.7,1264.515625,36.67578125
16.0,1.0,2.1248867240001346,4.0,1264.515625,36.67578125
16.0,2.0,1.2375976619996436,53.5,1264.51953125,36.67578125
16.0,3.0,1.630098521999571,14.7,1264.52734375,36.67578125
17.0,1.0,2.5421668239996507,5.5,1264.53125,36.67578125
17.0,2.0,0.4321145490002891,2.3,1264.54296875,36.67578125
17.0,3.0,3.745656707999842,4.6,1264.56640625,36.67578125
18.0,1.0,1.160845540000082,3.9,1264.578125,36.67578125
18.0,2.0,2.9000239469996814,32.0,1264.59375,36.67578125
18.0,3.0,2.880651783999383,4.2,1264.62109375,36.67578125
19.0,1.0,0.5884743710003022,3.4,1264.66015625,36.67578125
19.0,2.0,1.7883350219999556,4.2,1264.6640625,36.67578125
19.0,3.0,0.5846832619999986,6.0,1264.6953125,36.67578125
20.0,1.0,1.6130962870001895,3.7,1264.6953125,36.67578125
20.0,2.0,2.06277197899999,10.2,1264.72265625,36.67578125
20.0,3.0,7.466504833999352,13.3,1264.77734375,36.67578125
21.0,1.0,2.0531982279999283,4.6,1264.7890625,36.67578125
21.0,2.0,2.283265908999965,19.6,1264.8203125,36.67578125
21.0,3.0,2.966332361000241,20.9,1264.83984375,36.67578125
22.0,1.0,1.7496941109993713,4.6,1264.875,36.67578125
22.0,2.0,2.2534369559998595,3.6,1264.8828125,36.67578125
22.0,3.0,0.7466043199992782,4.7,1264.8828125,36.67578125
23.0,1.0,3.4052581100004318,10.0,1264.9296875,36.67578125
23.0,2.0,1.7738945629998852,41.0,1264.95703125,36.67578125
23.0,3.0,0.8745393059998605,4.0,1264.97265625,36.67578125
24.0,1.0,7.363947331999952,5.0,1265.04296875,36.67578125
24.0,2.0,1.314688491999732,8.8,1265.0703125,36.67578125
24.0,3.0,1.4482926260006934,54.0,1265.10546875,36.67578125
