Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.23053880999941612,51.6,769.73046875,8.162109375
1.0,2.0,0.15548464200037415,6.2,769.77734375,8.162109375
1.0,3.0,0.1459588249999797,3.3,769.77734375,8.162109375
1.0,4.0,0.14335207699878083,3.4,769.82421875,8.162109375
1.0,5.0,0.04527321500063408,55.6,769.9296875,8.162109375
1.0,6.0,0.16772989700075414,11.4,770.09375,8.162109375
1.0,7.0,0.15531053800077643,10.0,770.17578125,8.162109375
1.0,8.0,0.17267809599979955,11.4,770.37109375,8.162109375
1.0,9.0,0.14425722599844448,6.7,770.39453125,8.162109375
1.0,10.0,0.045360350000919425,50.0,770.44140625,8.162109375
1.0,11.0,0.1576676149998093,6.2,770.47265625,8.162109375
1.0,12.0,0.14611413900092884,6.7,770.515625,8.162109375
1.0,13.0,0.14871179500005383,0.0,770.5703125,8.162109375
1.0,14.0,0.14721878500131425,16.1,770.6015625,8.162109375
1.0,15.0,0.15202912600034324,6.7,770.6171875,8.162109375
1.0,16.0,0.37506020899854775,32.0,987.4140625,16.2880859375
1.0,17.0,0.1440883049999684,3.4,987.44140625,16.2880859375
1.0,18.0,0.14621565100060252,3.3,987.50390625,16.2880859375
1.0,19.0,0.15677626199976658,12.9,987.5234375,16.2880859375
1.0,20.0,0.16980069300007017,8.8,987.5546875,16.2880859375
1.0,21.0,0.15856278799947177,6.5,987.5859375,16.2880859375
1.0,22.0,0.14545028500106127,6.7,987.625,16.2880859375
1.0,23.0,0.14972658499937097,3.3,987.6328125,16.2880859375
1.0,24.0,0.15139350800018292,9.7,987.6328125,16.2880859375
1.0,25.0,0.14742225400004827,48.3,987.6328125,16.2880859375
1.0,26.0,0.16119556299963733,65.6,987.67578125,16.2880859375
1.0,27.0,0.14795817800040822,56.7,987.71875,16.2880859375
1.0,28.0,0.15124005200050306,53.3,987.75,16.2880859375
1.0,29.0,0.1556993029989826,58.1,987.75390625,16.2880859375
1.0,30.0,0.14326317100130836,53.3,987.75390625,16.2880859375
1.0,31.0,0.165813937999701,66.7,987.765625,16.2880859375
1.0,32.0,0.15863971399994625,68.8,987.77734375,16.2880859375
1.0,33.0,0.19119461700029206,71.1,987.78125,16.2880859375
1.0,34.0,0.19213242899968463,53.8,987.80859375,16.2880859375
