Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.2955729830009659,51.5,774.6015625,8.162109375
1.0,2.0,0.19019792600010987,2.6,774.65234375,8.162109375
1.0,3.0,0.2050779560013325,2.4,774.66796875,8.162109375
1.0,4.0,0.19516777399985585,7.7,774.7109375,8.162109375
1.0,5.0,0.05040990899942699,50.0,774.7578125,8.162109375
1.0,6.0,0.2244529350009543,6.5,774.7734375,8.162109375
1.0,7.0,0.186255460999746,2.7,774.796875,8.162109375
1.0,8.0,0.25808815299933485,7.7,774.8125,8.162109375
1.0,9.0,0.1944443289994524,10.3,774.82421875,8.162109375
1.0,10.0,0.04986625299898151,50.0,774.8515625,8.162109375
1.0,11.0,0.21077690499987511,4.7,774.85546875,8.162109375
1.0,12.0,0.2066786420000426,2.5,774.87109375,8.162109375
1.0,13.0,0.18780432799940172,2.6,774.8984375,8.162109375
1.0,14.0,0.18866156500007492,5.3,774.90625,8.162109375
1.0,15.0,0.26057350100018084,7.8,774.90625,8.162109375
1.0,16.0,0.47791506000066875,30.9,993.41015625,17.2880859375
1.0,17.0,0.16633707999972103,0.0,993.44921875,17.2880859375
1.0,18.0,0.17786239499946532,5.4,993.4609375,17.2880859375
1.0,19.0,0.1954138460005197,7.9,993.48046875,17.2880859375
1.0,20.0,0.23404407700036245,6.4,993.52734375,17.2880859375
1.0,21.0,0.21422363899910124,9.1,993.58984375,17.2880859375
1.0,22.0,0.1706664630000887,0.0,993.59375,17.2880859375
1.0,23.0,0.19404061299974273,5.0,993.59765625,17.2880859375
1.0,24.0,0.21984188299938978,9.1,993.625,17.2880859375
1.0,25.0,0.17254458800016437,0.0,993.64453125,17.2880859375
1.0,26.0,0.19696924699928786,50.0,993.6953125,17.2880859375
1.0,27.0,0.1776644239998859,57.1,993.73046875,17.2880859375
1.0,28.0,0.18675374600024952,56.8,993.73828125,17.2880859375
1.0,29.0,0.193754493000597,64.1,993.73828125,17.2880859375
1.0,30.0,0.16861833199982357,50.0,993.7421875,17.2880859375
1.0,31.0,0.2388861769995856,64.6,993.765625,17.2880859375
1.0,32.0,0.2212722650001524,63.6,993.77734375,17.2880859375
1.0,33.0,0.27760715700060246,38.2,993.78515625,17.2880859375
1.0,34.0,0.29806955800086143,15.0,993.8046875,17.2880859375
1.0,35.0,0.18863818099998753,2.7,993.828125,17.2880859375
1.0,36.0,0.1886154969997733,5.1,993.85546875,17.2880859375
1.0,37.0,0.20135190900145972,2.6,993.87890625,17.2880859375
1.0,38.0,0.16786071899878152,5.9,993.91015625,17.2880859375
1.0,39.0,0.23170419099915307,12.8,993.953125,17.2880859375
1.0,40.0,0.2075544750005065,2.4,993.953125,17.2880859375
1.0,41.0,0.17973149700083013,2.8,993.953125,17.2880859375
1.0,42.0,0.049335945999700925,50.0,993.9609375,17.2880859375
1.0,43.0,0.2188025989999005,4.5,993.9609375,17.2880859375
1.0,44.0,0.1960874230007903,10.3,993.9765625,17.2880859375
1.0,45.0,0.1646136210001714,3.0,993.9921875,17.2880859375
1.0,46.0,0.22911006700087455,6.4,994.01171875,17.2880859375
1.0,47.0,0.17596751900055096,2.9,994.03515625,17.2880859375
1.0,48.0,0.2286562530007359,8.5,994.05078125,17.2880859375
1.0,49.0,0.051249951000500005,50.0,994.05078125,17.2880859375
1.0,50.0,0.1957306049989711,7.7,994.06640625,17.2880859375
1.0,51.0,0.20436391300063406,4.9,994.1015625,17.2880859375
1.0,52.0,0.20069397699990077,5.0,994.125,17.2880859375
1.0,53.0,0.23765356600051746,6.2,994.12890625,17.2880859375
1.0,54.0,0.204978879999544,4.8,994.1484375,17.2880859375
1.0,55.0,0.1937639379993925,7.9,994.1953125,17.2880859375
1.0,56.0,0.1929349080000975,5.1,994.23828125,17.2880859375
1.0,57.0,0.2055075249991205,0.0,994.23828125,17.2880859375
1.0,58.0,0.26041131199963274,92.3,994.2578125,17.2880859375
1.0,59.0,0.2880469379997521,100.0,994.296875,17.2880859375
1.0,60.0,0.20624068699908094,100.0,994.3203125,17.2880859375
1.0,61.0,0.19542147199899773,100.0,994.32421875,17.2880859375
1.0,62.0,0.21640956000010192,6.7,994.34375,17.2880859375
1.0,63.0,0.20973766899987822,12.2,994.3828125,17.2880859375
1.0,64.0,0.35895698300009826,100.0,994.4375,17.2880859375
1.0,65.0,0.3718714300011925,100.0,994.4375,17.2880859375
1.0,66.0,0.2679725510006392,75.9,994.4765625,17.2880859375
1.0,67.0,0.17885855799977435,2.8,994.51171875,17.2880859375
1.0,68.0,0.19883914999991248,25.0,994.53515625,17.2880859375
1.0,69.0,0.26237466299971857,100.0,994.53515625,17.2880859375
1.0,70.0,0.2240289750006923,100.0,994.5390625,17.2880859375
1.0,71.0,0.2909858519997215,98.3,994.5546875,17.2880859375
1.0,72.0,0.1884467539985053,35.9,994.5703125,17.2880859375
1.0,73.0,0.23910780400001386,6.2,994.59375,17.2880859375
1.0,74.0,0.17391329699967173,2.9,994.609375,17.2880859375
1.0,75.0,0.16803779400106578,0.0,994.609375,17.2880859375
1.0,76.0,0.18240823700034525,2.8,994.609375,17.2880859375
1.0,77.0,0.3211486070013052,13.8,994.6171875,17.2880859375
1.0,78.0,0.19162799500008987,2.6,994.62109375,17.2880859375
1.0,79.0,0.1833449940004357,8.1,994.640625,17.2880859375
1.0,80.0,0.1838256189985259,59.5,994.64453125,17.2880859375
1.0,81.0,0.19469473099889,52.6,994.6640625,17.2880859375
1.0,82.0,0.16675581700110342,64.7,994.6796875,17.2880859375
1.0,83.0,0.17149617399991257,51.4,994.69921875,17.2880859375
1.0,84.0,0.28274993100058055,60.7,994.734375,17.2880859375
1.0,85.0,0.19950364099895523,60.0,994.734375,17.2880859375
1.0,86.0,0.17666990099860413,61.8,994.734375,17.2880859375
1.0,87.0,0.20255922899923462,25.0,994.734375,17.2880859375
1.0,88.0,0.1807374929994694,2.8,994.734375,17.2880859375
1.0,89.0,0.048067859999719076,50.0,994.75390625,17.2880859375
1.0,90.0,0.19197697799972957,5.0,994.75390625,17.2880859375
1.0,91.0,0.18590687500000058,2.7,994.75390625,17.2880859375
