Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.301894481999625,74.0,774.5546875,8.162109375
1.0,2.0,0.20472310300101526,4.9,774.60546875,8.162109375
1.0,3.0,0.17481234700062487,8.8,774.6171875,8.162109375
1.0,4.0,0.18329456799983745,5.4,774.6640625,8.162109375
1.0,5.0,0.04850803800036374,50.0,774.70703125,8.162109375
1.0,6.0,0.19526731800033303,7.5,774.73046875,8.162109375
1.0,7.0,0.17287392399884993,2.9,774.75,8.162109375
1.0,8.0,0.25546107700029097,11.8,774.765625,8.162109375
1.0,9.0,0.1812956439989648,8.1,774.77734375,8.162109375
1.0,10.0,0.04813400800048839,50.0,774.80078125,8.162109375
1.0,11.0,0.1908224140006496,5.3,774.80859375,8.162109375
1.0,12.0,0.19771271600075124,5.0,774.828125,8.162109375
1.0,13.0,0.16970899700027076,3.0,774.84765625,8.162109375
1.0,14.0,0.2016653779992339,7.1,774.86328125,8.162109375
1.0,15.0,0.22988251999959175,8.9,774.86328125,8.162109375
1.0,16.0,0.508669832999658,25.7,993.37109375,17.2880859375
1.0,17.0,0.1628819379984634,3.0,993.40234375,17.2880859375
1.0,18.0,0.18361113700120768,8.1,993.40234375,17.2880859375
1.0,19.0,0.19049485600044136,5.1,993.42578125,17.2880859375
1.0,20.0,0.24108813000020746,6.3,993.4765625,17.2880859375
1.0,21.0,0.2090579899995646,9.5,993.53515625,17.2880859375
1.0,22.0,0.1655149430007441,3.0,993.53515625,17.2880859375
1.0,23.0,0.1858413890004158,10.8,993.5390625,17.2880859375
1.0,24.0,0.19213527600004454,7.5,993.5546875,17.2880859375
1.0,25.0,0.18224351900062175,2.7,993.6015625,17.2880859375
1.0,26.0,0.19924014900061593,2.6,993.65234375,17.2880859375
1.0,27.0,0.18104936100098712,5.4,993.7109375,17.2880859375
1.0,28.0,0.17011435300082667,3.0,993.71875,17.2880859375
1.0,29.0,0.18970950599941716,12.8,993.71875,17.2880859375
