Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.33793656999932864,66.8,774.5625,8.162109375
1.0,2.0,0.18414877999930468,62.2,774.62109375,8.162109375
1.0,3.0,0.16839950800022052,60.6,774.6328125,8.162109375
1.0,4.0,0.174391008999919,58.3,774.671875,8.162109375
1.0,5.0,0.0505760169999121,63.6,774.71875,8.162109375
1.0,6.0,0.20442816200011293,9.8,774.73046875,8.162109375
1.0,7.0,0.20022311900083878,7.7,774.75390625,8.162109375
1.0,8.0,0.2773528850002549,7.3,774.76953125,8.162109375
1.0,9.0,0.16778841199993622,5.9,774.78125,8.162109375
1.0,10.0,0.049231146999773046,50.0,774.81640625,8.162109375
1.0,11.0,0.20822386700001516,4.8,774.81640625,8.162109375
1.0,12.0,0.19575978800003213,7.7,774.8359375,8.162109375
1.0,13.0,0.18596332800007076,2.7,774.85546875,8.162109375
1.0,14.0,0.19091490400023758,5.1,774.87109375,8.162109375
1.0,15.0,0.19834518199968443,7.5,774.87109375,8.162109375
1.0,16.0,0.4888556010000684,41.2,993.390625,17.2880859375
1.0,17.0,0.16262809700037906,3.0,993.4296875,17.2880859375
1.0,18.0,0.17721360199993796,0.0,993.43359375,17.2880859375
1.0,19.0,0.21072503799950937,9.1,993.4453125,17.2880859375
1.0,20.0,0.24798012799965363,6.1,993.50390625,17.2880859375
1.0,21.0,0.21729295299974183,11.6,993.56640625,17.2880859375
1.0,22.0,0.1768825810004273,2.8,993.578125,17.2880859375
1.0,23.0,0.1921146590002536,2.6,993.58203125,17.2880859375
1.0,24.0,0.19162253800004692,5.3,993.6015625,17.2880859375
1.0,25.0,0.1688201779998053,0.0,993.6328125,17.2880859375
1.0,26.0,0.2056992560001163,11.6,993.67578125,17.2880859375
1.0,27.0,0.19089921500017226,5.3,993.703125,17.2880859375
1.0,28.0,0.1786077099995964,2.8,993.71484375,17.2880859375
1.0,29.0,0.20127898500049923,7.3,993.72265625,17.2880859375
1.0,30.0,0.17226120800023637,0.0,993.72265625,17.2880859375
1.0,31.0,0.21869339799923182,6.8,993.7421875,17.2880859375
1.0,32.0,0.19806930499998998,7.7,993.765625,17.2880859375
1.0,33.0,0.24077025099995808,8.2,993.77734375,17.2880859375
1.0,34.0,0.2618333390000771,9.6,993.81640625,17.2880859375
1.0,35.0,0.1709879350000847,2.9,993.8359375,17.2880859375
1.0,36.0,0.17932904600002075,2.9,993.87109375,17.2880859375
1.0,37.0,0.18715770800008613,13.2,993.88671875,17.2880859375
1.0,38.0,0.1840594040004362,0.0,993.91796875,17.2880859375
1.0,39.0,0.2344664170004762,6.4,993.96875,17.2880859375
1.0,40.0,0.1996519639997132,2.5,993.97265625,17.2880859375
1.0,41.0,0.19751977999931114,2.5,993.97265625,17.2880859375
1.0,42.0,0.06233421500019176,76.9,993.9765625,17.2880859375
1.0,43.0,0.21075555300012638,4.8,993.9765625,17.2880859375
1.0,44.0,0.19628884799931257,5.0,993.98046875,17.2880859375
1.0,45.0,0.16273259999979928,3.0,993.98046875,17.2880859375
1.0,46.0,0.20818095600043307,4.8,994.01171875,17.2880859375
1.0,47.0,0.17995168899960845,5.6,994.03125,17.2880859375
1.0,48.0,0.22637257400037925,8.9,994.0390625,17.2880859375
1.0,49.0,0.049493559000438836,50.0,994.05078125,17.2880859375
1.0,50.0,0.18837142700067488,5.3,994.078125,17.2880859375
1.0,51.0,0.1680560519998835,2.9,994.1015625,17.2880859375
1.0,52.0,0.2146073450003314,4.7,994.109375,17.2880859375
1.0,53.0,0.23866327300038392,10.4,994.1171875,17.2880859375
1.0,54.0,0.17892420699990907,2.8,994.14453125,17.2880859375
1.0,55.0,0.19138747499982856,5.3,994.19140625,17.2880859375
1.0,56.0,0.2010920780003289,35.0,994.234375,17.2880859375
1.0,57.0,0.16573738399983995,54.5,994.23828125,17.2880859375
1.0,58.0,0.24706064000019978,60.0,994.2421875,17.2880859375
1.0,59.0,0.20346818899997743,64.3,994.26953125,17.2880859375
1.0,60.0,0.06818493399987346,100.0,994.28515625,17.2880859375
1.0,61.0,0.19977847499922063,57.5,994.28515625,17.2880859375
1.0,62.0,0.17612872599966067,58.3,994.30078125,17.2880859375
1.0,63.0,0.21129954099978931,65.0,994.328125,17.2880859375
