Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.01212758299880079,73.5,510.66015625,0.0
1.0,2.0,0.017896209999889834,62.5,513.8046875,0.0
1.0,3.0,0.005166396000277018,0.0,513.828125,0.0
1.0,4.0,0.012801631000911584,66.7,513.87109375,0.0
1.0,5.0,0.0025857689997792477,0.0,513.88671875,0.0
1.0,6.0,0.004289401000278303,0.0,513.91015625,0.0
1.0,7.0,0.004282781999791041,100.0,513.9296875,0.0
1.0,8.0,0.008637633000034839,50.0,513.984375,0.0
1.0,9.0,0.00957343699883495,50.0,514.046875,0.0
1.0,10.0,0.0043406100012362,0.0,514.0859375,0.0
1.0,11.0,0.005955571999948006,100.0,514.12890625,0.0
1.0,12.0,0.012266579000424827,33.3,514.22265625,0.0
1.0,13.0,0.00704376800058526,100.0,514.28515625,0.0
1.0,14.0,0.012109426999813877,33.3,514.3671875,0.0
1.0,15.0,0.013122684998961631,100.0,514.37890625,0.0
1.0,16.0,0.037865308000618825,87.5,514.3984375,0.0
1.0,17.0,0.001806899999792222,0.0,514.40625,0.0
1.0,18.0,0.005074152999441139,50.0,514.4140625,0.0
1.0,19.0,0.00260911599980318,0.0,514.42578125,0.0
1.0,20.0,0.001687813000899041,0.0,514.43359375,0.0
1.0,21.0,0.015543428000455606,50.0,514.44921875,0.0
1.0,22.0,0.0034210009998787427,0.0,514.44921875,0.0
1.0,23.0,0.01023400399935781,50.0,514.453125,0.0
1.0,24.0,0.009881443000267609,66.7,514.4609375,0.0
1.0,25.0,0.005027918001360376,100.0,514.46875,0.0
1.0,26.0,0.007036458000584389,50.0,514.47265625,0.0
1.0,27.0,0.001932533999934094,0.0,514.4765625,0.0
1.0,28.0,0.003588730998671963,0.0,514.48828125,0.0
1.0,29.0,0.003373431998625165,50.0,514.4921875,0.0
1.0,30.0,0.012794075000783778,50.0,514.5,0.0
1.0,31.0,0.006809066000641906,50.0,514.50390625,0.0
1.0,32.0,0.00513994500033732,0.0,514.51171875,0.0
1.0,33.0,0.009422772000107216,50.0,514.51953125,0.0
1.0,34.0,0.0033505920000607148,100.0,514.5234375,0.0
1.0,35.0,0.006932262000191258,50.0,514.5234375,0.0
1.0,36.0,0.011226343998714583,50.0,514.53515625,0.0
1.0,37.0,0.005144679000295582,0.0,514.5390625,0.0
1.0,38.0,0.00427740399936738,50.0,514.546875,0.0
1.0,39.0,0.005921629999647848,100.0,514.546875,0.0
1.0,40.0,0.009085308000067016,100.0,514.55859375,0.0
1.0,41.0,0.006545619000462466,50.0,514.55859375,0.0
1.0,42.0,0.008330824000950088,100.0,514.56640625,0.0
1.0,43.0,0.009843428999374737,50.0,514.57421875,0.0
1.0,44.0,0.0043386239995015785,50.0,514.57421875,0.0
1.0,45.0,0.006982037999478052,50.0,514.57421875,0.0
1.0,46.0,0.0017252220004593255,0.0,514.58203125,0.0
1.0,47.0,0.015418861999933142,50.0,514.59765625,0.0
1.0,48.0,0.0043346550010028295,50.0,514.6015625,0.0
1.0,49.0,0.004320697998991818,0.0,514.6015625,0.0
1.0,50.0,0.001698132999081281,50.0,514.60546875,0.0
1.0,51.0,0.014952996998545132,50.0,514.609375,0.0
