Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.006069025999750011,56.6,510.3828125,0.0
1.0,2.0,0.0073273240004709805,60.0,513.50390625,0.0
1.0,3.0,0.028366780999931507,50.0,513.578125,0.0
1.0,4.0,0.007892867000009574,50.0,513.62109375,0.0
1.0,5.0,0.0017196990002048551,0.0,513.6328125,0.0
1.0,6.0,0.005242895999799657,0.0,513.65234375,0.0
1.0,7.0,0.013771619999715767,66.7,513.734375,0.0
1.0,8.0,0.003345828999954392,0.0,513.76171875,0.0
1.0,9.0,0.010401072000604472,50.0,513.83203125,0.0
1.0,10.0,0.007037270999717293,100.0,513.89453125,0.0
1.0,11.0,0.010346941999159753,33.3,513.9765625,0.0
1.0,12.0,0.00256501500007289,0.0,514.0078125,0.0
1.0,13.0,0.004393466999317752,100.0,514.0390625,0.0
1.0,14.0,0.007808986999407352,50.0,514.078125,0.0
1.0,15.0,0.007661935999749403,50.0,514.1015625,0.0
1.0,16.0,0.013988177999635809,33.3,514.11328125,0.0
1.0,17.0,0.00701638299960905,100.0,514.125,0.0
1.0,18.0,0.00428769599966472,0.0,514.1328125,0.0
1.0,19.0,0.0017625419995965785,100.0,514.140625,0.0
1.0,20.0,0.012617837999641779,50.0,514.15625,0.0
1.0,21.0,0.006783318999623589,66.7,514.15625,0.0
1.0,22.0,0.013406740999926114,50.0,514.16796875,0.0
1.0,23.0,0.005325466999238415,50.0,514.171875,0.0
1.0,24.0,0.001737248999233998,0.0,514.171875,0.0
1.0,25.0,0.007745803000034357,50.0,514.1796875,0.0
1.0,26.0,0.011690926999108342,50.0,514.19140625,0.0
1.0,27.0,0.01302354900053615,50.0,514.19921875,0.0
1.0,28.0,0.008614452999609057,50.0,514.20703125,0.0
1.0,29.0,0.008692700999745284,50.0,514.21484375,0.0
1.0,30.0,0.01770197299993015,50.0,514.22265625,0.0
1.0,31.0,0.01624615100081428,50.0,514.23828125,0.0
1.0,32.0,0.002639502999954857,0.0,514.2421875,0.0
1.0,33.0,0.0017616509994695662,0.0,514.2421875,0.0
1.0,34.0,0.0025563179997334373,50.0,514.25,0.0
1.0,35.0,0.010234741999738617,50.0,514.26171875,0.0
1.0,36.0,0.014922502000445093,50.0,514.2734375,0.0
1.0,37.0,0.006008326000483066,50.0,514.27734375,0.0
1.0,38.0,0.005204948999562475,0.0,514.28515625,0.0
1.0,39.0,0.013467142000081367,75.0,514.30078125,0.0
1.0,40.0,0.023814832000425668,100.0,514.30078125,0.0
1.0,41.0,0.006611520999285858,100.0,514.3046875,0.0
1.0,42.0,0.00834182300059183,100.0,514.3125,0.0
1.0,43.0,0.02890557099999569,100.0,514.328125,0.0
1.0,44.0,0.007999167999514611,100.0,514.3359375,0.0
1.0,45.0,0.006779995999750099,100.0,514.3359375,0.0
1.0,46.0,0.0035804420003842097,0.0,514.33984375,0.0
1.0,47.0,0.0030685020001328667,100.0,514.33984375,0.0
1.0,48.0,0.013025821000155702,100.0,514.3515625,0.0
1.0,49.0,0.005296565999742597,100.0,514.35546875,0.0
1.0,50.0,0.0035319660000823205,100.0,514.35546875,0.0
1.0,51.0,0.014657351000096241,100.0,514.3671875,0.0
1.0,52.0,0.019706037000105425,100.0,514.375,0.0
1.0,53.0,0.00616755999999441,100.0,514.37890625,0.0
1.0,54.0,0.002436482999655709,100.0,514.3828125,0.0
1.0,55.0,0.01409645800049475,100.0,514.38671875,0.0
1.0,56.0,0.007608064000123704,100.0,514.38671875,0.0
1.0,57.0,0.012203764999867417,100.0,514.3984375,0.0
1.0,58.0,0.005752647000008437,100.0,514.3984375,0.0
1.0,59.0,0.003426479000154359,100.0,514.3984375,0.0
1.0,60.0,0.01707736400021531,100.0,514.3984375,0.0
1.0,61.0,0.007887356000537693,100.0,514.3984375,0.0
1.0,62.0,0.002652206999300688,100.0,514.3984375,0.0
1.0,63.0,0.01945439700011775,100.0,514.3984375,0.0
1.0,64.0,0.005806967999888002,100.0,514.40234375,0.0
1.0,65.0,0.007003134999649774,100.0,514.40625,0.0
1.0,66.0,0.0023146640005506924,0.0,514.41015625,0.0
1.0,67.0,0.010526646000471374,100.0,514.41015625,0.0
1.0,68.0,0.005859922000126971,100.0,514.421875,0.0
1.0,69.0,0.005865238000296813,100.0,514.4296875,0.0
1.0,70.0,0.008302917000037269,100.0,514.4296875,0.0
1.0,71.0,0.015540307999799552,75.0,514.4453125,0.0
1.0,72.0,0.008973224999863305,100.0,514.453125,0.0
1.0,73.0,0.006870231999528187,100.0,514.45703125,0.0
1.0,74.0,0.010345575000428653,100.0,514.46484375,0.0
