Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.006066902999009471,76.2,510.79296875,0.0
1.0,2.0,0.02946610400067584,50.0,513.96484375,0.0
1.0,3.0,0.0016100800003187032,0.0,513.9765625,0.0
1.0,4.0,0.006738322999808588,50.0,514.00390625,0.0
1.0,5.0,0.003209905999028706,100.0,514.0234375,0.0
1.0,6.0,0.010048685000583646,50.0,514.0625,0.0
1.0,7.0,0.011978844000623212,33.3,514.11328125,0.0
1.0,8.0,0.010083363000376266,50.0,514.1796875,0.0
1.0,9.0,0.00638180799978727,100.0,514.21875,0.0
1.0,10.0,0.007580894000057015,50.0,514.26953125,0.0
1.0,11.0,0.01768580899988592,33.3,514.40625,0.0
1.0,12.0,0.0050350830006209435,50.0,514.44921875,0.0
1.0,13.0,0.00835459100017033,100.0,514.5,0.0
1.0,14.0,0.0022419470005843323,0.0,514.5,0.0
1.0,15.0,0.002457848000631202,0.0,514.50390625,0.0
1.0,16.0,0.0031919549983285833,100.0,514.51171875,0.0
1.0,17.0,0.01083618399934494,33.3,514.52734375,0.0
1.0,18.0,0.0013831220003339695,0.0,514.53515625,0.0
1.0,19.0,0.005758144001447363,100.0,514.5390625,0.0
1.0,20.0,0.006532966999657219,50.0,514.546875,0.0
1.0,21.0,0.003943937999792979,0.0,514.55859375,0.0
1.0,22.0,0.003094504998443881,0.0,514.55859375,0.0
1.0,23.0,0.0022782039995945524,100.0,514.5625,0.0
1.0,24.0,0.004874756999925012,0.0,514.56640625,0.0
1.0,25.0,0.0057098850011243485,100.0,514.5703125,0.0
1.0,26.0,0.0022953959996812046,0.0,514.5703125,0.0
1.0,27.0,0.005731523000576999,100.0,514.578125,0.0
1.0,28.0,0.007864776000133133,50.0,514.58984375,0.0
1.0,29.0,0.004057496000314131,0.0,514.59765625,0.0
1.0,30.0,0.005676392000168562,100.0,514.60546875,0.0
1.0,31.0,0.007580400999358972,50.0,514.609375,0.0
1.0,32.0,0.003964600000472274,0.0,514.61328125,0.0
1.0,33.0,0.005666159000611515,100.0,514.6171875,0.0
1.0,34.0,0.0014287510002759518,0.0,514.62109375,0.0
1.0,35.0,0.0048162570001295535,0.0,514.625,0.0
1.0,36.0,0.0022774549997848226,100.0,514.625,0.0
1.0,37.0,0.0065712770010577515,50.0,514.6328125,0.0
1.0,38.0,0.001460068000596948,0.0,514.63671875,0.0
1.0,39.0,0.002254497001558775,0.0,514.63671875,0.0
1.0,40.0,0.0030466410007647937,100.0,514.63671875,0.0
1.0,41.0,0.0015150020008150022,100.0,514.63671875,0.0
1.0,42.0,0.0015037270004540915,0.0,514.63671875,0.0
1.0,43.0,0.0014828050007054117,0.0,514.64453125,0.0
1.0,44.0,0.004918369999359129,50.0,514.64453125,0.0
1.0,45.0,0.0015534960002696607,0.0,514.64453125,0.0
1.0,46.0,0.004981457999747363,0.0,514.6484375,0.0
1.0,47.0,0.006772513999749208,100.0,514.65234375,0.0
1.0,48.0,0.004760476000228664,50.0,514.65625,0.0
1.0,49.0,0.0015431140000146115,0.0,514.66015625,0.0
1.0,50.0,0.00403673100117885,50.0,514.66015625,0.0
1.0,51.0,0.005006471001252066,0.0,514.6640625,0.0
1.0,52.0,0.007450786000845255,50.0,514.66796875,0.0
1.0,53.0,0.007532001000072341,50.0,514.671875,0.0
1.0,54.0,0.003949953001210815,0.0,514.67578125,0.0
1.0,55.0,0.00224171199988632,0.0,514.6796875,0.0
1.0,56.0,0.0057517369987181155,100.0,514.69140625,0.0
1.0,57.0,0.00230667299911147,0.0,514.6953125,0.0
1.0,58.0,0.006760349999240134,50.0,514.69921875,0.0
1.0,59.0,0.005657215999235632,50.0,514.7109375,0.0
1.0,60.0,0.0023277429991139797,0.0,514.71484375,0.0
1.0,61.0,0.005731745000957744,50.0,514.71875,0.0
1.0,62.0,0.006209567000041716,100.0,514.72265625,0.0
1.0,63.0,0.0021230399997875793,0.0,514.72265625,0.0
1.0,64.0,0.0033808120006142417,100.0,514.72265625,0.0
1.0,65.0,0.00352542899963737,100.0,514.7265625,0.0
1.0,66.0,0.0077986059986869805,100.0,514.7265625,0.0
1.0,67.0,0.008132492999720853,100.0,514.73046875,0.0
1.0,68.0,0.0033502559999760706,50.0,514.734375,0.0
1.0,69.0,0.005915527999604819,0.0,514.734375,0.0
1.0,70.0,0.0013726819997827988,50.0,514.734375,0.0
1.0,71.0,0.008805171999483719,100.0,514.734375,0.0
1.0,72.0,0.008495971998854657,50.0,514.734375,0.0
1.0,73.0,0.004110097999728168,0.0,514.734375,0.0
1.0,74.0,0.00241741500030912,0.0,514.734375,0.0
1.0,75.0,0.007787459000610397,50.0,514.73828125,0.0
1.0,76.0,0.0022474039997177897,0.0,514.74609375,0.0
1.0,77.0,0.003983257000072626,100.0,514.75,0.0
1.0,78.0,0.006578523998541641,0.0,514.76171875,0.0
1.0,79.0,0.0013744699990638765,100.0,514.76171875,0.0
1.0,80.0,0.005866327999683563,0.0,514.77734375,0.0
1.0,81.0,0.004849925000598887,50.0,514.78515625,0.0
1.0,82.0,0.001465500999984215,0.0,514.7890625,0.0
1.0,83.0,0.005714151999200112,100.0,514.79296875,0.0
1.0,84.0,0.007401925999147352,0.0,514.80859375,0.0
1.0,85.0,0.00584811000044283,50.0,514.8125,0.0
1.0,86.0,0.005673296998793376,100.0,514.81640625,0.0
1.0,87.0,0.005862013000296429,0.0,514.81640625,0.0
1.0,88.0,0.0014506819989037467,100.0,514.81640625,0.0
1.0,89.0,0.004812842998944689,0.0,514.8203125,0.0
1.0,90.0,0.005772262999016675,50.0,514.83203125,0.0
1.0,91.0,0.0030915850002202205,0.0,514.8359375,0.0
1.0,92.0,0.007781303000228945,50.0,514.83984375,0.0
1.0,93.0,0.001430783999239793,0.0,514.84375,0.0
1.0,94.0,0.004948101999616483,50.0,514.84375,0.0
1.0,95.0,0.001488968999183271,0.0,514.84765625,0.0
1.0,96.0,0.005819596999572241,100.0,514.8515625,0.0
1.0,97.0,0.007732268000836484,0.0,514.85546875,0.0
1.0,98.0,0.001404242000717204,100.0,514.85546875,0.0
1.0,99.0,0.002321501000551507,0.0,514.859375,0.0
1.0,100.0,0.005897630000617937,100.0,514.86328125,0.0
2.0,1.0,0.009749070000907523,50.0,514.86328125,0.0
2.0,2.0,0.0022957869987294544,0.0,514.87109375,0.0
2.0,3.0,0.002401402000032249,0.0,514.87109375,0.0
2.0,4.0,0.0023268170007213484,100.0,514.875,0.0
2.0,5.0,0.0023578139989695046,0.0,514.875,0.0
2.0,6.0,0.0057228890000260435,100.0,514.875,0.0
2.0,7.0,0.006932688998858794,0.0,514.8828125,0.0
2.0,8.0,0.008273065001048963,50.0,514.88671875,0.0
2.0,9.0,0.003098396999121178,100.0,514.890625,0.0
2.0,10.0,0.004854815000726376,0.0,514.890625,0.0
2.0,11.0,0.006568520999280736,50.0,514.89453125,0.0
2.0,12.0,0.005808586000057403,100.0,514.8984375,0.0
2.0,13.0,0.0022446959992521442,0.0,514.8984375,0.0
2.0,14.0,0.007513767999625998,100.0,514.8984375,0.0
2.0,15.0,0.00591194499975245,0.0,514.8984375,0.0
2.0,16.0,0.0014529190011671744,100.0,514.90234375,0.0
2.0,17.0,0.005855202000020654,0.0,514.91015625,0.0
2.0,18.0,0.003125317998637911,100.0,514.91015625,0.0
2.0,19.0,0.0014950249988032738,0.0,514.91015625,0.0
2.0,20.0,0.0040597239985800115,0.0,514.91015625,0.0
2.0,21.0,0.0014191309983289102,100.0,514.9140625,0.0
2.0,22.0,0.0031345309998869197,0.0,514.9140625,0.0
2.0,23.0,0.002273181999044027,0.0,514.9140625,0.0
2.0,24.0,0.003166205000525224,100.0,514.9140625,0.0
2.0,25.0,0.005112797000037972,0.0,514.92578125,0.0
2.0,26.0,0.005802440999104874,100.0,514.93359375,0.0
2.0,27.0,0.005885348999072448,0.0,514.9453125,0.0
2.0,28.0,0.002261828998598503,100.0,514.9453125,0.0
2.0,29.0,0.006336078000458656,0.0,514.9609375,0.0
2.0,30.0,0.00708083599965903,100.0,514.9765625,0.0
2.0,31.0,0.003884775000187801,50.0,514.98046875,0.0
2.0,32.0,0.011246041000049445,100.0,514.984375,0.0
2.0,33.0,0.0014828570001554908,0.0,514.9921875,0.0
2.0,34.0,0.0014037319997441955,0.0,514.9921875,0.0
2.0,35.0,0.008308720000059111,50.0,515.00390625,0.0
2.0,36.0,0.0014187279994075652,0.0,515.00390625,0.0
2.0,37.0,0.0014212180012691533,100.0,515.00390625,0.0
2.0,38.0,0.0014331219990708632,0.0,515.0078125,0.0
2.0,39.0,0.0048803490008140216,0.0,515.01953125,0.0
2.0,40.0,0.0068257940001785755,50.0,515.01953125,0.0
2.0,41.0,0.003942489000110072,100.0,515.0234375,0.0
2.0,42.0,0.0014064349998079706,0.0,515.02734375,0.0
2.0,43.0,0.004532738999841968,0.0,515.03125,0.0
2.0,44.0,0.004359575999842491,100.0,515.03515625,0.0
2.0,45.0,0.0018184069995186292,0.0,515.03515625,0.0
2.0,46.0,0.010221552000075462,50.0,515.03515625,0.0
2.0,47.0,0.005785872001069947,50.0,515.0390625,0.0
2.0,48.0,0.0014910009995219298,0.0,515.04296875,0.0
2.0,49.0,0.003556214000127511,0.0,515.05078125,0.0
2.0,50.0,0.004066920999321155,100.0,515.05078125,0.0
2.0,51.0,0.005924850000155857,50.0,515.06640625,0.0
2.0,52.0,0.0033008520003932063,0.0,515.078125,0.0
2.0,53.0,0.0034041119997709757,0.0,515.078125,0.0
2.0,54.0,0.0014564949997293297,50.0,515.08203125,0.0
2.0,55.0,0.003156995000608731,0.0,515.08203125,0.0
2.0,56.0,0.005883997999262647,50.0,515.0859375,0.0
2.0,57.0,0.004254732000845252,0.0,515.1015625,0.0
2.0,58.0,0.005910001000302145,50.0,515.1015625,0.0
2.0,59.0,0.002403941998636583,0.0,515.1015625,0.0
2.0,60.0,0.00499713499993959,50.0,515.12109375,0.0
2.0,61.0,0.006157265001093037,0.0,515.12109375,0.0
2.0,62.0,0.003243101000407478,50.0,515.12109375,0.0
2.0,63.0,0.0036254149999876972,0.0,515.125,0.0
2.0,64.0,0.0070280340005410835,50.0,515.125,0.0
2.0,65.0,0.004824662999453722,0.0,515.12890625,0.0
2.0,66.0,0.0016616729990346357,100.0,515.13671875,0.0
2.0,67.0,0.0037496789991564583,0.0,515.13671875,0.0
2.0,68.0,0.005795667999336729,50.0,515.13671875,0.0
2.0,69.0,0.0058711209985631285,0.0,515.15234375,0.0
2.0,70.0,0.006027151999660418,100.0,515.15234375,0.0
2.0,71.0,0.006768161998479627,50.0,515.171875,0.0
2.0,72.0,0.00581182899986743,0.0,515.17578125,0.0
2.0,73.0,0.0031194769999274286,100.0,515.18359375,0.0
2.0,74.0,0.0014632399997935863,0.0,515.1875,0.0
2.0,75.0,0.0014018180008861236,0.0,515.1875,0.0
2.0,76.0,0.0022514499996759696,50.0,515.19140625,0.0
2.0,77.0,0.0014287029989645816,0.0,515.1953125,0.0
2.0,78.0,0.0013934790003986564,0.0,515.1953125,0.0
2.0,79.0,0.0014797629992244765,0.0,515.1953125,0.0
2.0,80.0,0.003227361999961431,50.0,515.1953125,0.0
2.0,81.0,0.001522690001365845,0.0,515.1953125,0.0
2.0,82.0,0.004036641999846324,0.0,515.203125,0.0
2.0,83.0,0.009819435001190868,50.0,515.203125,0.0
2.0,84.0,0.004513898000368499,50.0,515.203125,0.0
2.0,85.0,0.003595412999857217,0.0,515.20703125,0.0
2.0,86.0,0.005545083999095368,50.0,515.2265625,0.0
2.0,87.0,0.0015922689999570139,0.0,515.2265625,0.0
2.0,88.0,0.0014981179992901161,100.0,515.2265625,0.0
2.0,89.0,0.0022603249999519903,0.0,515.2265625,0.0
2.0,90.0,0.0014332609989651246,0.0,515.2265625,0.0
2.0,91.0,0.0031702460000815336,0.0,515.23046875,0.0
2.0,92.0,0.003996493000158807,50.0,515.23046875,0.0
2.0,93.0,0.0032069089993456146,0.0,515.234375,0.0
2.0,94.0,0.006609545000173966,50.0,515.2421875,0.0
2.0,95.0,0.006250132000786834,50.0,515.2421875,0.0
2.0,96.0,0.0040856699997675605,0.0,515.2421875,0.0
2.0,97.0,0.006147583999336348,50.0,515.2578125,0.0
2.0,98.0,0.00606696899922099,0.0,515.26171875,0.0
2.0,99.0,0.006382106999808457,50.0,515.2734375,0.0
2.0,100.0,0.005740258999139769,50.0,515.2734375,0.0
3.0,1.0,0.004772620999574428,0.0,515.2734375,0.0
3.0,2.0,0.0016642919999867445,50.0,515.2734375,0.0
3.0,3.0,0.004766834001202369,0.0,515.28125,0.0
3.0,4.0,0.0026081209998665145,50.0,515.28125,0.0
3.0,5.0,0.0025083959990297444,0.0,515.28125,0.0
3.0,6.0,0.0024812539995764382,0.0,515.2890625,0.0
3.0,7.0,0.006154316999527509,50.0,515.30078125,0.0
3.0,8.0,0.0032129510000231676,0.0,515.3046875,0.0
3.0,9.0,0.005792857000415097,50.0,515.31640625,0.0
3.0,10.0,0.0014084140002523782,0.0,515.31640625,0.0
3.0,11.0,0.0058430760000192095,50.0,515.3203125,0.0
3.0,12.0,0.005782891001217649,0.0,515.3203125,0.0
3.0,13.0,0.0024993820006784517,50.0,515.3203125,0.0
3.0,14.0,0.002303143000972341,0.0,515.32421875,0.0
3.0,15.0,0.005707958998755203,50.0,515.32421875,0.0
3.0,16.0,0.002375668000240694,0.0,515.32421875,0.0
3.0,17.0,0.0014195509993442101,0.0,515.32421875,0.0
