Métrica,Valor
Éxitos,7133.0
Fracasos,2669.0
Tiempo total (s),2604.5847768230524
GPU usada,1.0
Modo,per_episode_random | is_slippery=False | size=4
Episodios totales,10000
use_llm_reward,True
directive,"Llega a la meta pero con el camino más corto posible (llegar como sea sigue siendo muy bueno, lo cual merece una buena y muy alta calificación pero no perfecta). No ganar el episodio no merece recompensas. Es imprescindible siempre calificar bien llegar a la meta y calificar lo peor no ganar. Resta un poco de puntos si el camino tomado es demasiago largo."
llm_model,llama-3.1-8b-instant
llm_temperature,0
