Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,4.0,93.0,4.0
3.0,17.0,79.0,17.0
4.0,12.0,85.0,12.0
5.0,16.0,84.0,16.0
6.0,17.0,80.0,17.0
7.0,20.0,77.0,20.0
8.0,23.0,75.0,23.0
9.0,24.0,75.0,24.0
10.0,28.0,70.0,28.0
11.0,26.0,71.0,26.0
12.0,26.0,72.0,26.0
13.0,19.0,79.0,19.0
14.0,34.0,63.0,34.0
15.0,30.0,70.0,30.0
16.0,36.0,63.0,36.0
17.0,36.0,62.0,36.0
18.0,34.0,66.0,34.0
19.0,32.0,67.0,32.0
20.0,47.0,53.0,47.0
21.0,47.0,53.0,47.0
22.0,48.0,51.0,48.0
23.0,50.0,50.0,50.0
24.0,54.0,46.0,54.0
25.0,58.0,42.0,58.0
26.0,55.0,44.0,55.0
27.0,56.0,44.0,56.0
28.0,59.0,41.0,59.0
29.0,57.0,43.0,57.0
30.0,62.0,38.0,62.0
31.0,53.0,47.0,53.0
32.0,63.0,37.0,63.0
33.0,71.0,29.0,71.0
34.0,67.0,33.0,67.0
35.0,72.0,27.0,72.0
36.0,84.0,16.0,84.0
37.0,80.0,20.0,80.0
38.0,88.0,12.0,88.0
39.0,85.0,15.0,85.0
40.0,88.0,12.0,88.0
41.0,86.0,14.0,86.0
42.0,90.0,10.0,90.0
43.0,83.0,16.0,83.0
44.0,86.0,14.0,86.0
45.0,89.0,11.0,89.0
46.0,90.0,9.0,90.0
47.0,94.0,6.0,94.0
48.0,95.0,5.0,95.0
49.0,91.0,9.0,91.0
50.0,97.0,2.0,97.0
51.0,96.0,4.0,96.0
52.0,95.0,4.0,95.0
53.0,97.0,2.0,97.0
54.0,98.0,1.0,98.0
55.0,93.0,6.0,93.0
56.0,94.0,6.0,94.0
57.0,90.0,9.0,90.0
58.0,94.0,6.0,94.0
59.0,98.0,2.0,98.0
60.0,98.0,2.0,98.0
61.0,92.0,6.0,92.0
62.0,97.0,3.0,97.0
63.0,93.0,7.0,93.0
64.0,94.0,5.0,94.0
65.0,95.0,4.0,95.0
66.0,92.0,8.0,92.0
67.0,96.0,4.0,96.0
68.0,97.0,3.0,97.0
69.0,98.0,2.0,98.0
70.0,97.0,3.0,97.0
71.0,95.0,3.0,95.0
72.0,95.0,5.0,95.0
73.0,90.0,10.0,90.0
74.0,94.0,6.0,94.0
75.0,95.0,5.0,95.0
76.0,95.0,5.0,95.0
77.0,98.0,2.0,98.0
78.0,95.0,4.0,95.0
79.0,94.0,4.0,94.0
80.0,96.0,4.0,96.0
81.0,100.0,0.0,100.0
82.0,98.0,2.0,98.0
83.0,94.0,6.0,94.0
84.0,97.0,3.0,97.0
85.0,96.0,4.0,96.0
86.0,95.0,5.0,95.0
87.0,99.0,1.0,99.0
88.0,93.0,7.0,93.0
89.0,98.0,2.0,98.0
90.0,100.0,0.0,100.0
91.0,92.0,8.0,92.0
92.0,92.0,7.0,92.0
93.0,96.0,4.0,96.0
94.0,96.0,4.0,96.0
95.0,99.0,1.0,99.0
96.0,93.0,7.0,93.0
97.0,97.0,3.0,97.0
98.0,97.0,3.0,97.0
99.0,96.0,4.0,96.0
100.0,93.0,7.0,93.0
