Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,7.0,92.0,7.0
3.0,12.0,84.0,12.0
4.0,5.0,91.0,5.0
5.0,10.0,88.0,10.0
6.0,9.0,89.0,9.0
7.0,19.0,76.0,19.0
8.0,18.0,78.0,18.0
9.0,21.0,76.0,21.0
10.0,7.0,90.0,7.0
11.0,23.0,77.0,23.0
12.0,16.0,80.0,16.0
13.0,10.0,90.0,10.0
14.0,19.0,76.0,19.0
15.0,20.0,77.0,20.0
16.0,29.0,69.0,29.0
17.0,26.0,72.0,26.0
18.0,23.0,74.0,23.0
19.0,24.0,71.0,24.0
20.0,31.0,67.0,31.0
21.0,41.0,53.0,41.0
22.0,33.0,64.0,33.0
23.0,34.0,59.0,34.0
24.0,38.0,59.0,38.0
25.0,30.0,60.0,30.0
26.0,32.0,59.0,32.0
27.0,43.0,48.0,43.0
28.0,29.0,58.0,29.0
29.0,40.0,37.0,40.0
30.0,29.0,49.0,29.0
31.0,30.0,52.0,30.0
32.0,37.0,31.0,37.0
33.0,28.0,30.0,28.0
34.0,28.0,25.0,28.0
35.0,38.0,29.0,38.0
36.0,51.0,19.0,51.0
37.0,41.0,28.0,41.0
38.0,41.0,18.0,41.0
39.0,43.0,26.0,43.0
40.0,36.0,31.0,36.0
41.0,37.0,23.0,37.0
42.0,38.0,34.0,38.0
43.0,23.0,22.0,23.0
44.0,36.0,19.0,36.0
45.0,32.0,26.0,32.0
46.0,36.0,30.0,36.0
47.0,31.0,24.0,31.0
48.0,31.0,34.0,31.0
49.0,37.0,30.0,37.0
50.0,33.0,31.0,33.0
51.0,33.0,35.0,33.0
52.0,36.0,21.0,36.0
53.0,48.0,28.0,48.0
54.0,37.0,33.0,37.0
55.0,38.0,26.0,38.0
56.0,45.0,27.0,45.0
57.0,42.0,33.0,42.0
58.0,41.0,34.0,41.0
59.0,34.0,27.0,34.0
60.0,40.0,34.0,40.0
61.0,29.0,33.0,29.0
62.0,41.0,28.0,41.0
63.0,37.0,28.0,37.0
64.0,37.0,27.0,37.0
65.0,33.0,27.0,33.0
66.0,33.0,30.0,33.0
67.0,37.0,28.0,37.0
68.0,48.0,26.0,48.0
69.0,39.0,39.0,39.0
70.0,33.0,35.0,33.0
71.0,31.0,31.0,31.0
72.0,41.0,36.0,41.0
73.0,31.0,32.0,31.0
74.0,31.0,32.0,31.0
75.0,33.0,30.0,33.0
76.0,36.0,34.0,36.0
77.0,37.0,37.0,37.0
78.0,34.0,38.0,34.0
79.0,36.0,37.0,36.0
80.0,37.0,40.0,37.0
81.0,40.0,37.0,40.0
82.0,28.0,43.0,28.0
83.0,40.0,37.0,40.0
84.0,39.0,31.0,39.0
85.0,37.0,42.0,37.0
86.0,36.0,38.0,36.0
87.0,40.0,32.0,40.0
88.0,35.0,31.0,35.0
89.0,25.0,41.0,25.0
90.0,36.0,30.0,36.0
91.0,35.0,42.0,35.0
92.0,39.0,36.0,39.0
93.0,31.0,43.0,31.0
94.0,30.0,37.0,30.0
95.0,34.0,40.0,34.0
96.0,29.0,44.0,29.0
97.0,41.0,37.0,41.0
98.0,46.0,27.0,46.0
99.0,39.0,40.0,39.0
100.0,48.0,33.0,48.0
