Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,4.0,93.0,4.0
3.0,15.0,82.0,15.0
4.0,11.0,85.0,11.0
5.0,12.0,87.0,12.0
6.0,19.0,81.0,19.0
7.0,20.0,77.0,20.0
8.0,18.0,82.0,18.0
9.0,31.0,68.0,31.0
10.0,21.0,77.0,21.0
11.0,27.0,72.0,27.0
12.0,24.0,76.0,24.0
13.0,26.0,74.0,26.0
14.0,36.0,63.0,36.0
15.0,34.0,66.0,34.0
16.0,34.0,66.0,34.0
17.0,44.0,56.0,44.0
18.0,39.0,60.0,39.0
19.0,45.0,55.0,45.0
20.0,57.0,43.0,57.0
21.0,51.0,49.0,51.0
22.0,46.0,54.0,46.0
23.0,53.0,47.0,53.0
24.0,53.0,47.0,53.0
25.0,55.0,45.0,55.0
26.0,60.0,40.0,60.0
27.0,64.0,36.0,64.0
28.0,61.0,39.0,61.0
29.0,63.0,37.0,63.0
30.0,69.0,31.0,69.0
31.0,66.0,34.0,66.0
32.0,65.0,35.0,65.0
33.0,79.0,21.0,79.0
34.0,65.0,35.0,65.0
35.0,68.0,32.0,68.0
36.0,80.0,20.0,80.0
37.0,77.0,23.0,77.0
38.0,60.0,39.0,60.0
39.0,82.0,18.0,82.0
40.0,87.0,13.0,87.0
41.0,86.0,14.0,86.0
42.0,89.0,11.0,89.0
43.0,89.0,11.0,89.0
44.0,83.0,16.0,83.0
45.0,91.0,9.0,91.0
46.0,92.0,8.0,92.0
47.0,93.0,7.0,93.0
48.0,93.0,6.0,93.0
49.0,96.0,4.0,96.0
50.0,91.0,7.0,91.0
51.0,91.0,8.0,91.0
52.0,93.0,4.0,93.0
53.0,98.0,2.0,98.0
54.0,96.0,4.0,96.0
55.0,93.0,5.0,93.0
56.0,96.0,3.0,96.0
57.0,95.0,5.0,95.0
58.0,91.0,9.0,91.0
59.0,95.0,5.0,95.0
60.0,96.0,4.0,96.0
61.0,99.0,1.0,99.0
62.0,99.0,1.0,99.0
63.0,94.0,6.0,94.0
64.0,95.0,5.0,95.0
65.0,93.0,7.0,93.0
66.0,99.0,1.0,99.0
67.0,99.0,0.0,99.0
68.0,93.0,7.0,93.0
69.0,97.0,2.0,97.0
70.0,94.0,6.0,94.0
71.0,97.0,3.0,97.0
72.0,93.0,6.0,93.0
73.0,96.0,3.0,96.0
74.0,96.0,4.0,96.0
75.0,87.0,12.0,87.0
76.0,98.0,1.0,98.0
77.0,91.0,9.0,91.0
78.0,97.0,3.0,97.0
79.0,98.0,2.0,98.0
80.0,97.0,3.0,97.0
81.0,98.0,2.0,98.0
82.0,97.0,3.0,97.0
83.0,97.0,3.0,97.0
84.0,98.0,2.0,98.0
85.0,95.0,4.0,95.0
86.0,93.0,7.0,93.0
87.0,92.0,7.0,92.0
88.0,93.0,6.0,93.0
89.0,94.0,4.0,94.0
90.0,97.0,3.0,97.0
91.0,94.0,6.0,94.0
92.0,95.0,5.0,95.0
93.0,94.0,5.0,94.0
94.0,97.0,3.0,97.0
95.0,94.0,4.0,94.0
96.0,94.0,5.0,94.0
97.0,94.0,6.0,94.0
98.0,95.0,5.0,95.0
99.0,95.0,3.0,95.0
100.0,96.0,3.0,96.0
