Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,6.0,93.0,6.0
3.0,14.0,82.0,14.0
4.0,12.0,86.0,12.0
5.0,9.0,88.0,9.0
6.0,16.0,83.0,16.0
7.0,23.0,76.0,23.0
8.0,19.0,80.0,19.0
9.0,27.0,70.0,27.0
10.0,19.0,78.0,19.0
11.0,17.0,82.0,17.0
12.0,24.0,75.0,24.0
13.0,22.0,74.0,22.0
14.0,26.0,74.0,26.0
15.0,28.0,71.0,28.0
16.0,35.0,65.0,35.0
17.0,26.0,72.0,26.0
18.0,41.0,58.0,41.0
19.0,37.0,62.0,37.0
20.0,43.0,57.0,43.0
21.0,41.0,57.0,41.0
22.0,38.0,60.0,38.0
23.0,49.0,50.0,49.0
24.0,50.0,49.0,50.0
25.0,56.0,43.0,56.0
26.0,59.0,41.0,59.0
27.0,62.0,37.0,62.0
28.0,42.0,54.0,42.0
29.0,42.0,56.0,42.0
30.0,50.0,46.0,50.0
31.0,56.0,42.0,56.0
32.0,58.0,35.0,58.0
33.0,67.0,29.0,67.0
34.0,62.0,37.0,62.0
35.0,68.0,25.0,68.0
36.0,72.0,23.0,72.0
37.0,63.0,20.0,63.0
38.0,62.0,19.0,62.0
39.0,66.0,13.0,66.0
40.0,70.0,11.0,70.0
41.0,62.0,15.0,62.0
42.0,72.0,13.0,72.0
43.0,69.0,12.0,69.0
44.0,71.0,9.0,71.0
45.0,83.0,8.0,83.0
46.0,61.0,22.0,61.0
47.0,74.0,13.0,74.0
48.0,69.0,10.0,69.0
49.0,71.0,12.0,71.0
50.0,69.0,9.0,69.0
51.0,65.0,18.0,65.0
52.0,70.0,14.0,70.0
53.0,79.0,10.0,79.0
54.0,79.0,9.0,79.0
55.0,75.0,13.0,75.0
56.0,77.0,10.0,77.0
57.0,77.0,14.0,77.0
58.0,79.0,11.0,79.0
59.0,77.0,14.0,77.0
60.0,73.0,12.0,73.0
61.0,79.0,7.0,79.0
62.0,70.0,13.0,70.0
63.0,82.0,6.0,82.0
64.0,72.0,10.0,72.0
65.0,76.0,12.0,76.0
66.0,81.0,9.0,81.0
67.0,87.0,6.0,87.0
68.0,75.0,13.0,75.0
69.0,84.0,8.0,84.0
70.0,82.0,10.0,82.0
71.0,71.0,17.0,71.0
72.0,79.0,8.0,79.0
73.0,71.0,12.0,71.0
74.0,77.0,11.0,77.0
75.0,76.0,14.0,76.0
76.0,83.0,8.0,83.0
77.0,80.0,10.0,80.0
78.0,76.0,9.0,76.0
79.0,76.0,11.0,76.0
80.0,79.0,11.0,79.0
81.0,79.0,11.0,79.0
82.0,91.0,4.0,91.0
83.0,88.0,5.0,88.0
84.0,77.0,14.0,77.0
85.0,75.0,5.0,75.0
86.0,89.0,5.0,89.0
87.0,83.0,7.0,83.0
88.0,79.0,14.0,79.0
89.0,83.0,7.0,83.0
90.0,83.0,5.0,83.0
91.0,82.0,12.0,82.0
92.0,85.0,8.0,85.0
93.0,81.0,8.0,81.0
94.0,83.0,11.0,83.0
95.0,85.0,5.0,85.0
96.0,91.0,8.0,91.0
97.0,85.0,9.0,85.0
98.0,83.0,13.0,83.0
99.0,81.0,13.0,81.0
100.0,83.0,12.0,83.0
