Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,7.0,91.0,7.0
3.0,15.0,79.0,15.0
4.0,16.0,78.0,16.0
5.0,15.0,82.0,15.0
6.0,11.0,88.0,11.0
7.0,29.0,69.0,29.0
8.0,26.0,74.0,26.0
9.0,23.0,75.0,23.0
10.0,23.0,74.0,23.0
11.0,25.0,75.0,25.0
12.0,35.0,64.0,35.0
13.0,32.0,68.0,32.0
14.0,32.0,67.0,32.0
15.0,36.0,63.0,36.0
16.0,34.0,66.0,34.0
17.0,39.0,61.0,39.0
18.0,39.0,60.0,39.0
19.0,45.0,55.0,45.0
20.0,39.0,61.0,39.0
21.0,41.0,59.0,41.0
22.0,55.0,45.0,55.0
23.0,56.0,43.0,56.0
24.0,56.0,44.0,56.0
25.0,50.0,50.0,50.0
26.0,68.0,32.0,68.0
27.0,62.0,38.0,62.0
28.0,61.0,39.0,61.0
29.0,70.0,30.0,70.0
30.0,63.0,36.0,63.0
31.0,60.0,40.0,60.0
32.0,68.0,32.0,68.0
33.0,74.0,26.0,74.0
34.0,72.0,28.0,72.0
35.0,77.0,23.0,77.0
36.0,80.0,20.0,80.0
37.0,80.0,20.0,80.0
38.0,81.0,19.0,81.0
39.0,76.0,23.0,76.0
40.0,82.0,18.0,82.0
41.0,77.0,22.0,77.0
42.0,84.0,16.0,84.0
43.0,86.0,14.0,86.0
44.0,80.0,20.0,80.0
45.0,83.0,17.0,83.0
46.0,86.0,13.0,86.0
47.0,92.0,8.0,92.0
48.0,90.0,8.0,90.0
49.0,95.0,4.0,95.0
50.0,94.0,5.0,94.0
