Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,6.0,92.0,6.0
3.0,13.0,84.0,13.0
4.0,11.0,85.0,11.0
5.0,11.0,88.0,11.0
6.0,16.0,81.0,16.0
7.0,24.0,74.0,24.0
8.0,18.0,81.0,18.0
9.0,33.0,64.0,33.0
10.0,23.0,77.0,23.0
11.0,26.0,72.0,26.0
12.0,20.0,76.0,20.0
13.0,23.0,76.0,23.0
14.0,37.0,63.0,37.0
15.0,26.0,74.0,26.0
16.0,34.0,66.0,34.0
17.0,36.0,64.0,36.0
18.0,47.0,53.0,47.0
19.0,39.0,60.0,39.0
20.0,46.0,54.0,46.0
21.0,48.0,51.0,48.0
22.0,44.0,55.0,44.0
23.0,52.0,48.0,52.0
24.0,63.0,37.0,63.0
25.0,63.0,37.0,63.0
26.0,66.0,34.0,66.0
27.0,67.0,33.0,67.0
28.0,63.0,37.0,63.0
29.0,58.0,42.0,58.0
30.0,65.0,35.0,65.0
31.0,61.0,39.0,61.0
32.0,67.0,33.0,67.0
33.0,71.0,29.0,71.0
34.0,61.0,38.0,61.0
35.0,75.0,25.0,75.0
36.0,76.0,24.0,76.0
37.0,73.0,26.0,73.0
38.0,78.0,22.0,78.0
39.0,75.0,25.0,75.0
40.0,86.0,14.0,86.0
41.0,82.0,18.0,82.0
42.0,85.0,15.0,85.0
43.0,87.0,13.0,87.0
44.0,89.0,10.0,89.0
45.0,87.0,13.0,87.0
46.0,92.0,8.0,92.0
47.0,94.0,6.0,94.0
48.0,93.0,7.0,93.0
49.0,91.0,7.0,91.0
50.0,93.0,7.0,93.0
