Epoch,Exitos,Fracasos,WinRate(%)
1.0,1.0,99.0,1.0
2.0,71.0,29.0,71.0
3.0,89.0,11.0,89.0
4.0,88.0,12.0,88.0
5.0,89.0,11.0,89.0
6.0,91.0,9.0,91.0
7.0,94.0,6.0,94.0
8.0,89.0,11.0,89.0
9.0,86.0,14.0,86.0
10.0,87.0,13.0,87.0
11.0,90.0,10.0,90.0
12.0,89.0,11.0,89.0
13.0,89.0,11.0,89.0
14.0,97.0,3.0,97.0
15.0,85.0,15.0,85.0
16.0,92.0,8.0,92.0
17.0,85.0,15.0,85.0
18.0,91.0,9.0,91.0
19.0,92.0,8.0,92.0
20.0,86.0,14.0,86.0
21.0,92.0,8.0,92.0
22.0,92.0,8.0,92.0
23.0,87.0,13.0,87.0
24.0,87.0,13.0,87.0
25.0,86.0,14.0,86.0
26.0,90.0,10.0,90.0
27.0,94.0,6.0,94.0
28.0,93.0,7.0,93.0
29.0,89.0,11.0,89.0
30.0,89.0,11.0,89.0
31.0,93.0,7.0,93.0
32.0,95.0,5.0,95.0
33.0,86.0,14.0,86.0
34.0,88.0,12.0,88.0
35.0,83.0,17.0,83.0
36.0,89.0,11.0,89.0
37.0,90.0,10.0,90.0
38.0,90.0,10.0,90.0
39.0,93.0,7.0,93.0
40.0,86.0,14.0,86.0
41.0,89.0,11.0,89.0
42.0,90.0,10.0,90.0
43.0,84.0,16.0,84.0
44.0,83.0,17.0,83.0
45.0,89.0,11.0,89.0
46.0,89.0,11.0,89.0
47.0,93.0,7.0,93.0
48.0,91.0,9.0,91.0
49.0,92.0,8.0,92.0
50.0,87.0,13.0,87.0
