Epoch,Exitos,Fracasos,WinRate(%)
1.0,33.0,67.0,33.0
2.0,33.0,67.0,33.0
3.0,39.0,61.0,39.0
4.0,36.0,64.0,36.0
5.0,25.0,75.0,25.0
6.0,36.0,64.0,36.0
7.0,39.0,61.0,39.0
8.0,37.0,63.0,37.0
9.0,43.0,57.0,43.0
10.0,36.0,64.0,36.0
11.0,42.0,58.0,42.0
12.0,37.0,63.0,37.0
13.0,32.0,68.0,32.0
14.0,43.0,57.0,43.0
15.0,33.0,67.0,33.0
16.0,42.0,58.0,42.0
17.0,33.0,67.0,33.0
18.0,36.0,64.0,36.0
19.0,41.0,59.0,41.0
20.0,30.0,70.0,30.0
21.0,29.0,71.0,29.0
22.0,35.0,65.0,35.0
23.0,38.0,62.0,38.0
24.0,31.0,69.0,31.0
25.0,37.0,63.0,37.0
26.0,30.0,70.0,30.0
27.0,41.0,59.0,41.0
28.0,41.0,59.0,41.0
29.0,39.0,61.0,39.0
30.0,36.0,64.0,36.0
31.0,39.0,61.0,39.0
32.0,43.0,57.0,43.0
33.0,30.0,70.0,30.0
34.0,35.0,65.0,35.0
35.0,32.0,68.0,32.0
36.0,33.0,67.0,33.0
37.0,39.0,61.0,39.0
38.0,43.0,57.0,43.0
39.0,32.0,68.0,32.0
40.0,32.0,68.0,32.0
41.0,36.0,64.0,36.0
42.0,38.0,62.0,38.0
43.0,32.0,68.0,32.0
44.0,30.0,70.0,30.0
45.0,30.0,70.0,30.0
46.0,38.0,62.0,38.0
47.0,36.0,64.0,36.0
48.0,38.0,62.0,38.0
49.0,37.0,63.0,37.0
50.0,41.0,59.0,41.0
51.0,40.0,60.0,40.0
52.0,37.0,63.0,37.0
53.0,52.0,48.0,52.0
54.0,38.0,62.0,38.0
55.0,29.0,71.0,29.0
56.0,37.0,63.0,37.0
57.0,33.0,67.0,33.0
58.0,34.0,66.0,34.0
59.0,36.0,64.0,36.0
60.0,46.0,54.0,46.0
61.0,32.0,68.0,32.0
62.0,31.0,69.0,31.0
63.0,49.0,51.0,49.0
64.0,37.0,63.0,37.0
65.0,36.0,64.0,36.0
66.0,38.0,62.0,38.0
67.0,44.0,56.0,44.0
68.0,37.0,63.0,37.0
69.0,36.0,64.0,36.0
70.0,32.0,68.0,32.0
71.0,40.0,60.0,40.0
