Episodio,Epoch,Recompensa,Epsilon
1,1,5,0.995
2,1,-10,0.990025
3,1,-10,0.985074875
4,1,-10,0.9801495006250001
5,1,-10,0.9752487531218751
6,1,25,0.9703725093562657
7,1,-10,0.9655206468094844
8,1,-10,0.960693043575437
9,1,0,0.9558895783575597
10,1,0,0.9511101304657719
11,1,-10,0.946354579813443
12,1,-5,0.9416228069143757
13,1,0,0.9369146928798039
14,1,-10,0.9322301194154049
15,1,0,0.9275689688183278
16,1,0,0.9229311239742362
17,1,30,0.918316468354365
18,1,-5,0.9137248860125932
19,1,-10,0.9091562615825302
20,1,0,0.9046104802746175
