
----------------- EPOCH 1 -----------------
--- Inicio del Episodio 1 ---
Acción: south, Recompensa: 0, Info: {'moves': 1, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 2, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 3, 'score': 0}
Acción: go around forest, Recompensa: 0, Info: {'moves': 4, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 5, 'score': 0}
Acción: up, Recompensa: 0, Info: {'moves': 6, 'score': 0}
Acción: take on egg, Recompensa: 0, Info: {'moves': 7, 'score': 0}
Acción: close nest, Recompensa: 0, Info: {'moves': 8, 'score': 0}
Acción: take nest, Recompensa: 0, Info: {'moves': 9, 'score': 0}
Acción: put down nest, Recompensa: 0, Info: {'moves': 10, 'score': 0}
Acción: down, Recompensa: 0, Info: {'moves': 11, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 12, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 13, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 14, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 15, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 16, 'score': 0}
Acción: open nest, Recompensa: 0, Info: {'moves': 17, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 18, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 19, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 20, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 21, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 22, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 23, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 24, 'score': 0}
Acción: close nest, Recompensa: 0, Info: {'moves': 25, 'score': 0}
Acción: open nest, Recompensa: 0, Info: {'moves': 26, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 27, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 28, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 29, 'score': 0}
Acción: up, Recompensa: 0, Info: {'moves': 30, 'score': 0}
Acción: down, Recompensa: 0, Info: {'moves': 31, 'score': 0}
Acción: take egg, Recompensa: 0, Info: {'moves': 32, 'score': 0}
Acción: put egg in nest, Recompensa: 0, Info: {'moves': 33, 'score': 0}
Acción: close egg, Recompensa: 0, Info: {'moves': 34, 'score': 0}
Acción: open egg, Recompensa: 0, Info: {'moves': 35, 'score': 0}
Acción: close egg, Recompensa: 0, Info: {'moves': 36, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 37, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 38, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 39, 'score': 0}
Acción: close nest, Recompensa: 0, Info: {'moves': 40, 'score': 0}
Acción: take nest, Recompensa: 0, Info: {'moves': 41, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 42, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 43, 'score': 0}
Acción: go around forest, Recompensa: 0, Info: {'moves': 44, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 45, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 46, 'score': 0}
Acción: up, Recompensa: 0, Info: {'moves': 47, 'score': 0}
Acción: open nest, Recompensa: 0, Info: {'moves': 48, 'score': 0}
Acción: shake nest, Recompensa: 0, Info: {'moves': 49, 'score': 0}
Acción: jump, Recompensa: -10, Info: {'moves': 50, 'score': -10}
--- Fin del Episodio 1 ---
Recompensa Total: -10
--------------------------------------------------
--- Inicio del Episodio 2 ---
Acción: open mailbox, Recompensa: 0, Info: {'moves': 1, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 2, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 3, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 4, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 5, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 6, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 7, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 8, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 9, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 10, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 11, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 12, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 13, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 14, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 15, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 16, 'score': 0}
