
----------------- EPOCH 1 -----------------
--- Inicio del Episodio 1 ---
Acción: west, Recompensa: 0, Info: {'moves': 1, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 2, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 3, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 4, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 5, 'score': 0}
Acción: take leaves, Recompensa: 0, Info: {'moves': 6, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 7, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 8, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 9, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 10, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 11, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 12, 'score': 0}
Acción: put down leaves, Recompensa: 0, Info: {'moves': 13, 'score': 0}
Acción: northwest, Recompensa: 0, Info: {'moves': 14, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 15, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 16, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 17, 'score': 0}
Acción: south, Recompensa: 0, Info: {'moves': 18, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 19, 'score': 0}
Acción: open window, Recompensa: 0, Info: {'moves': 20, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 21, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 22, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 23, 'score': 0}
Acción: take leaves, Recompensa: 0, Info: {'moves': 24, 'score': 0}
Acción: go around trees, Recompensa: 0, Info: {'moves': 25, 'score': 0}
Acción: put down leaves, Recompensa: 0, Info: {'moves': 26, 'score': 0}
Acción: go around forest, Recompensa: 0, Info: {'moves': 27, 'score': 0}
Acción: go around forest, Recompensa: 0, Info: {'moves': 28, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 29, 'score': 0}
Acción: north, Recompensa: 0, Info: {'moves': 30, 'score': 0}
Acción: west, Recompensa: 0, Info: {'moves': 31, 'score': 0}
Acción: east, Recompensa: 0, Info: {'moves': 32, 'score': 0}
