Episodio,Epoch,Acción,CanastaActual,CanastaObjetivo,RecompensaObtenida,RecompensaAcumulada
1,1,checkout,[],"['lettuce', 'cake', 'yogurt']",0,0
1,1,checkout,[],"['lettuce', 'cake', 'yogurt']",0,0
1,1,go to Bakery,[],"['lettuce', 'cake', 'yogurt']",0,0
1,1,checkout,[],"['lettuce', 'cake', 'yogurt']",0,0
1,1,take croissant,['croissant'],"['lettuce', 'cake', 'yogurt']",2,2
1,1,take bagel,"['croissant', 'bagel']","['lettuce', 'cake', 'yogurt']",0,2
1,1,take bread,"['croissant', 'bagel', 'bread']","['lettuce', 'cake', 'yogurt']",0,2
1,1,go to Dairy,"['croissant', 'bagel', 'bread']","['lettuce', 'cake', 'yogurt']",0,2
1,1,go to Dairy,"['croissant', 'bagel', 'bread']","['lettuce', 'cake', 'yogurt']",0,2
1,1,take cheese,"['croissant', 'bagel', 'bread', 'cheese']","['lettuce', 'cake', 'yogurt']",0,2
1,1,go to Produce,"['croissant', 'bagel', 'bread', 'cheese']","['lettuce', 'cake', 'yogurt']",-4,-2
1,1,go to Dairy,"['croissant', 'bagel', 'bread', 'cheese']","['lettuce', 'cake', 'yogurt']",0,-2
1,1,take milk,"['croissant', 'bagel', 'bread', 'cheese', 'milk']","['lettuce', 'cake', 'yogurt']",0,-2
1,1,take yogurt,"['croissant', 'bagel', 'bread', 'cheese', 'milk', 'yogurt']","['lettuce', 'cake', 'yogurt']",0,-2
1,1,go to Produce,"['croissant', 'bagel', 'bread', 'cheese', 'milk', 'yogurt']","['lettuce', 'cake', 'yogurt']",0,-2
2,1,checkout,[],"['yogurt', 'butter', 'bagel']",0,0
2,1,go to Bakery,[],"['yogurt', 'butter', 'bagel']",0,0
2,1,go to Dairy,[],"['yogurt', 'butter', 'bagel']",0,0
2,1,checkout,[],"['yogurt', 'butter', 'bagel']",0,0
2,1,go to Bakery,[],"['yogurt', 'butter', 'bagel']",2,2
2,1,go to Dairy,[],"['yogurt', 'butter', 'bagel']",0,2
