Episodio,Epoch,Acción,CanastaActual,CanastaObjetivo,RecompensaObtenida,RecompensaAcumulada
1,1,go to Produce,[],"['carrots', 'lettuce', 'bananas']",0,0
1,1,take lettuce,['lettuce'],"['carrots', 'lettuce', 'bananas']",-2,-2
1,1,go to Produce,['lettuce'],"['carrots', 'lettuce', 'bananas']",0,-2
1,1,go to Bakery,['lettuce'],"['carrots', 'lettuce', 'bananas']",0,-2
1,1,go to Dairy,['lettuce'],"['carrots', 'lettuce', 'bananas']",0,-2
1,1,take milk,"['lettuce', 'milk']","['carrots', 'lettuce', 'bananas']",-2,-4
1,1,checkout,"['lettuce', 'milk']","['carrots', 'lettuce', 'bananas']",-2,-6
1,1,checkout,"['lettuce', 'milk']","['carrots', 'lettuce', 'bananas']",-2,-8
1,1,take cheese,"['lettuce', 'milk', 'cheese']","['carrots', 'lettuce', 'bananas']",-2,-10
1,1,checkout,"['lettuce', 'milk', 'cheese']","['carrots', 'lettuce', 'bananas']",-2,-12
1,1,take butter,"['lettuce', 'milk', 'cheese', 'butter']","['carrots', 'lettuce', 'bananas']",0,-12
1,1,take butter,"['lettuce', 'milk', 'cheese', 'butter']","['carrots', 'lettuce', 'bananas']",0,-12
1,1,checkout,"['lettuce', 'milk', 'cheese', 'butter']","['carrots', 'lettuce', 'bananas']",-2,-14
1,1,take yogurt,"['lettuce', 'milk', 'cheese', 'butter', 'yogurt']","['carrots', 'lettuce', 'bananas']",0,-14
1,1,take milk,"['lettuce', 'milk', 'cheese', 'butter', 'yogurt']","['carrots', 'lettuce', 'bananas']",-2,-16
2,1,go to Produce,[],"['bagel', 'cake', 'carrots']",0,0
2,1,go to Bakery,[],"['bagel', 'cake', 'carrots']",0,0
2,1,checkout,[],"['bagel', 'cake', 'carrots']",-2,-2
2,1,go to Produce,[],"['bagel', 'cake', 'carrots']",0,-2
2,1,checkout,[],"['bagel', 'cake', 'carrots']",-2,-4
2,1,go to Bakery,[],"['bagel', 'cake', 'carrots']",0,-4
2,1,take croissant,['croissant'],"['bagel', 'cake', 'carrots']",-2,-6
2,1,take bagel,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",-2,-8
2,1,go to Produce,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Bakery,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Dairy,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Dairy,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Bakery,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Produce,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
2,1,go to Produce,"['croissant', 'bagel']","['bagel', 'cake', 'carrots']",0,-8
3,1,checkout,[],"['cheese', 'butter']",-2,-2
3,1,go to Bakery,[],"['cheese', 'butter']",0,-2
3,1,take bread,['bread'],"['cheese', 'butter']",-2,-4
