Episodio,Epoch,Acción,CanastaActual,CanastaObjetivo,RecompensaObtenida,RecompensaAcumulada
1,1,checkout,[],"['carrots', 'apples', 'bagel']",-2,-2
1,1,go to Bakery,[],"['carrots', 'apples', 'bagel']",0,-2
1,1,take bagel,['bagel'],"['carrots', 'apples', 'bagel']",0,-2
1,1,checkout,['bagel'],"['carrots', 'apples', 'bagel']",0,-2
1,1,take cake,"['bagel', 'cake']","['carrots', 'apples', 'bagel']",0,-2
1,1,take croissant,"['bagel', 'cake', 'croissant']","['carrots', 'apples', 'bagel']",0,-2
1,1,go to Produce,"['bagel', 'cake', 'croissant']","['carrots', 'apples', 'bagel']",0,-2
1,1,take carrots,"['bagel', 'cake', 'croissant', 'carrots']","['carrots', 'apples', 'bagel']",2,0
1,1,checkout,"['bagel', 'cake', 'croissant', 'carrots']","['carrots', 'apples', 'bagel']",0,0
1,1,take lettuce,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce']","['carrots', 'apples', 'bagel']",0,0
1,1,go to Produce,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce']","['carrots', 'apples', 'bagel']",0,0
1,1,checkout,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce']","['carrots', 'apples', 'bagel']",0,0
1,1,go to Produce,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce']","['carrots', 'apples', 'bagel']",0,0
1,1,go to Dairy,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce']","['carrots', 'apples', 'bagel']",0,0
1,1,take yogurt,"['bagel', 'cake', 'croissant', 'carrots', 'lettuce', 'yogurt']","['carrots', 'apples', 'bagel']",0,0
2,1,go to Produce,[],"['bread', 'milk', 'lettuce']",-4,-4
2,1,take apples,['apples'],"['bread', 'milk', 'lettuce']",0,-4
2,1,go to Dairy,['apples'],"['bread', 'milk', 'lettuce']",0,-4
2,1,take cheese,"['apples', 'cheese']","['bread', 'milk', 'lettuce']",0,-4
2,1,take milk,"['apples', 'cheese', 'milk']","['bread', 'milk', 'lettuce']",0,-4
2,1,take cheese,"['apples', 'cheese', 'milk']","['bread', 'milk', 'lettuce']",2,-2
2,1,take butter,"['apples', 'cheese', 'milk', 'butter']","['bread', 'milk', 'lettuce']",0,-2
2,1,take butter,"['apples', 'cheese', 'milk', 'butter']","['bread', 'milk', 'lettuce']",0,-2
2,1,go to Bakery,"['apples', 'cheese', 'milk', 'butter']","['bread', 'milk', 'lettuce']",0,-2
2,1,take cake,"['apples', 'cheese', 'milk', 'butter', 'cake']","['bread', 'milk', 'lettuce']",0,-2
2,1,take cake,"['apples', 'cheese', 'milk', 'butter', 'cake']","['bread', 'milk', 'lettuce']",0,-2
2,1,take cake,"['apples', 'cheese', 'milk', 'butter', 'cake']","['bread', 'milk', 'lettuce']",0,-2
2,1,take croissant,"['apples', 'cheese', 'milk', 'butter', 'cake', 'croissant']","['bread', 'milk', 'lettuce']",0,-2
2,1,take bagel,"['apples', 'cheese', 'milk', 'butter', 'cake', 'croissant', 'bagel']","['bread', 'milk', 'lettuce']",0,-2
2,1,take bread,"['apples', 'cheese', 'milk', 'butter', 'cake', 'croissant', 'bagel', 'bread']","['bread', 'milk', 'lettuce']",0,-2
3,1,go to Bakery,[],"['croissant', 'cheese']",-4,-4
3,1,take bread,['bread'],"['croissant', 'cheese']",0,-4
3,1,take bread,['bread'],"['croissant', 'cheese']",0,-4
3,1,take cake,"['bread', 'cake']","['croissant', 'cheese']",0,-4
3,1,checkout,"['bread', 'cake']","['croissant', 'cheese']",0,-4
3,1,take bagel,"['bread', 'cake', 'bagel']","['croissant', 'cheese']",0,-4
3,1,take cake,"['bread', 'cake', 'bagel']","['croissant', 'cheese']",0,-4
3,1,go to Produce,"['bread', 'cake', 'bagel']","['croissant', 'cheese']",-2,-6
3,1,take lettuce,"['bread', 'cake', 'bagel', 'lettuce']","['croissant', 'cheese']",4,-2
3,1,take bananas,"['bread', 'cake', 'bagel', 'lettuce', 'bananas']","['croissant', 'cheese']",0,-2
3,1,go to Dairy,"['bread', 'cake', 'bagel', 'lettuce', 'bananas']","['croissant', 'cheese']",0,-2
3,1,take cheese,"['bread', 'cake', 'bagel', 'lettuce', 'bananas', 'cheese']","['croissant', 'cheese']",0,-2
3,1,take cheese,"['bread', 'cake', 'bagel', 'lettuce', 'bananas', 'cheese']","['croissant', 'cheese']",0,-2
3,1,take cheese,"['bread', 'cake', 'bagel', 'lettuce', 'bananas', 'cheese']","['croissant', 'cheese']",0,-2
3,1,go to Dairy,"['bread', 'cake', 'bagel', 'lettuce', 'bananas', 'cheese']","['croissant', 'cheese']",-4,-6
4,1,go to Bakery,[],"['croissant', 'cheese']",-2,-2
4,1,go to Produce,[],"['croissant', 'cheese']",0,-2
4,1,take carrots,['carrots'],"['croissant', 'cheese']",0,-2
4,1,take apples,"['carrots', 'apples']","['croissant', 'cheese']",4,2
4,1,take lettuce,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",0,2
4,1,take carrots,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",2,4
4,1,take apples,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",0,4
4,1,go to Dairy,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",0,4
4,1,go to Dairy,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",0,4
4,1,go to Dairy,"['carrots', 'apples', 'lettuce']","['croissant', 'cheese']",-4,0
4,1,take milk,"['carrots', 'apples', 'lettuce', 'milk']","['croissant', 'cheese']",2,2
4,1,checkout,"['carrots', 'apples', 'lettuce', 'milk']","['croissant', 'cheese']",0,2
4,1,go to Dairy,"['carrots', 'apples', 'lettuce', 'milk']","['croissant', 'cheese']",0,2
4,1,take yogurt,"['carrots', 'apples', 'lettuce', 'milk', 'yogurt']","['croissant', 'cheese']",0,2
4,1,go to Produce,"['carrots', 'apples', 'lettuce', 'milk', 'yogurt']","['croissant', 'cheese']",0,2
5,1,go to Dairy,[],"['bananas', 'bagel']",2,2
5,1,take cheese,['cheese'],"['bananas', 'bagel']",0,2
5,1,take cheese,['cheese'],"['bananas', 'bagel']",0,2
5,1,go to Produce,['cheese'],"['bananas', 'bagel']",0,2
5,1,go to Produce,['cheese'],"['bananas', 'bagel']",0,2
5,1,take carrots,"['cheese', 'carrots']","['bananas', 'bagel']",2,4
5,1,take carrots,"['cheese', 'carrots']","['bananas', 'bagel']",2,6
5,1,go to Dairy,"['cheese', 'carrots']","['bananas', 'bagel']",0,6
5,1,checkout,"['cheese', 'carrots']","['bananas', 'bagel']",0,6
5,1,take cheese,"['cheese', 'carrots']","['bananas', 'bagel']",2,8
5,1,take yogurt,"['cheese', 'carrots', 'yogurt']","['bananas', 'bagel']",0,8
5,1,take yogurt,"['cheese', 'carrots', 'yogurt']","['bananas', 'bagel']",0,8
5,1,go to Produce,"['cheese', 'carrots', 'yogurt']","['bananas', 'bagel']",0,8
5,1,go to Bakery,"['cheese', 'carrots', 'yogurt']","['bananas', 'bagel']",0,8
5,1,take croissant,"['cheese', 'carrots', 'yogurt', 'croissant']","['bananas', 'bagel']",2,10
6,1,go to Produce,[],"['butter', 'lettuce', 'croissant']",0,0
6,1,go to Dairy,[],"['butter', 'lettuce', 'croissant']",0,0
6,1,go to Dairy,[],"['butter', 'lettuce', 'croissant']",-4,-4
6,1,go to Dairy,[],"['butter', 'lettuce', 'croissant']",0,-4
6,1,take butter,['butter'],"['butter', 'lettuce', 'croissant']",0,-4
6,1,take butter,['butter'],"['butter', 'lettuce', 'croissant']",2,-2
6,1,take yogurt,"['butter', 'yogurt']","['butter', 'lettuce', 'croissant']",0,-2
6,1,go to Produce,"['butter', 'yogurt']","['butter', 'lettuce', 'croissant']",-2,-4
6,1,take apples,"['butter', 'yogurt', 'apples']","['butter', 'lettuce', 'croissant']",0,-4
6,1,go to Dairy,"['butter', 'yogurt', 'apples']","['butter', 'lettuce', 'croissant']",2,-2
6,1,take milk,"['butter', 'yogurt', 'apples', 'milk']","['butter', 'lettuce', 'croissant']",0,-2
6,1,take yogurt,"['butter', 'yogurt', 'apples', 'milk']","['butter', 'lettuce', 'croissant']",2,0
6,1,checkout,"['butter', 'yogurt', 'apples', 'milk']","['butter', 'lettuce', 'croissant']",0,0
6,1,checkout,"['butter', 'yogurt', 'apples', 'milk']","['butter', 'lettuce', 'croissant']",0,0
6,1,take yogurt,"['butter', 'yogurt', 'apples', 'milk']","['butter', 'lettuce', 'croissant']",0,0
7,1,checkout,[],"['yogurt', 'cake']",0,0
7,1,go to Produce,[],"['yogurt', 'cake']",0,0
7,1,take bananas,['bananas'],"['yogurt', 'cake']",0,0
7,1,take carrots,"['bananas', 'carrots']","['yogurt', 'cake']",2,2
7,1,go to Produce,"['bananas', 'carrots']","['yogurt', 'cake']",-4,-2
7,1,take bananas,"['bananas', 'carrots']","['yogurt', 'cake']",-2,-4
7,1,take lettuce,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",2,-2
7,1,take bananas,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",2,0
7,1,go to Produce,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",0,0
7,1,checkout,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",0,0
7,1,go to Dairy,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",0,0
7,1,checkout,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",0,0
7,1,go to Dairy,"['bananas', 'carrots', 'lettuce']","['yogurt', 'cake']",0,0
7,1,take milk,"['bananas', 'carrots', 'lettuce', 'milk']","['yogurt', 'cake']",0,0
7,1,go to Produce,"['bananas', 'carrots', 'lettuce', 'milk']","['yogurt', 'cake']",0,0
8,1,go to Dairy,[],"['cake', 'cheese']",0,0
8,1,go to Produce,[],"['cake', 'cheese']",-4,-4
8,1,take lettuce,['lettuce'],"['cake', 'cheese']",-4,-8
8,1,take carrots,"['lettuce', 'carrots']","['cake', 'cheese']",0,-8
8,1,go to Dairy,"['lettuce', 'carrots']","['cake', 'cheese']",0,-8
8,1,go to Bakery,"['lettuce', 'carrots']","['cake', 'cheese']",0,-8
8,1,go to Bakery,"['lettuce', 'carrots']","['cake', 'cheese']",0,-8
8,1,take cake,"['lettuce', 'carrots', 'cake']","['cake', 'cheese']",0,-8
8,1,go to Dairy,"['lettuce', 'carrots', 'cake']","['cake', 'cheese']",-2,-10
8,1,take milk,"['lettuce', 'carrots', 'cake', 'milk']","['cake', 'cheese']",0,-10
8,1,checkout,"['lettuce', 'carrots', 'cake', 'milk']","['cake', 'cheese']",0,-10
8,1,go to Produce,"['lettuce', 'carrots', 'cake', 'milk']","['cake', 'cheese']",0,-10
8,1,take lettuce,"['lettuce', 'carrots', 'cake', 'milk']","['cake', 'cheese']",0,-10
8,1,go to Dairy,"['lettuce', 'carrots', 'cake', 'milk']","['cake', 'cheese']",0,-10
8,1,take yogurt,"['lettuce', 'carrots', 'cake', 'milk', 'yogurt']","['cake', 'cheese']",0,-10
9,1,go to Dairy,[],"['carrots', 'apples']",0,0
9,1,go to Dairy,[],"['carrots', 'apples']",-4,-4
9,1,checkout,[],"['carrots', 'apples']",-4,-8
9,1,take milk,['milk'],"['carrots', 'apples']",2,-6
9,1,take yogurt,"['milk', 'yogurt']","['carrots', 'apples']",2,-4
9,1,go to Produce,"['milk', 'yogurt']","['carrots', 'apples']",0,-4
9,1,take carrots,"['milk', 'yogurt', 'carrots']","['carrots', 'apples']",0,-4
9,1,take carrots,"['milk', 'yogurt', 'carrots']","['carrots', 'apples']",0,-4
9,1,take lettuce,"['milk', 'yogurt', 'carrots', 'lettuce']","['carrots', 'apples']",0,-4
9,1,take apples,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples']","['carrots', 'apples']",2,-2
9,1,checkout,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples']","['carrots', 'apples']",0,-2
9,1,take lettuce,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples']","['carrots', 'apples']",0,-2
9,1,go to Dairy,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples']","['carrots', 'apples']",0,-2
9,1,go to Bakery,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples']","['carrots', 'apples']",0,-2
9,1,take bagel,"['milk', 'yogurt', 'carrots', 'lettuce', 'apples', 'bagel']","['carrots', 'apples']",0,-2
10,1,go to Dairy,[],"['lettuce', 'butter']",0,0
10,1,go to Produce,[],"['lettuce', 'butter']",0,0
10,1,take carrots,['carrots'],"['lettuce', 'butter']",0,0
10,1,take apples,"['carrots', 'apples']","['lettuce', 'butter']",0,0
10,1,go to Dairy,"['carrots', 'apples']","['lettuce', 'butter']",0,0
10,1,go to Dairy,"['carrots', 'apples']","['lettuce', 'butter']",0,0
10,1,go to Bakery,"['carrots', 'apples']","['lettuce', 'butter']",0,0
10,1,go to Dairy,"['carrots', 'apples']","['lettuce', 'butter']",0,0
10,1,go to Dairy,"['carrots', 'apples']","['lettuce', 'butter']",-4,-4
10,1,take yogurt,"['carrots', 'apples', 'yogurt']","['lettuce', 'butter']",0,-4
10,1,take butter,"['carrots', 'apples', 'yogurt', 'butter']","['lettuce', 'butter']",-2,-6
10,1,take milk,"['carrots', 'apples', 'yogurt', 'butter', 'milk']","['lettuce', 'butter']",0,-6
10,1,go to Dairy,"['carrots', 'apples', 'yogurt', 'butter', 'milk']","['lettuce', 'butter']",0,-6
10,1,go to Produce,"['carrots', 'apples', 'yogurt', 'butter', 'milk']","['lettuce', 'butter']",0,-6
10,1,go to Bakery,"['carrots', 'apples', 'yogurt', 'butter', 'milk']","['lettuce', 'butter']",0,-6
11,2,go to Produce,[],"['carrots', 'yogurt', 'bananas']",0,0
11,2,take apples,['apples'],"['carrots', 'yogurt', 'bananas']",0,0
11,2,go to Dairy,['apples'],"['carrots', 'yogurt', 'bananas']",0,0
11,2,take milk,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",2,2
11,2,go to Bakery,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",0,2
11,2,go to Produce,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",0,2
11,2,go to Bakery,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",0,2
11,2,go to Bakery,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",0,2
11,2,checkout,"['apples', 'milk']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take croissant,"['apples', 'milk', 'croissant']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take cake,"['apples', 'milk', 'croissant', 'cake']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take croissant,"['apples', 'milk', 'croissant', 'cake']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take croissant,"['apples', 'milk', 'croissant', 'cake']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take bagel,"['apples', 'milk', 'croissant', 'cake', 'bagel']","['carrots', 'yogurt', 'bananas']",0,2
11,2,take cake,"['apples', 'milk', 'croissant', 'cake', 'bagel']","['carrots', 'yogurt', 'bananas']",0,2
12,2,checkout,[],"['cake', 'yogurt']",0,0
12,2,go to Produce,[],"['cake', 'yogurt']",-2,-2
12,2,go to Dairy,[],"['cake', 'yogurt']",0,-2
12,2,take milk,['milk'],"['cake', 'yogurt']",0,-2
12,2,go to Bakery,['milk'],"['cake', 'yogurt']",0,-2
12,2,checkout,['milk'],"['cake', 'yogurt']",0,-2
12,2,go to Produce,['milk'],"['cake', 'yogurt']",0,-2
12,2,go to Bakery,['milk'],"['cake', 'yogurt']",0,-2
12,2,take bagel,"['milk', 'bagel']","['cake', 'yogurt']",0,-2
12,2,take cake,"['milk', 'bagel', 'cake']","['cake', 'yogurt']",0,-2
12,2,take cake,"['milk', 'bagel', 'cake']","['cake', 'yogurt']",2,0
12,2,take bread,"['milk', 'bagel', 'cake', 'bread']","['cake', 'yogurt']",0,0
12,2,go to Dairy,"['milk', 'bagel', 'cake', 'bread']","['cake', 'yogurt']",0,0
12,2,take butter,"['milk', 'bagel', 'cake', 'bread', 'butter']","['cake', 'yogurt']",0,0
12,2,go to Dairy,"['milk', 'bagel', 'cake', 'bread', 'butter']","['cake', 'yogurt']",0,0
