Episodio,Epoch,Acción,CanastaActual,CanastaObjetivo,RecompensaObtenida,RecompensaAcumulada
1,1,go to Bakery,[],"['lettuce', 'bread', 'milk']",0,0
1,1,go to Bakery,[],"['lettuce', 'bread', 'milk']",0,0
1,1,take cake,['cake'],"['lettuce', 'bread', 'milk']",10,10
1,1,checkout,['cake'],"['lettuce', 'bread', 'milk']",-10,0
1,1,take bread,"['cake', 'bread']","['lettuce', 'bread', 'milk']",10,10
1,1,take cake,"['cake', 'bread']","['lettuce', 'bread', 'milk']",-1,9
1,1,go to Dairy,"['cake', 'bread']","['lettuce', 'bread', 'milk']",0,9
1,1,take butter,"['cake', 'bread', 'butter']","['lettuce', 'bread', 'milk']",10,19
1,1,go to Dairy,"['cake', 'bread', 'butter']","['lettuce', 'bread', 'milk']",0,19
1,1,take yogurt,"['cake', 'bread', 'butter', 'yogurt']","['lettuce', 'bread', 'milk']",10,29
1,1,take cheese,"['cake', 'bread', 'butter', 'yogurt', 'cheese']","['lettuce', 'bread', 'milk']",10,39
1,1,go to Dairy,"['cake', 'bread', 'butter', 'yogurt', 'cheese']","['lettuce', 'bread', 'milk']",0,39
1,1,go to Bakery,"['cake', 'bread', 'butter', 'yogurt', 'cheese']","['lettuce', 'bread', 'milk']",0,39
1,1,checkout,"['cake', 'bread', 'butter', 'yogurt', 'cheese']","['lettuce', 'bread', 'milk']",-10,29
1,1,checkout,"['cake', 'bread', 'butter', 'yogurt', 'cheese']","['lettuce', 'bread', 'milk']",-10,19
2,1,go to Produce,[],"['cake', 'apples']",0,0
2,1,take lettuce,['lettuce'],"['cake', 'apples']",10,10
2,1,checkout,['lettuce'],"['cake', 'apples']",-10,0
2,1,go to Produce,['lettuce'],"['cake', 'apples']",0,0
2,1,take carrots,"['lettuce', 'carrots']","['cake', 'apples']",10,10
2,1,go to Bakery,"['lettuce', 'carrots']","['cake', 'apples']",0,10
2,1,take cake,"['lettuce', 'carrots', 'cake']","['cake', 'apples']",10,20
2,1,take croissant,"['lettuce', 'carrots', 'cake', 'croissant']","['cake', 'apples']",10,30
2,1,take croissant,"['lettuce', 'carrots', 'cake', 'croissant']","['cake', 'apples']",-1,29
2,1,take bread,"['lettuce', 'carrots', 'cake', 'croissant', 'bread']","['cake', 'apples']",10,39
2,1,go to Dairy,"['lettuce', 'carrots', 'cake', 'croissant', 'bread']","['cake', 'apples']",0,39
2,1,go to Produce,"['lettuce', 'carrots', 'cake', 'croissant', 'bread']","['cake', 'apples']",0,39
2,1,go to Dairy,"['lettuce', 'carrots', 'cake', 'croissant', 'bread']","['cake', 'apples']",0,39
2,1,go to Produce,"['lettuce', 'carrots', 'cake', 'croissant', 'bread']","['cake', 'apples']",0,39
2,1,take apples,"['lettuce', 'carrots', 'cake', 'croissant', 'bread', 'apples']","['cake', 'apples']",10,49
3,1,checkout,[],"['bread', 'yogurt', 'cheese']",-10,-10
3,1,checkout,[],"['bread', 'yogurt', 'cheese']",-10,-20
3,1,go to Dairy,[],"['bread', 'yogurt', 'cheese']",0,-20
