Episodio,Epoch,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,6.753629005999983,31.3,783.828125,2.5078125
2.0,1.0,5.391066581999894,16.6,783.828125,2.5078125
3.0,1.0,38.192104253000025,8.0,783.828125,2.5078125
4.0,1.0,35.3793319790002,8.2,783.828125,2.5078125
5.0,1.0,36.90682551500004,8.3,1051.87109375,23.7734375
6.0,1.0,36.11924464000003,10.1,1052.125,23.7734375
7.0,1.0,37.624047922000045,7.9,1052.37109375,23.7734375
8.0,1.0,36.44906449700011,7.9,1052.37109375,23.7734375
9.0,1.0,36.5048209229999,8.1,1052.6171875,23.7734375
10.0,1.0,37.02390331100014,9.8,1052.6171875,23.7734375
11.0,2.0,37.64857578299984,8.0,1052.6171875,23.7734375
12.0,2.0,36.508930042999964,8.3,1052.875,23.7734375
13.0,2.0,36.91843946699987,8.1,1052.875,23.7734375
14.0,2.0,36.56938719799996,9.9,1052.875,23.7734375
15.0,2.0,36.538652429999956,7.9,1053.1328125,23.7734375
16.0,2.0,37.61893031700015,7.9,1053.1328125,23.7734375
17.0,2.0,36.72896302799995,8.4,1053.1328125,23.7734375
18.0,2.0,37.199771640000336,9.6,1053.390625,23.7734375
19.0,2.0,37.557360267999684,7.9,1053.390625,23.7734375
20.0,2.0,38.54117729099971,8.0,1053.390625,23.7734375
21.0,3.0,36.848171942000135,9.5,1053.6484375,23.7734375
22.0,3.0,37.46939305400019,7.9,1053.6484375,23.7734375
23.0,3.0,36.92012758300007,7.9,1060.57421875,23.7734375
24.0,3.0,37.424848740000016,9.7,1060.83203125,23.7734375
25.0,3.0,37.41489368199973,7.9,1060.83203125,23.7734375
26.0,3.0,37.21390419099998,7.9,1060.83203125,23.7734375
27.0,3.0,37.62531813800024,9.1,1061.08984375,23.7734375
28.0,3.0,36.59161148600015,8.5,1061.08984375,23.7734375
29.0,3.0,36.9201063710002,8.0,1061.08984375,23.7734375
30.0,3.0,37.28429748599956,7.9,1061.34765625,23.7734375
31.0,4.0,37.70674815299981,9.6,1061.34765625,23.7734375
32.0,4.0,36.64992752499984,8.0,1061.60546875,23.7734375
33.0,4.0,37.04434730799994,7.9,1061.60546875,23.7734375
34.0,4.0,36.68590923800002,7.9,1061.60546875,23.7734375
35.0,4.0,36.57084005600018,10.0,1061.86328125,23.7734375
36.0,4.0,36.68568556700029,8.0,1061.86328125,23.7734375
37.0,4.0,36.42555488800008,8.0,1061.86328125,23.7734375
38.0,4.0,36.8261966,7.9,1062.12109375,23.7734375
39.0,4.0,37.3611386030002,9.8,1062.12109375,23.7734375
40.0,4.0,36.87182925900015,7.9,1062.12109375,23.7734375
41.0,5.0,36.83695705199989,18.0,1062.37890625,23.7734375
42.0,5.0,37.19822146200022,10.1,1062.37890625,23.7734375
43.0,5.0,37.0308024320002,12.6,1062.37890625,23.7734375
44.0,5.0,37.311441303000265,8.0,1062.37890625,23.7734375
45.0,5.0,37.9471943640001,7.9,1062.63671875,23.7734375
46.0,5.0,36.527661738000006,10.0,1062.63671875,23.7734375
47.0,5.0,37.21730875000003,7.8,1062.63671875,23.7734375
48.0,5.0,36.729053224999916,8.1,1062.89453125,23.7734375
49.0,5.0,36.68161624300001,7.9,1062.89453125,23.7734375
50.0,5.0,37.264216192000276,9.8,1062.89453125,23.7734375
