Episodio,Epoch,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,11.431336796000323,18.3,778.42578125,2.5078125
2.0,1.0,9.27459850699961,10.6,778.52734375,2.5078125
3.0,1.0,8.77974691000054,3.6,778.625,2.5078125
4.0,1.0,7.8944741189989145,11.7,779.56640625,2.5078125
5.0,1.0,8.893921429998954,13.0,1055.62109375,23.7734375
6.0,1.0,8.077013828999043,11.2,1056.03125,23.7734375
7.0,1.0,9.274559561999922,5.9,1056.34375,23.7734375
8.0,1.0,9.186568228000397,11.5,1056.60546875,23.7734375
9.0,1.0,9.143587709000712,12.7,1056.875,23.7734375
10.0,1.0,10.431202636000307,11.2,1056.90234375,23.7734375
11.0,2.0,8.840303269000287,12.7,1057.203125,23.7734375
12.0,2.0,9.874824795999302,10.1,1057.2265625,23.7734375
13.0,2.0,8.532007153999075,6.9,1057.52734375,23.7734375
14.0,2.0,10.16835414399975,11.1,1057.546875,23.7734375
15.0,2.0,8.91645544200037,12.6,1057.80859375,23.7734375
16.0,2.0,9.221846227999777,11.5,1057.80859375,23.7734375
17.0,2.0,8.955812617999982,12.5,1058.0703125,23.7734375
18.0,2.0,8.95328299799985,4.3,1065.12890625,23.7734375
19.0,2.0,9.147176402999321,12.6,1065.3984375,23.7734375
20.0,2.0,10.170709781999903,11.1,1065.67578125,23.7734375
21.0,3.0,9.792589578999468,11.9,1065.69921875,23.7734375
22.0,3.0,7.871401145999698,14.1,1065.98828125,23.7734375
23.0,3.0,8.006078967000576,4.4,1066.015625,23.7734375
24.0,3.0,9.603937128000325,11.7,1066.29296875,23.7734375
25.0,3.0,10.482457130001421,11.2,1066.30078125,23.7734375
26.0,3.0,9.580573507000736,11.3,1066.55859375,23.7734375
27.0,3.0,9.50777061000008,11.4,1066.81640625,23.7734375
28.0,3.0,7.707721363000019,7.5,1066.81640625,23.7734375
29.0,3.0,7.2036929890000465,12.0,1067.08203125,23.7734375
30.0,3.0,7.969908159000624,13.5,1067.09375,23.7734375
31.0,4.0,9.024274457000502,12.8,1067.3671875,23.7734375
32.0,4.0,9.40122284499921,4.5,1067.6328125,23.7734375
33.0,4.0,8.605129450999812,12.1,1067.90234375,23.7734375
34.0,4.0,9.507038231999104,11.8,1067.93359375,23.7734375
35.0,4.0,10.235162785000284,11.1,1068.2265625,23.7734375
36.0,4.0,9.591431668999576,11.3,1068.24609375,23.7734375
37.0,4.0,7.394115531000352,5.8,1068.50390625,23.7734375
38.0,4.0,7.364380962999348,13.0,1068.50390625,23.7734375
39.0,4.0,9.183129855999141,12.8,1068.76171875,23.7734375
40.0,4.0,8.003508764999424,13.0,1068.76171875,23.7734375
41.0,5.0,9.100504448999345,4.2,1069.01953125,23.7734375
42.0,5.0,8.015434987000845,13.6,1069.0234375,23.7734375
43.0,5.0,8.883333415999005,12.8,1069.3046875,23.7734375
44.0,5.0,7.287021149999418,14.8,1069.30859375,23.7734375
45.0,5.0,6.397063099000661,4.8,1069.5703125,23.7734375
46.0,5.0,8.865340854999886,13.2,1069.83203125,23.7734375
47.0,5.0,8.198934609001299,13.3,1069.8359375,23.7734375
48.0,5.0,7.802796373000092,4.6,1069.83984375,23.7734375
49.0,5.0,8.931834055998479,12.4,1070.1015625,23.7734375
50.0,5.0,11.132155731000239,10.6,1070.359375,23.7734375
51.0,6.0,9.33444368399978,12.0,1070.375,23.7734375
52.0,6.0,8.264184047000526,13.2,1070.6328125,23.7734375
53.0,6.0,9.295347509998464,6.9,1070.63671875,23.7734375
54.0,6.0,8.767943369000932,10.4,1070.8984375,23.7734375
55.0,6.0,9.033528406000187,12.2,1070.8984375,23.7734375
56.0,6.0,8.40864344900001,13.1,1071.16015625,23.7734375
57.0,6.0,9.94618092500059,11.5,1071.41796875,23.7734375
58.0,6.0,10.593586622000657,10.8,1071.4296875,23.7734375
59.0,6.0,9.33194685199851,4.4,1071.703125,23.7734375
60.0,6.0,9.546679369999765,12.4,1071.72265625,23.7734375
61.0,7.0,8.10059312500016,13.5,1071.99609375,23.7734375
62.0,7.0,9.184870221999518,11.7,1072.2734375,23.7734375
63.0,7.0,7.72637954899983,8.8,1072.28515625,23.7734375
64.0,7.0,8.457092852999267,9.3,1072.5625,23.7734375
65.0,7.0,9.90426859299987,11.2,1072.578125,23.7734375
66.0,7.0,9.879175109999778,12.2,1072.8515625,23.7734375
67.0,7.0,8.37979579199964,13.2,1073.125,23.7734375
68.0,7.0,10.682300935000967,10.6,1073.48828125,23.7734375
69.0,7.0,8.650592902000426,4.3,1073.50390625,23.7734375
70.0,7.0,8.803554710999379,13.1,1073.77734375,23.7734375
71.0,8.0,8.701533595,12.7,1073.7890625,23.7734375
72.0,8.0,7.972568723000222,13.5,1074.05859375,23.7734375
73.0,8.0,8.941578674000993,7.5,1074.0703125,23.7734375
74.0,8.0,9.181929275000584,10.0,1074.3359375,23.7734375
75.0,8.0,10.747959038999397,10.5,1074.3515625,23.7734375
76.0,8.0,9.444297018000725,12.1,1074.625,23.7734375
77.0,8.0,8.77254897900093,12.9,1074.6328125,23.7734375
78.0,8.0,9.24330529999861,12.0,1074.91015625,23.7734375
79.0,8.0,8.506654184999206,4.5,1074.92578125,23.7734375
80.0,8.0,8.531464149000385,13.1,1075.20703125,23.7734375
81.0,9.0,8.378509672000291,13.0,1075.21484375,23.7734375
82.0,9.0,7.543924347000939,14.0,1075.48828125,23.7734375
83.0,9.0,10.340390841000044,7.3,1075.765625,23.7734375
84.0,9.0,7.9186861620000855,10.1,1075.77734375,23.7734375
85.0,9.0,9.033636877999015,12.1,1076.0390625,23.7734375
86.0,9.0,7.447326211999098,14.2,1076.0390625,23.7734375
87.0,9.0,7.977376057000583,5.3,1076.296875,23.7734375
88.0,9.0,7.898627216000023,13.7,1076.30859375,23.7734375
