Episodio,Epoch,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,6.072348067999883,15.0,765.7578125,2.5078125
2.0,1.0,6.111967482000182,15.8,765.7578125,2.5078125
3.0,1.0,37.83123746599995,8.5,765.7578125,2.5078125
4.0,1.0,36.60312757700012,10.8,766.0,2.5078125
5.0,1.0,37.219646065000234,10.6,1043.09765625,23.7734375
6.0,1.0,36.65204856699984,8.2,1043.09765625,23.7734375
7.0,1.0,37.06365521200041,8.6,1043.34375,23.7734375
8.0,1.0,37.37915051800064,9.4,1043.58984375,23.7734375
9.0,1.0,36.675842784999986,10.5,1043.58984375,23.7734375
10.0,1.0,37.24463763099993,9.0,1043.84375,23.7734375
11.0,2.0,36.91590464699948,9.1,1043.84375,23.7734375
12.0,2.0,37.047191581000334,8.7,1044.1015625,23.7734375
13.0,2.0,36.791887463999956,11.1,1044.1015625,23.7734375
14.0,2.0,37.40380709799956,8.8,1051.08203125,23.7734375
15.0,2.0,37.56118378000065,8.9,1051.33984375,23.7734375
16.0,2.0,36.386882495000464,9.0,1051.33984375,23.7734375
17.0,2.0,38.48732226500033,10.6,1051.33984375,23.7734375
18.0,2.0,37.06066379999993,9.0,1051.59765625,23.7734375
19.0,2.0,37.15100153499952,9.0,1051.59765625,23.7734375
20.0,2.0,37.77407413699984,10.4,1051.59765625,23.7734375
21.0,3.0,37.540348607999476,9.6,1051.85546875,23.7734375
22.0,3.0,38.280637423999906,9.2,1051.85546875,23.7734375
23.0,3.0,37.25733906000005,9.5,1051.85546875,23.7734375
24.0,3.0,37.58842197700051,11.3,1052.11328125,23.7734375
25.0,3.0,36.491800608999256,8.8,1052.11328125,23.7734375
26.0,3.0,36.392917733000104,8.3,1052.37109375,23.7734375
27.0,3.0,36.85362872099995,8.1,1052.37109375,23.7734375
28.0,3.0,36.532063700000435,9.4,1052.37109375,23.7734375
29.0,3.0,37.91802175200064,14.8,1052.62890625,23.7734375
30.0,3.0,36.938486886000646,8.2,1052.62890625,23.7734375
31.0,4.0,36.915180718000556,8.0,1052.62890625,23.7734375
32.0,4.0,36.43514336899989,10.0,1052.88671875,23.7734375
33.0,4.0,36.48861001399928,7.9,1052.88671875,23.7734375
34.0,4.0,37.056595406999804,7.9,1053.14453125,23.7734375
35.0,4.0,36.88027097399936,8.0,1053.14453125,23.7734375
36.0,4.0,38.294175826000355,9.7,1053.14453125,23.7734375
37.0,4.0,37.087686159999976,7.9,1053.40234375,23.7734375
38.0,4.0,37.17950845799987,7.8,1053.40234375,23.7734375
39.0,4.0,36.78387928599932,9.9,1053.40234375,23.7734375
40.0,4.0,36.53148535899982,8.0,1053.40234375,23.7734375
41.0,5.0,37.52741514800073,8.0,1053.66015625,23.7734375
42.0,5.0,37.708294623000256,7.7,1053.66015625,23.7734375
43.0,5.0,38.13461672599988,24.3,1053.66015625,23.7734375
44.0,5.0,37.60963384200022,8.7,1053.91796875,23.7734375
45.0,5.0,37.69032436700036,9.3,1053.91796875,23.7734375
46.0,5.0,37.21132921300068,10.9,1053.91796875,23.7734375
47.0,5.0,36.37067119100084,9.0,1054.17578125,23.7734375
48.0,5.0,37.35814053800004,8.7,1054.17578125,23.7734375
49.0,5.0,37.481079174000115,8.9,1054.17578125,23.7734375
50.0,5.0,37.61649298500015,10.7,1054.17578125,23.7734375
51.0,6.0,37.29136753500006,9.1,1054.43359375,23.7734375
52.0,6.0,36.37014767799974,9.0,1054.69140625,23.7734375
53.0,6.0,36.979058233000615,8.5,1054.69140625,23.7734375
54.0,6.0,36.83671422799944,9.6,1054.69140625,23.7734375
55.0,6.0,37.652550632000384,8.2,1054.94921875,23.7734375
56.0,6.0,36.82105107899952,7.9,1054.94921875,23.7734375
57.0,6.0,39.258115763000205,9.5,1054.94921875,23.7734375
58.0,6.0,37.48940881599992,7.7,1055.20703125,23.7734375
59.0,6.0,37.51583191000009,7.9,1055.20703125,23.7734375
60.0,6.0,37.52129344399964,9.2,1055.20703125,23.7734375
61.0,7.0,37.542605453999386,8.2,1055.46484375,23.7734375
62.0,7.0,36.98096949400042,8.0,1055.46484375,23.7734375
63.0,7.0,38.31419413399999,8.7,1055.46484375,23.7734375
64.0,7.0,36.7869123090004,8.8,1055.72265625,23.7734375
65.0,7.0,37.677322968000226,7.9,1055.72265625,23.7734375
66.0,7.0,36.783319336000204,8.0,1055.72265625,23.7734375
67.0,7.0,37.7718834490006,9.6,1055.98046875,23.7734375
68.0,7.0,37.2981899639999,7.9,1056.23828125,23.7734375
69.0,7.0,37.74872332999985,7.8,1056.23828125,23.7734375
70.0,7.0,38.39273954500095,9.7,1056.23828125,23.7734375
71.0,8.0,37.918034684000304,7.9,1056.23828125,23.7734375
72.0,8.0,36.645832780999626,7.9,1056.49609375,23.7734375
73.0,8.0,36.76844361300027,9.5,1056.49609375,23.7734375
74.0,8.0,38.19366048499978,8.1,1056.49609375,23.7734375
75.0,8.0,37.11118528100087,7.9,1056.75390625,23.7734375
76.0,8.0,38.29720008699951,9.6,1056.75390625,23.7734375
77.0,8.0,37.67627543500021,7.9,1056.75390625,23.7734375
78.0,8.0,37.174468843000795,8.0,1057.01171875,23.7734375
79.0,8.0,37.56195122600002,8.9,1057.01171875,23.7734375
80.0,8.0,38.098239167999054,8.5,1057.01171875,23.7734375
81.0,9.0,37.28059396700155,7.9,1057.26953125,23.7734375
82.0,9.0,37.70297491400015,8.9,1057.26953125,23.7734375
83.0,9.0,37.60324687499997,9.0,1057.26953125,23.7734375
84.0,9.0,38.804561672001,7.8,1057.26953125,23.7734375
85.0,9.0,37.25852443500116,9.4,1057.52734375,23.7734375
86.0,9.0,38.08825238300051,8.4,1057.52734375,23.7734375
87.0,9.0,37.63818828900003,7.9,1057.52734375,23.7734375
88.0,9.0,37.63946976799889,9.4,1057.78515625,23.7734375
89.0,9.0,37.496871114000896,9.2,1057.78515625,23.7734375
90.0,9.0,37.16403146899938,9.4,1057.78515625,23.7734375
91.0,10.0,36.74122969399832,8.6,1058.04296875,23.7734375
92.0,10.0,36.905979113000285,9.8,1058.04296875,23.7734375
93.0,10.0,36.8962306680005,8.4,1058.04296875,23.7734375
94.0,10.0,37.759300313000494,8.3,1058.30078125,23.7734375
