Episodio,Epoch,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.012081958000635495,52.3,743.0625,2.5078125
2.0,1.0,0.011414214000978973,66.7,743.0625,2.5078125
3.0,1.0,0.011416847000873531,33.3,743.9375,2.5078125
4.0,1.0,0.011322192000079667,50.0,743.9375,2.5078125
5.0,1.0,0.2481105100014247,60.0,1020.0390625,23.7734375
6.0,1.0,0.053293572998882155,45.5,1020.2890625,23.7734375
7.0,1.0,0.05186831800165237,63.6,1020.5390625,23.7734375
8.0,1.0,0.051734414000748075,50.0,1020.5390625,23.7734375
9.0,1.0,0.049727898000128334,50.0,1020.78515625,23.7734375
10.0,1.0,0.04998575199897459,45.5,1020.78515625,23.7734375
11.0,2.0,0.05174908700064407,50.0,1021.04296875,23.7734375
12.0,2.0,0.05271452700071677,50.0,1021.04296875,23.7734375
13.0,2.0,0.05212630700043519,54.5,1021.30078125,23.7734375
14.0,2.0,0.050565241999720456,50.0,1021.30078125,23.7734375
15.0,2.0,0.055806099000619724,54.5,1021.30078125,23.7734375
16.0,2.0,0.05222092700023495,50.0,1021.55859375,23.7734375
17.0,2.0,0.052646987000116496,50.0,1021.55859375,23.7734375
18.0,2.0,0.051427815000351984,54.5,1021.55859375,23.7734375
19.0,2.0,0.05027624600006675,50.0,1021.81640625,23.7734375
20.0,2.0,0.0502429630014376,50.0,1021.81640625,23.7734375
21.0,3.0,0.05065538000053493,50.0,1021.81640625,23.7734375
22.0,3.0,0.07000429800064012,78.6,1028.796875,23.7734375
23.0,3.0,0.051772869999695104,54.5,1029.0546875,23.7734375
24.0,3.0,0.05722238300040772,54.5,1029.3125,23.7734375
25.0,3.0,0.05533521799952723,50.0,1029.3125,23.7734375
26.0,3.0,0.05471131299964327,54.5,1029.3125,23.7734375
27.0,3.0,0.05156468600034714,50.0,1029.5703125,23.7734375
28.0,3.0,0.053410040000017034,50.0,1029.5703125,23.7734375
29.0,3.0,0.05437257400080853,54.5,1029.5703125,23.7734375
30.0,3.0,0.05370834600034868,45.5,1029.5703125,23.7734375
31.0,4.0,0.05457089899937273,54.5,1029.828125,23.7734375
32.0,4.0,0.051756790999206714,50.0,1029.828125,23.7734375
33.0,4.0,0.056449679999786895,45.5,1029.828125,23.7734375
34.0,4.0,0.05148268299853953,54.5,1030.0859375,23.7734375
35.0,4.0,0.053840530999877956,50.0,1030.0859375,23.7734375
36.0,4.0,0.05577653799991822,58.3,1030.0859375,23.7734375
37.0,4.0,0.05033346500022162,50.0,1030.34375,23.7734375
38.0,4.0,0.050309634001678205,50.0,1030.34375,23.7734375
39.0,4.0,0.05033647999880486,50.0,1030.6015625,23.7734375
40.0,4.0,0.050525261998700444,40.0,1030.6015625,23.7734375
41.0,5.0,0.06593506200078991,84.6,1030.6015625,23.7734375
42.0,5.0,0.05724198399911984,50.0,1030.6015625,23.7734375
43.0,5.0,0.05538844599868753,50.0,1030.6015625,23.7734375
44.0,5.0,0.05332620100125496,58.3,1030.859375,23.7734375
45.0,5.0,0.05201871800090885,50.0,1030.859375,23.7734375
46.0,5.0,0.05317649700009497,54.5,1030.859375,23.7734375
47.0,5.0,0.05196940299902053,50.0,1031.1171875,23.7734375
48.0,5.0,0.051877266998417326,50.0,1031.1171875,23.7734375
49.0,5.0,0.05173701200146752,45.5,1031.1171875,23.7734375
50.0,5.0,0.051221968000390916,50.0,1031.375,23.7734375
51.0,6.0,0.053962423000484705,50.0,1031.375,23.7734375
52.0,6.0,0.054300244999467395,55.6,1031.375,23.7734375
53.0,6.0,0.051977479000925086,50.0,1031.6328125,23.7734375
54.0,6.0,0.051734423999732826,50.0,1031.6328125,23.7734375
55.0,6.0,0.053571786998872994,54.5,1031.6328125,23.7734375
56.0,6.0,0.05116891299985582,50.0,1031.890625,23.7734375
57.0,6.0,0.051543074998335214,50.0,1031.890625,23.7734375
58.0,6.0,0.05244782000045234,45.5,1031.890625,23.7734375
59.0,6.0,0.05114876300103788,50.0,1032.1484375,23.7734375
60.0,6.0,0.06815492500027176,78.6,1032.1484375,23.7734375
61.0,7.0,0.0521114729999681,58.3,1032.1484375,23.7734375
62.0,7.0,0.05523113600065699,54.5,1032.40625,23.7734375
63.0,7.0,0.05285215100047935,50.0,1032.40625,23.7734375
64.0,7.0,0.0516173380001419,45.5,1032.40625,23.7734375
65.0,7.0,0.05236557399985031,54.5,1032.6640625,23.7734375
66.0,7.0,0.05210803800036956,50.0,1032.6640625,23.7734375
67.0,7.0,0.05205740599922137,50.0,1032.921875,23.7734375
68.0,7.0,0.052475018999757594,50.0,1032.921875,23.7734375
69.0,7.0,0.05220365800050786,50.0,1033.1796875,23.7734375
70.0,7.0,0.05544806899888499,54.5,1033.1796875,23.7734375
71.0,8.0,0.051754901998720015,50.0,1033.1796875,23.7734375
72.0,8.0,0.052816791998338886,50.0,1033.1796875,23.7734375
73.0,8.0,0.05638379099946178,58.3,1033.4375,23.7734375
74.0,8.0,0.051948850999906426,50.0,1033.4375,23.7734375
75.0,8.0,0.05187894300070184,50.0,1033.6953125,23.7734375
76.0,8.0,0.05305644699910772,54.5,1033.6953125,23.7734375
77.0,8.0,0.051049513000180013,54.5,1033.6953125,23.7734375
78.0,8.0,0.0512333030001173,45.5,1033.6953125,23.7734375
79.0,8.0,0.06652018900058465,84.6,1033.953125,23.7734375
80.0,8.0,0.05224128699956054,45.5,1033.953125,23.7734375
81.0,9.0,0.052690377000544686,50.0,1033.953125,23.7734375
82.0,9.0,0.0538502849994984,54.5,1034.2109375,23.7734375
83.0,9.0,0.0548578500001895,45.5,1034.2109375,23.7734375
84.0,9.0,0.05286713500026963,50.0,1034.2109375,23.7734375
85.0,9.0,0.05215214700001525,54.5,1034.46875,23.7734375
86.0,9.0,0.05105046700009552,50.0,1034.46875,23.7734375
87.0,9.0,0.051276160000270465,54.5,1034.46875,23.7734375
88.0,9.0,0.05009174000042549,50.0,1034.7265625,23.7734375
89.0,9.0,0.05109201100094651,45.5,1034.7265625,23.7734375
90.0,9.0,0.05207241499920201,54.5,1034.7265625,23.7734375
91.0,10.0,0.05253249799898185,50.0,1034.984375,23.7734375
92.0,10.0,0.05199928100046236,45.5,1034.984375,23.7734375
93.0,10.0,0.05031395999867527,54.5,1034.984375,23.7734375
94.0,10.0,0.051486364000083995,50.0,1035.2421875,23.7734375
95.0,10.0,0.050877036001111264,50.0,1035.2421875,23.7734375
96.0,10.0,0.052800959998421604,54.5,1035.2421875,23.7734375
97.0,10.0,0.05356252999990829,60.0,1035.5,23.7734375
98.0,10.0,0.0634143019997282,78.6,1035.5,23.7734375
99.0,10.0,0.05414149700118287,54.5,1035.5,23.7734375
100.0,10.0,0.05313645700152847,50.0,1035.7578125,23.7734375
