Episodio,Epoch,Recompensa,Epsilon
1,1,36,1.0
2,1,28,1.0
3,2,59,0.995
4,2,3,0.995
5,3,48,0.990025
6,3,35,0.990025
7,4,-11,0.985074875
8,4,37,0.985074875
9,5,27,0.9801495006250001
10,5,16,0.9801495006250001
11,6,23,0.9752487531218751
12,6,39,0.9752487531218751
13,7,47,0.9703725093562657
14,7,19,0.9703725093562657
15,8,28,0.9655206468094844
16,8,38,0.9655206468094844
17,9,79,0.960693043575437
18,9,15,0.960693043575437
19,10,26,0.9558895783575597
20,10,-4,0.9558895783575597
21,11,-12,0.9511101304657719
22,11,34,0.9511101304657719
23,12,10,0.946354579813443
24,12,35,0.946354579813443
25,13,40,0.9416228069143757
26,13,9,0.9416228069143757
27,14,19,0.9369146928798039
28,14,38,0.9369146928798039
29,15,7,0.9322301194154049
30,15,-2,0.9322301194154049
31,16,48,0.9275689688183278
32,16,27,0.9275689688183278
33,17,50,0.9229311239742362
34,17,40,0.9229311239742362
35,18,16,0.918316468354365
36,18,50,0.918316468354365
37,19,29,0.9137248860125932
38,19,19,0.9137248860125932
39,20,9,0.9091562615825302
40,20,20,0.9091562615825302
