Episodio,Epoch,Recompensa,Epsilon
1,1,2,1.0
2,1,2,1.0
3,1,2,1.0
4,1,-12,1.0
5,1,-4,1.0
6,1,-4,1.0
7,1,-18,1.0
8,1,-14,1.0
9,1,4,1.0
10,1,-8,1.0
11,1,-6,1.0
12,1,-6,1.0
13,1,-18,1.0
14,1,-2,1.0
15,1,-12,1.0
16,1,6,1.0
17,1,-14,1.0
18,1,-2,1.0
19,1,-12,1.0
20,1,-14,1.0
21,2,-4,0.995
22,2,2,0.995
23,2,-6,0.995
24,2,-8,0.995
25,2,-2,0.995
26,2,16,0.995
27,2,-2,0.995
28,2,2,0.995
29,2,-6,0.995
30,2,-14,0.995
31,2,-4,0.995
32,2,-4,0.995
33,2,-14,0.995
34,2,-8,0.995
35,2,-4,0.995
36,2,2,0.995
37,2,-6,0.995
38,2,-6,0.995
39,2,2,0.995
40,2,-10,0.995
41,3,-2,0.990025
42,3,-4,0.990025
43,3,-16,0.990025
44,3,0,0.990025
45,3,-10,0.990025
46,3,-20,0.990025
47,3,-12,0.990025
48,3,-20,0.990025
49,3,-6,0.990025
50,3,-6,0.990025
51,3,4,0.990025
52,3,4,0.990025
53,3,-16,0.990025
54,3,-4,0.990025
55,3,6,0.990025
56,3,12,0.990025
57,3,6,0.990025
58,3,-10,0.990025
59,3,-8,0.990025
60,3,-14,0.990025
61,4,-14,0.985074875
62,4,-2,0.985074875
63,4,-16,0.985074875
64,4,-6,0.985074875
65,4,-4,0.985074875
66,4,0,0.985074875
67,4,-10,0.985074875
68,4,-8,0.985074875
69,4,-2,0.985074875
70,4,-8,0.985074875
71,4,-10,0.985074875
72,4,4,0.985074875
73,4,10,0.985074875
74,4,-4,0.985074875
75,4,-6,0.985074875
76,4,-12,0.985074875
77,4,-18,0.985074875
78,4,2,0.985074875
79,4,0,0.985074875
80,4,-2,0.985074875
81,5,-18,0.9801495006250001
82,5,-8,0.9801495006250001
83,5,-10,0.9801495006250001
84,5,-26,0.9801495006250001
85,5,4,0.9801495006250001
86,5,-10,0.9801495006250001
87,5,-12,0.9801495006250001
88,5,-10,0.9801495006250001
89,5,-4,0.9801495006250001
90,5,-6,0.9801495006250001
91,5,2,0.9801495006250001
92,5,-20,0.9801495006250001
93,5,-14,0.9801495006250001
94,5,-10,0.9801495006250001
95,5,-12,0.9801495006250001
96,5,2,0.9801495006250001
97,5,-20,0.9801495006250001
98,5,-2,0.9801495006250001
99,5,-8,0.9801495006250001
100,5,-14,0.9801495006250001
101,6,-8,0.9752487531218751
102,6,6,0.9752487531218751
103,6,-4,0.9752487531218751
104,6,-14,0.9752487531218751
105,6,4,0.9752487531218751
106,6,-14,0.9752487531218751
107,6,6,0.9752487531218751
108,6,-18,0.9752487531218751
109,6,-8,0.9752487531218751
110,6,-14,0.9752487531218751
111,6,-16,0.9752487531218751
112,6,-4,0.9752487531218751
113,6,-4,0.9752487531218751
114,6,-6,0.9752487531218751
115,6,-2,0.9752487531218751
116,6,-10,0.9752487531218751
117,6,-12,0.9752487531218751
118,6,-10,0.9752487531218751
119,6,6,0.9752487531218751
120,6,-8,0.9752487531218751
121,7,-4,0.9703725093562657
122,7,-4,0.9703725093562657
123,7,-10,0.9703725093562657
124,7,-16,0.9703725093562657
125,7,6,0.9703725093562657
126,7,-6,0.9703725093562657
127,7,-12,0.9703725093562657
128,7,-16,0.9703725093562657
129,7,-16,0.9703725093562657
130,7,-4,0.9703725093562657
131,7,-6,0.9703725093562657
132,7,-8,0.9703725093562657
133,7,-6,0.9703725093562657
134,7,-14,0.9703725093562657
135,7,-14,0.9703725093562657
136,7,-4,0.9703725093562657
137,7,-22,0.9703725093562657
138,7,-12,0.9703725093562657
139,7,-18,0.9703725093562657
140,7,6,0.9703725093562657
141,8,-10,0.9655206468094844
142,8,2,0.9655206468094844
143,8,6,0.9655206468094844
144,8,-6,0.9655206468094844
145,8,-8,0.9655206468094844
146,8,-22,0.9655206468094844
147,8,0,0.9655206468094844
148,8,-2,0.9655206468094844
149,8,2,0.9655206468094844
150,8,-10,0.9655206468094844
151,8,2,0.9655206468094844
152,8,-4,0.9655206468094844
153,8,6,0.9655206468094844
154,8,10,0.9655206468094844
155,8,4,0.9655206468094844
156,8,2,0.9655206468094844
157,8,-6,0.9655206468094844
158,8,-6,0.9655206468094844
159,8,-8,0.9655206468094844
160,8,-18,0.9655206468094844
161,9,-4,0.960693043575437
162,9,-4,0.960693043575437
163,9,-14,0.960693043575437
164,9,-8,0.960693043575437
165,9,2,0.960693043575437
166,9,-20,0.960693043575437
167,9,-22,0.960693043575437
168,9,-6,0.960693043575437
169,9,6,0.960693043575437
170,9,2,0.960693043575437
171,9,-8,0.960693043575437
172,9,4,0.960693043575437
173,9,-2,0.960693043575437
174,9,-18,0.960693043575437
175,9,-4,0.960693043575437
176,9,-4,0.960693043575437
177,9,-6,0.960693043575437
178,9,-6,0.960693043575437
179,9,-2,0.960693043575437
180,9,-12,0.960693043575437
181,10,-14,0.9558895783575597
182,10,0,0.9558895783575597
183,10,-2,0.9558895783575597
184,10,-4,0.9558895783575597
185,10,0,0.9558895783575597
186,10,4,0.9558895783575597
187,10,-12,0.9558895783575597
188,10,-8,0.9558895783575597
189,10,-14,0.9558895783575597
190,10,-6,0.9558895783575597
191,10,-12,0.9558895783575597
192,10,14,0.9558895783575597
193,10,-12,0.9558895783575597
194,10,-18,0.9558895783575597
195,10,-4,0.9558895783575597
196,10,-6,0.9558895783575597
197,10,4,0.9558895783575597
198,10,4,0.9558895783575597
199,10,-16,0.9558895783575597
200,10,-14,0.9558895783575597
