Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,1,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,1,X,6,"['X', ' ', ' ', ' ', ' ', ' ', 'X', ' ', 'O']",-100,-100
1,1,X,7,"['X', ' ', ' ', ' ', 'O', ' ', 'X', 'X', 'O']",0,-100
1,1,X,2,"['X', 'O', 'X', ' ', 'O', ' ', 'X', 'X', 'O']",0,-100
1,1,X,5,"['X', 'O', 'X', 'O', 'O', 'X', 'X', 'X', 'O']",0,-100
1,2,O,3,"[' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ']",-100,-100
1,2,O,6,"[' ', ' ', ' ', 'O', ' ', ' ', 'O', 'X', ' ']",0,-100
1,2,O,1,"['X', 'O', ' ', 'O', ' ', ' ', 'O', 'X', ' ']",0,-100
1,2,O,5,"['X', 'O', ' ', 'O', ' ', 'O', 'O', 'X', 'X']",-100,-200
1,2,O,4,"['X', 'O', 'X', 'O', 'O', 'O', 'O', 'X', 'X']",0,-200
1,3,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",-100,-100
1,3,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', 'O', ' ', 'X']",0,-100
1,3,X,0,"['X', ' ', ' ', 'O', 'X', ' ', 'O', ' ', 'X']",0,-100
1,4,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,4,O,7,"['O', ' ', ' ', ' ', ' ', ' ', 'X', 'O', ' ']",-100,-100
1,4,O,8,"['O', ' ', ' ', ' ', ' ', 'X', 'X', 'O', 'O']",0,-100
1,4,O,4,"['O', ' ', ' ', 'X', 'O', 'X', 'X', 'O', 'O']",0,-100
1,5,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",0,0
1,5,X,0,"['X', ' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ']",0,0
1,5,X,8,"['X', ' ', ' ', ' ', 'X', 'O', 'O', ' ', 'X']",0,0
1,6,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ']",0,0
1,6,O,3,"['X', ' ', ' ', 'O', ' ', ' ', ' ', 'O', ' ']",-100,-100
1,6,O,1,"['X', 'O', ' ', 'O', 'X', ' ', ' ', 'O', ' ']",0,-100
1,6,O,8,"['X', 'O', ' ', 'O', 'X', 'X', ' ', 'O', 'O']",0,-100
1,6,O,2,"['X', 'O', 'O', 'O', 'X', 'X', 'X', 'O', 'O']",0,-100
1,7,X,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ']",0,0
1,7,X,1,"[' ', 'X', 'O', ' ', ' ', ' ', 'X', ' ', ' ']",0,0
1,7,X,5,"['O', 'X', 'O', ' ', ' ', 'X', 'X', ' ', ' ']",0,0
1,7,X,8,"['O', 'X', 'O', ' ', ' ', 'X', 'X', 'O', 'X']",-100,-100
1,7,X,3,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']",0,-100
1,8,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ']",-100,-100
1,8,O,2,"[' ', ' ', 'O', 'X', ' ', ' ', ' ', 'O', ' ']",0,-100
1,8,O,6,"[' ', 'X', 'O', 'X', ' ', ' ', 'O', 'O', ' ']",0,-100
1,8,O,5,"[' ', 'X', 'O', 'X', ' ', 'O', 'O', 'O', 'X']",0,-100
1,8,O,0,"['O', 'X', 'O', 'X', 'X', 'O', 'O', 'O', 'X']",0,-100
1,9,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,9,X,0,"['X', 'X', ' ', 'O', ' ', ' ', ' ', ' ', ' ']",0,0
1,9,X,4,"['X', 'X', ' ', 'O', 'X', ' ', 'O', ' ', ' ']",-100,-100
1,9,X,8,"['X', 'X', ' ', 'O', 'X', 'O', 'O', ' ', 'X']",0,-100
1,10,O,3,"[' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ']",0,0
1,10,O,4,"[' ', ' ', ' ', 'O', 'O', ' ', ' ', ' ', 'X']",-100,-100
1,10,O,5,"[' ', 'X', ' ', 'O', 'O', 'O', ' ', ' ', 'X']",-100,-200
2,1,X,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ']",0,0
2,1,X,5,"[' ', ' ', 'O', ' ', ' ', 'X', ' ', 'X', ' ']",0,0
2,1,X,8,"[' ', ' ', 'O', ' ', 'O', 'X', ' ', 'X', 'X']",0,0
2,1,X,1,"[' ', 'X', 'O', 'O', 'O', 'X', ' ', 'X', 'X']",0,0
