Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,1,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,1,X,0,"['X', ' ', 'X', 'O', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,1,X,1,"['X', 'X', 'X', 'O', 'O', ' ', ' ', ' ', ' ']",1.0,1.0
1,2,O,2,"[' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,2,O,8,"[' ', ' ', 'O', ' ', ' ', ' ', 'X', ' ', 'O']",0.0,0.0
1,2,O,1,"[' ', 'O', 'O', 'X', ' ', ' ', 'X', ' ', 'O']",0.0,0.0
1,2,O,0,"['O', 'O', 'O', 'X', ' ', 'X', 'X', ' ', 'O']",1.0,1.0
1,3,X,1,"[' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,3,X,2,"[' ', 'X', 'X', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,3,X,7,"['O', 'X', 'X', ' ', ' ', 'O', ' ', 'X', ' ']",0.0,0.0
1,3,X,4,"['O', 'X', 'X', ' ', 'X', 'O', 'O', 'X', ' ']",1.0,1.0
1,4,O,4,"[' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ']",0.0,0.0
1,4,O,0,"['O', 'X', ' ', ' ', 'O', ' ', ' ', ' ', ' ']",0.0,0.0
1,4,O,6,"['O', 'X', ' ', 'X', 'O', ' ', 'O', ' ', ' ']",0.0,0.0
1,4,O,2,"['O', 'X', 'O', 'X', 'O', 'X', 'O', ' ', ' ']",1.0,1.0
1,5,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",0.0,0.0
1,5,X,6,"[' ', ' ', ' ', ' ', ' ', 'O', 'X', ' ', 'X']",0.0,0.0
1,5,X,7,"[' ', ' ', 'O', ' ', ' ', 'O', 'X', 'X', 'X']",1.0,1.0
1,6,O,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O']",0.0,0.0
1,6,O,4,"[' ', ' ', ' ', ' ', 'O', ' ', 'X', ' ', 'O']",0.0,0.0
1,6,O,7,"[' ', ' ', 'X', ' ', 'O', ' ', 'X', 'O', 'O']",0.0,0.0
1,6,O,3,"[' ', 'X', 'X', 'O', 'O', ' ', 'X', 'O', 'O']",0.0,0.0
1,6,O,0,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'O']",1.0,1.0
1,7,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,7,X,3,"[' ', 'O', 'X', 'X', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,7,X,7,"[' ', 'O', 'X', 'X', ' ', ' ', 'O', 'X', ' ']",0.0,0.0
1,7,X,4,"['O', 'O', 'X', 'X', 'X', ' ', 'O', 'X', ' ']",0.0,0.0
1,7,X,5,"['O', 'O', 'X', 'X', 'X', 'X', 'O', 'X', 'O']",1.0,1.0
1,8,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,8,O,4,"['X', ' ', ' ', ' ', 'O', 'O', ' ', ' ', ' ']",0.0,0.0
1,8,O,8,"['X', ' ', ' ', 'X', 'O', 'O', ' ', ' ', 'O']",0.0,0.0
1,9,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,9,X,4,"['O', ' ', ' ', ' ', 'X', 'X', ' ', ' ', ' ']",0.0,0.0
1,9,X,8,"['O', 'O', ' ', ' ', 'X', 'X', ' ', ' ', 'X']",0.0,0.0
1,9,X,2,"['O', 'O', 'X', ' ', 'X', 'X', ' ', 'O', 'X']",1.0,1.0
1,10,O,1,"[' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,10,O,8,"[' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ', 'O']",0.0,0.0
1,10,O,2,"[' ', 'O', 'O', ' ', ' ', 'X', 'X', ' ', 'O']",0.0,0.0
1,10,O,7,"[' ', 'O', 'O', ' ', 'X', 'X', 'X', 'O', 'O']",0.0,0.0
1,11,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,11,X,7,"[' ', ' ', 'O', ' ', ' ', 'X', ' ', 'X', ' ']",0.0,0.0
1,11,X,6,"[' ', 'O', 'O', ' ', ' ', 'X', 'X', 'X', ' ']",0.0,0.0
1,11,X,4,"[' ', 'O', 'O', 'O', 'X', 'X', 'X', 'X', ' ']",0.0,0.0
1,12,O,3,"[' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,12,O,0,"['O', ' ', ' ', 'O', ' ', ' ', ' ', ' ', 'X']",0.0,0.0
1,12,O,2,"['O', ' ', 'O', 'O', ' ', ' ', 'X', ' ', 'X']",0.0,0.0
1,13,X,3,"[' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,13,X,6,"['O', ' ', ' ', 'X', ' ', ' ', 'X', ' ', ' ']",0.0,0.0
1,13,X,8,"['O', ' ', ' ', 'X', 'O', ' ', 'X', ' ', 'X']",0.0,0.0
1,13,X,1,"['O', 'X', ' ', 'X', 'O', 'O', 'X', ' ', 'X']",0.0,0.0
1,13,X,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']",0.5,0.5
1,14,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,14,O,4,"[' ', ' ', ' ', ' ', 'O', 'X', 'O', ' ', ' ']",0.0,0.0
1,14,O,7,"['X', ' ', ' ', ' ', 'O', 'X', 'O', 'O', ' ']",0.0,0.0
1,14,O,3,"['X', ' ', 'X', 'O', 'O', 'X', 'O', 'O', ' ']",0.0,0.0
1,15,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,15,X,5,"[' ', ' ', 'X', ' ', 'O', 'X', ' ', ' ', ' ']",0.0,0.0
1,15,X,6,"[' ', ' ', 'X', ' ', 'O', 'X', 'X', 'O', ' ']",0.0,0.0
1,15,X,1,"[' ', 'X', 'X', ' ', 'O', 'X', 'X', 'O', 'O']",0.0,0.0
1,15,X,0,"['X', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'O']",1.0,1.0
1,16,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,16,O,6,"['O', ' ', 'X', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,16,O,4,"['O', ' ', 'X', ' ', 'O', ' ', 'O', ' ', 'X']",0.0,0.0
1,17,X,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ']",0.0,0.0
1,17,X,6,"[' ', ' ', ' ', ' ', ' ', 'O', 'X', 'X', ' ']",0.0,0.0
1,17,X,1,"[' ', 'X', ' ', 'O', ' ', 'O', 'X', 'X', ' ']",0.0,0.0
1,17,X,4,"[' ', 'X', ' ', 'O', 'X', 'O', 'X', 'X', 'O']",1.0,1.0
1,18,O,1,"[' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,18,O,3,"[' ', 'O', ' ', 'O', ' ', ' ', ' ', ' ', 'X']",0.0,0.0
1,18,O,0,"['O', 'O', ' ', 'O', ' ', ' ', ' ', 'X', 'X']",0.0,0.0
1,19,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,19,X,6,"['X', ' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ']",0.0,0.0
1,19,X,7,"['X', ' ', 'O', ' ', ' ', 'O', 'X', 'X', ' ']",0.0,0.0
1,19,X,8,"['X', ' ', 'O', 'O', ' ', 'O', 'X', 'X', 'X']",1.0,1.0
1,20,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,20,O,1,"[' ', 'O', ' ', ' ', ' ', 'O', ' ', ' ', 'X']",0.0,0.0
1,20,O,0,"['O', 'O', ' ', ' ', 'X', 'O', ' ', ' ', 'X']",0.0,0.0
1,20,O,7,"['O', 'O', ' ', 'X', 'X', 'O', ' ', 'O', 'X']",0.0,0.0
1,20,O,6,"['O', 'O', 'X', 'X', 'X', 'O', 'O', 'O', 'X']",0.5,0.5
1,21,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",0.0,0.0
1,21,X,4,"[' ', ' ', ' ', ' ', 'X', 'O', ' ', ' ', 'X']",0.0,0.0
1,21,X,3,"[' ', 'O', ' ', 'X', 'X', 'O', ' ', ' ', 'X']",0.0,0.0
1,21,X,2,"[' ', 'O', 'X', 'X', 'X', 'O', ' ', 'O', 'X']",0.0,0.0
1,21,X,0,"['X', 'O', 'X', 'X', 'X', 'O', 'O', 'O', 'X']",1.0,1.0
1,22,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,22,O,8,"['O', ' ', 'X', ' ', ' ', ' ', ' ', ' ', 'O']",0.0,0.0
1,22,O,4,"['O', ' ', 'X', ' ', 'O', ' ', ' ', 'X', 'O']",1.0,1.0
1,23,X,3,"[' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,23,X,4,"[' ', ' ', 'O', 'X', 'X', ' ', ' ', ' ', ' ']",0.0,0.0
1,23,X,6,"[' ', ' ', 'O', 'X', 'X', ' ', 'X', 'O', ' ']",0.0,0.0
1,23,X,0,"['X', ' ', 'O', 'X', 'X', ' ', 'X', 'O', 'O']",1.0,1.0
1,24,O,4,"[' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ']",0.0,0.0
1,24,O,0,"['O', ' ', 'X', ' ', 'O', ' ', ' ', ' ', ' ']",0.0,0.0
1,24,O,8,"['O', 'X', 'X', ' ', 'O', ' ', ' ', ' ', 'O']",1.0,1.0
1,25,X,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ']",0.0,0.0
1,25,X,0,"['X', ' ', ' ', ' ', 'O', ' ', ' ', 'X', ' ']",0.0,0.0
1,25,X,2,"['X', ' ', 'X', ' ', 'O', 'O', ' ', 'X', ' ']",0.0,0.0
1,25,X,8,"['X', 'O', 'X', ' ', 'O', 'O', ' ', 'X', 'X']",0.0,0.0
1,25,X,3,"['X', 'O', 'X', 'X', 'O', 'O', 'O', 'X', 'X']",0.5,0.5
1,26,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ']",0.0,0.0
1,26,O,0,"['O', ' ', 'X', ' ', ' ', ' ', ' ', 'O', ' ']",0.0,0.0
1,26,O,3,"['O', 'X', 'X', 'O', ' ', ' ', ' ', 'O', ' ']",0.0,0.0
1,26,O,5,"['O', 'X', 'X', 'O', ' ', 'O', ' ', 'O', 'X']",0.0,0.0
1,26,O,4,"['O', 'X', 'X', 'O', 'O', 'O', 'X', 'O', 'X']",1.0,1.0
1,27,X,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ']",0.0,0.0
1,27,X,0,"['X', 'O', ' ', ' ', ' ', ' ', 'X', ' ', ' ']",0.0,0.0
