Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,1,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",0.0,0.0
1,1,X,3,"[' ', ' ', ' ', 'X', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,1,X,0,"['X', ' ', ' ', 'X', 'O', 'X', 'O', ' ', ' ']",-1.0,-1.0
1,1,X,2,"['X', 'O', 'X', 'X', 'O', 'X', 'O', ' ', ' ']",0.0,-1.0
1,2,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,2,O,1,"[' ', 'O', ' ', ' ', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,2,O,0,"['O', 'O', 'X', ' ', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,2,O,8,"['O', 'O', 'X', ' ', 'X', 'X', 'O', ' ', 'O']",0.0,0.0
1,2,O,3,"['O', 'O', 'X', 'O', 'X', 'X', 'O', 'X', 'O']",0.0,0.0
1,3,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,3,X,5,"['X', ' ', ' ', ' ', 'O', 'X', ' ', ' ', ' ']",0.0,0.0
1,3,X,7,"['X', ' ', 'O', ' ', 'O', 'X', ' ', 'X', ' ']",0.0,0.0
1,3,X,1,"['X', 'X', 'O', 'O', 'O', 'X', ' ', 'X', ' ']",0.0,0.0
1,3,X,6,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'O']",1.0,1.0
1,4,O,2,"[' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,4,O,6,"['X', ' ', 'O', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,4,O,3,"['X', ' ', 'O', 'O', ' ', 'X', 'O', ' ', ' ']",0.0,0.0
1,4,O,4,"['X', ' ', 'O', 'O', 'O', 'X', 'O', 'X', ' ']",0.0,0.0
1,5,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,5,X,3,"['X', ' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ']",0.0,0.0
1,5,X,5,"['X', ' ', 'O', 'X', 'O', 'X', ' ', ' ', ' ']",0.0,0.0
1,6,O,0,"['O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",-1.0,-1.0
1,6,O,3,"['O', ' ', ' ', 'O', ' ', ' ', ' ', ' ', 'X']",1.0,0.0
1,6,O,7,"['O', 'X', ' ', 'O', ' ', ' ', ' ', 'O', 'X']",0.0,0.0
1,6,O,5,"['O', 'X', 'X', 'O', ' ', 'O', ' ', 'O', 'X']",0.0,0.0
1,6,O,6,"['O', 'X', 'X', 'O', 'X', 'O', 'O', 'O', 'X']",0.0,0.0
1,7,X,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ']",0.0,0.0
1,7,X,4,"['O', ' ', ' ', ' ', 'X', ' ', ' ', 'X', ' ']",0.0,0.0
1,7,X,5,"['O', ' ', ' ', 'O', 'X', 'X', ' ', 'X', ' ']",0.0,0.0
1,7,X,2,"['O', 'O', 'X', 'O', 'X', 'X', ' ', 'X', ' ']",0.0,0.0
1,7,X,6,"['O', 'O', 'X', 'O', 'X', 'X', 'X', 'X', 'O']",0.0,0.0
1,8,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0.0,0.0
1,8,O,4,"[' ', ' ', 'X', ' ', 'O', ' ', 'O', ' ', ' ']",0.0,0.0
1,8,O,0,"['O', ' ', 'X', ' ', 'O', 'X', 'O', ' ', ' ']",0.0,0.0
1,9,X,5,"[' ', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ']",1.0,1.0
1,9,X,3,"[' ', ' ', ' ', 'X', 'O', 'X', ' ', ' ', ' ']",0.0,1.0
1,9,X,7,"[' ', ' ', 'O', 'X', 'O', 'X', ' ', 'X', ' ']",0.0,1.0
1,9,X,0,"['X', 'O', 'O', 'X', 'O', 'X', ' ', 'X', ' ']",0.0,1.0
1,10,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0.0,0.0
1,10,O,8,"[' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ', 'O']",0.0,0.0
1,10,O,6,"[' ', ' ', 'X', 'X', ' ', 'O', 'O', ' ', 'O']",0.0,0.0
1,10,O,0,"['O', ' ', 'X', 'X', 'X', 'O', 'O', ' ', 'O']",1.0,1.0
