Epoch,Episodio,Agente,Acción,Board,Reward,RewardAcum
1,1,X,0,"['X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,1,X,1,"['X', 'X', ' ', ' ', 'O', ' ', ' ', ' ', ' ']",0,0
1,1,X,7,"['X', 'X', 'O', ' ', 'O', ' ', ' ', 'X', ' ']",0,0
1,1,X,8,"['X', 'X', 'O', 'O', 'O', ' ', ' ', 'X', 'X']",0,0
1,2,O,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ']",0,0
1,2,O,4,"[' ', ' ', ' ', ' ', 'O', 'X', 'O', ' ', ' ']",0,0
1,2,O,7,"[' ', 'X', ' ', ' ', 'O', 'X', 'O', 'O', ' ']",0,0
1,2,O,0,"['O', 'X', ' ', 'X', 'O', 'X', 'O', 'O', ' ']",200,200
1,2,O,8,"['O', 'X', 'X', 'X', 'O', 'X', 'O', 'O', 'O']",-200,0
1,3,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",-100,-100
1,3,X,5,"[' ', ' ', ' ', ' ', 'X', 'X', ' ', 'O', ' ']",0,-100
1,3,X,0,"['X', ' ', ' ', ' ', 'X', 'X', ' ', 'O', 'O']",200,100
1,3,X,6,"['X', ' ', ' ', 'O', 'X', 'X', 'X', 'O', 'O']",200,300
1,3,X,2,"['X', 'O', 'X', 'O', 'X', 'X', 'X', 'O', 'O']",200,500
1,4,O,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O']",0,0
1,4,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', 'X', ' ', 'O']",-200,-200
1,4,O,1,"[' ', 'O', ' ', 'X', ' ', 'O', 'X', ' ', 'O']",200,0
1,4,O,4,"[' ', 'O', ' ', 'X', 'O', 'O', 'X', 'X', 'O']",0,0
1,5,X,8,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X']",-200,-200
1,5,X,6,"[' ', ' ', ' ', ' ', ' ', ' ', 'X', 'O', 'X']",-200,-400
1,5,X,5,"[' ', 'O', ' ', ' ', ' ', 'X', 'X', 'O', 'X']",0,-400
1,6,O,3,"[' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ']",-200,-200
1,6,O,2,"[' ', ' ', 'O', 'O', ' ', ' ', ' ', ' ', 'X']",0,-200
1,6,O,1,"['X', 'O', 'O', 'O', ' ', ' ', ' ', ' ', 'X']",0,-200
1,6,O,4,"['X', 'O', 'O', 'O', 'O', 'X', ' ', ' ', 'X']",0,-200
1,6,O,7,"['X', 'O', 'O', 'O', 'O', 'X', 'X', 'O', 'X']",0,-200
1,7,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",0,0
1,7,X,1,"[' ', 'X', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",0,0
1,7,X,2,"['O', 'X', 'X', ' ', 'X', ' ', ' ', 'O', ' ']",0,0
1,7,X,5,"['O', 'X', 'X', ' ', 'X', 'X', ' ', 'O', 'O']",-200,-200
1,8,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ']",-100,-100
1,8,O,5,"[' ', ' ', ' ', ' ', 'X', 'O', ' ', 'O', ' ']",-200,-300
1,8,O,0,"['O', ' ', 'X', ' ', 'X', 'O', ' ', 'O', ' ']",0,-300
1,8,O,8,"['O', 'X', 'X', ' ', 'X', 'O', ' ', 'O', 'O']",0,-300
1,9,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",0,0
1,9,X,7,"['O', ' ', 'X', ' ', ' ', ' ', ' ', 'X', ' ']",-200,-200
1,9,X,4,"['O', ' ', 'X', ' ', 'X', ' ', 'O', 'X', ' ']",-100,-300
1,10,O,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ']",0,0
1,10,O,1,"[' ', 'O', ' ', ' ', 'X', ' ', ' ', 'O', ' ']",-200,-200
1,10,O,3,"[' ', 'O', 'X', 'O', 'X', ' ', ' ', 'O', ' ']",0,-200
1,10,O,8,"['X', 'O', 'X', 'O', 'X', ' ', ' ', 'O', 'O']",0,-200
1,10,O,6,"['X', 'O', 'X', 'O', 'X', 'X', 'O', 'O', 'O']",0,-200
1,11,X,4,"[' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ', ' ']",-100,-100
1,11,X,2,"[' ', ' ', 'X', ' ', 'X', ' ', ' ', 'O', ' ']",-100,-200
1,11,X,1,"['O', 'X', 'X', ' ', 'X', ' ', ' ', 'O', ' ']",0,-200
1,11,X,3,"['O', 'X', 'X', 'X', 'X', ' ', 'O', 'O', ' ']",0,-200
1,12,O,2,"[' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ', ' ']",-100,-100
1,12,O,0,"['O', ' ', 'O', ' ', 'X', ' ', ' ', ' ', ' ']",0,-100
1,12,O,3,"['O', ' ', 'O', 'O', 'X', ' ', 'X', ' ', ' ']",0,-100
1,12,O,1,"['O', 'O', 'O', 'O', 'X', 'X', 'X', ' ', ' ']",0,-100
1,13,X,2,"[' ', ' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ']",-100,-100
1,13,X,4,"[' ', ' ', 'X', ' ', 'X', ' ', 'O', ' ', ' ']",0,-100
1,13,X,8,"[' ', 'O', 'X', ' ', 'X', ' ', 'O', ' ', 'X']",0,-100
1,13,X,0,"['X', 'O', 'X', ' ', 'X', 'O', 'O', ' ', 'X']",-200,-300
1,14,O,5,"[' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', ' ']",0,0
1,14,O,1,"[' ', 'O', ' ', ' ', ' ', 'O', ' ', 'X', ' ']",0,0
1,14,O,4,"[' ', 'O', ' ', ' ', 'O', 'O', 'X', 'X', ' ']",0,0
1,14,O,0,"['O', 'O', 'X', ' ', 'O', 'O', 'X', 'X', ' ']",0,0
1,14,O,8,"['O', 'O', 'X', 'X', 'O', 'O', 'X', 'X', 'O']",0,0
1,15,X,7,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ']",-100,-100
