Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,3.8786691499999506,47.3,634.78515625,0.0
1.0,2.0,2.494942084000286,7.3,638.65625,0.0
1.0,3.0,1.9253404179999052,1.6,638.6953125,0.0
1.0,4.0,2.342995267999868,2.6,638.76953125,0.0
1.0,5.0,2.7001222450007845,36.6,638.859375,0.0
1.0,6.0,1.4319138559994826,2.4,638.9140625,0.0
1.0,7.0,1.5126566939998156,1.7,638.97265625,0.0
1.0,8.0,2.2311100110000552,2.0,639.01953125,0.0
1.0,9.0,1.8677374679991772,2.1,639.01953125,0.0
1.0,10.0,3.55027915699975,16.7,639.03125,0.0
1.0,11.0,4.373010930999953,11.3,639.046875,0.0
1.0,12.0,3.5058750240004883,1.9,639.05859375,0.0
1.0,13.0,2.711658467000234,2.2,639.09375,0.0
1.0,14.0,3.1210672079996584,33.7,639.17578125,0.0
1.0,15.0,2.641361119999601,2.5,639.23828125,0.0
1.0,16.0,2.177088898000875,2.3,639.25,0.0
1.0,17.0,1.7205718459999844,2.6,639.25,0.0
1.0,18.0,2.040631048999785,2.2,639.28125,0.0
1.0,19.0,2.7871458499994333,35.9,639.3203125,0.0
1.0,20.0,2.311055373000272,2.8,639.35546875,0.0
1.0,21.0,1.5017261319999307,1.7,639.375,0.0
1.0,22.0,3.390932509999402,2.1,639.42578125,0.0
1.0,23.0,2.443041261999497,13.0,639.4921875,0.0
1.0,24.0,2.1336777520000396,36.6,639.5546875,0.0
1.0,25.0,1.7811369789997116,2.0,639.5625,0.0
1.0,26.0,2.014435532999414,1.5,639.58203125,0.0
1.0,27.0,2.0160105600007228,4.0,639.6015625,0.0
1.0,28.0,2.9946792520004237,2.0,639.6484375,0.0
1.0,29.0,1.280687995000335,40.6,639.67578125,0.0
1.0,30.0,2.7599158310003986,18.1,639.7265625,0.0
1.0,31.0,2.560932909999792,2.0,639.76953125,0.0
1.0,32.0,2.0378747989998374,2.2,639.8125,0.0
1.0,33.0,2.953774004000479,2.0,639.875,0.0
1.0,34.0,1.9403669230005107,41.1,639.90625,0.0
1.0,35.0,1.6079076059995714,10.0,639.91015625,0.0
1.0,36.0,2.1994862900000953,2.1,639.91015625,0.0
1.0,37.0,1.7502229829997304,2.6,639.91015625,0.0
1.0,38.0,2.319954483999936,1.9,639.9140625,0.0
1.0,39.0,2.496239302000504,5.4,639.9140625,0.0
1.0,40.0,2.3651161010002397,36.7,639.91796875,0.0
1.0,41.0,1.5087468109995825,4.0,639.921875,0.0
