Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,21.69043501500005,17.5,635.80859375,0.0
1.0,2.0,6.582946722000088,17.1,639.30859375,0.0
1.0,3.0,5.299288853999997,2.6,639.33203125,0.0
1.0,4.0,6.924212205999993,15.8,639.35546875,0.0
1.0,5.0,4.271635607000007,2.9,639.3671875,0.0
1.0,6.0,3.253228788000115,2.0,639.37109375,0.0
1.0,7.0,5.2720858430000135,20.4,639.37890625,0.0
1.0,8.0,8.314494958000068,7.5,639.39453125,0.0
1.0,9.0,6.8358496809999,9.8,639.40625,0.0
1.0,10.0,5.0709385079999265,13.5,639.4375,0.0
1.0,11.0,7.080096302999891,7.4,639.49609375,0.0
1.0,12.0,29.69175138499986,11.9,639.51953125,0.0
1.0,13.0,15.592858109999952,8.2,639.51953125,0.0
1.0,14.0,3.520332008999958,3.4,639.5234375,0.0
1.0,15.0,33.254060493,10.8,639.53125,0.0
1.0,16.0,7.490042649000088,15.2,639.55078125,0.0
1.0,17.0,5.257047220000004,2.0,639.5703125,0.0
1.0,18.0,4.638786579999987,21.2,639.61328125,0.0
1.0,19.0,5.298062976999972,3.8,639.65625,0.0
1.0,20.0,4.180821462999802,3.0,639.66796875,0.0
1.0,21.0,7.086386275999985,15.7,639.66796875,0.0
1.0,22.0,5.411740911999914,3.2,639.671875,0.0
1.0,23.0,3.907589304000112,25.1,639.671875,0.0
1.0,24.0,5.493283854000083,2.5,639.671875,0.0
1.0,25.0,29.86162727099986,11.4,639.6796875,0.0
1.0,26.0,2.0536870630000976,2.9,639.6875,0.0
1.0,27.0,23.168504532000043,9.7,639.6953125,0.0
1.0,28.0,11.887540817999934,9.1,639.7265625,0.0
1.0,29.0,9.815271720999817,11.3,639.765625,0.0
1.0,30.0,4.138811889999943,2.8,639.765625,0.0
1.0,31.0,18.49902437800006,11.5,639.765625,0.0
1.0,32.0,4.766339929999958,2.1,639.765625,0.0
