Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.009403277000046728,56.0,580.0625,0.0
1.0,2.0,0.0039450019999094366,46.2,583.875,0.0
1.0,3.0,0.0033760020000954682,100.0,583.88671875,0.0
1.0,4.0,0.004184480000049007,0.0,583.89453125,0.0
1.0,5.0,0.003773111000100471,100.0,583.90625,0.0
1.0,6.0,0.003642570000010892,0.0,583.91015625,0.0
1.0,7.0,0.004255656999930579,50.0,583.91796875,0.0
1.0,8.0,0.0035769440000876784,0.0,583.92578125,0.0
1.0,9.0,0.005878536999944117,66.7,583.94140625,0.0
1.0,10.0,0.004293466000035551,0.0,583.95703125,0.0
1.0,11.0,0.004314021000027424,50.0,583.984375,0.0
1.0,12.0,0.0025518520001241995,0.0,583.9921875,0.0
1.0,13.0,0.003657924999970419,50.0,584.0078125,0.0
1.0,14.0,0.0025480929998593638,0.0,584.0234375,0.0
1.0,15.0,0.0033248689999254566,0.0,584.03515625,0.0
1.0,16.0,0.004285675000119227,50.0,584.0625,0.0
1.0,17.0,0.002512771000056091,0.0,584.08203125,0.0
1.0,18.0,0.0034698399999797402,50.0,584.10546875,0.0
1.0,19.0,0.003357420000156708,0.0,584.12109375,0.0
1.0,20.0,0.004193043999975998,50.0,584.1484375,0.0
1.0,21.0,0.0034843070000079024,0.0,584.1640625,0.0
1.0,22.0,0.004114321000088239,0.0,584.1953125,0.0
1.0,23.0,0.003655819999949017,50.0,584.22265625,0.0
1.0,24.0,0.003862874000105876,0.0,584.24609375,0.0
1.0,25.0,0.0043094229999951494,50.0,584.28515625,0.0
1.0,26.0,0.002559752000024673,0.0,584.3046875,0.0
1.0,27.0,0.0023990690001483017,0.0,584.32421875,0.0
1.0,28.0,0.003147588999809159,50.0,584.34765625,0.0
1.0,29.0,0.003277381000089008,0.0,584.37109375,0.0
1.0,30.0,0.003404209999871455,50.0,584.3984375,0.0
1.0,31.0,0.00307250900004874,0.0,584.42578125,0.0
1.0,32.0,0.002506413999981305,0.0,584.4453125,0.0
1.0,33.0,0.0032158019998860254,50.0,584.46875,0.0
1.0,34.0,0.0038799649998964014,0.0,584.47265625,0.0
1.0,35.0,0.004088073000048098,50.0,584.48046875,0.0
1.0,36.0,0.004202912999971886,0.0,584.484375,0.0
1.0,37.0,0.0024613000000499596,0.0,584.48828125,0.0
1.0,38.0,0.0024200509999445785,100.0,584.49609375,0.0
1.0,39.0,0.003260807999822646,0.0,584.5,0.0
1.0,40.0,0.0024454420001802646,50.0,584.50390625,0.0
1.0,41.0,0.0032319160000042757,0.0,584.50390625,0.0
1.0,42.0,0.0031852719998823886,0.0,584.50390625,0.0
1.0,43.0,0.0024418739999418904,0.0,584.51171875,0.0
1.0,44.0,0.004146440999875267,100.0,584.51953125,0.0
1.0,45.0,0.004038290999915262,0.0,584.51953125,0.0
1.0,46.0,0.003730976000042574,100.0,584.51953125,0.0
1.0,47.0,0.003129967999939254,0.0,584.5234375,0.0
1.0,48.0,0.0041704729999310075,50.0,584.52734375,0.0
1.0,49.0,0.0031336400002146547,0.0,584.53515625,0.0
1.0,50.0,0.004885669000032067,50.0,584.5390625,0.0
1.0,51.0,0.003278109999882872,0.0,584.5390625,0.0
1.0,52.0,0.0027025140000205283,0.0,584.5390625,0.0
1.0,53.0,0.0033338420000745828,50.0,584.54296875,0.0
1.0,54.0,0.0025645669998084486,0.0,584.5546875,0.0
1.0,55.0,0.0041435969999383815,50.0,584.55859375,0.0
1.0,56.0,0.0024383479999414703,0.0,584.55859375,0.0
1.0,57.0,0.002626425000016752,0.0,584.5625,0.0
1.0,58.0,0.0034567500001685403,50.0,584.56640625,0.0
1.0,59.0,0.002976598000032027,0.0,584.5703125,0.0
1.0,60.0,0.0032836699999734265,0.0,584.58203125,0.0
1.0,61.0,0.0033709580000049755,100.0,584.58203125,0.0
1.0,62.0,0.0041081990000293445,0.0,584.5859375,0.0
1.0,63.0,0.0025479339999492367,50.0,584.58984375,0.0
1.0,64.0,0.004293963000009171,0.0,584.59375,0.0
1.0,65.0,0.003265066000039951,0.0,584.6015625,0.0
1.0,66.0,0.004517179999993459,100.0,584.609375,0.0
1.0,67.0,0.0042373860001134744,0.0,584.6171875,0.0
1.0,68.0,0.003294396000001143,100.0,584.62109375,0.0
1.0,69.0,0.00454087699995398,0.0,584.62109375,0.0
1.0,70.0,0.002536664999979621,50.0,584.62890625,0.0
1.0,71.0,0.003454694000083691,0.0,584.6328125,0.0
1.0,72.0,0.0030718850000539533,50.0,584.63671875,0.0
1.0,73.0,0.004273882000006779,0.0,584.63671875,0.0
1.0,74.0,0.004509761000008439,50.0,584.65234375,0.0
1.0,75.0,0.004665062999947622,0.0,584.65625,0.0
1.0,76.0,0.004570511999872906,50.0,584.6640625,0.0
1.0,77.0,0.0042537460001312866,0.0,584.6640625,0.0
1.0,78.0,0.004510029000130089,50.0,584.671875,0.0
1.0,79.0,0.004447933999927045,0.0,584.671875,0.0
1.0,80.0,0.00358283500008838,50.0,584.6796875,0.0
1.0,81.0,0.0045818749999853026,0.0,584.69140625,0.0
1.0,82.0,0.0034062189999986003,50.0,584.6953125,0.0
1.0,83.0,0.0050728809999327495,100.0,584.6953125,0.0
1.0,84.0,0.005589626999835673,0.0,584.69921875,0.0
1.0,85.0,0.007651489999943806,100.0,584.7109375,0.0
1.0,86.0,0.005080646999886085,100.0,584.71484375,0.0
1.0,87.0,0.005316419000109818,100.0,584.72265625,0.0
1.0,88.0,0.003972021999970821,100.0,584.72265625,0.0
1.0,89.0,0.0045238340001105826,0.0,584.72265625,0.0
1.0,90.0,0.0026331569999911153,0.0,584.72265625,0.0
1.0,91.0,0.004373861999965811,50.0,584.73046875,0.0
1.0,92.0,0.004325449999896591,0.0,584.73828125,0.0
1.0,93.0,0.0045668830000522576,50.0,584.74609375,0.0
1.0,94.0,0.004416519999949742,0.0,584.75390625,0.0
1.0,95.0,0.0035533550001218828,50.0,584.7578125,0.0
1.0,96.0,0.00438954899982491,0.0,584.76953125,0.0
1.0,97.0,0.004438663999962955,50.0,584.7734375,0.0
1.0,98.0,0.003418827999894347,0.0,584.78125,0.0
1.0,99.0,0.004153196999823194,50.0,584.78125,0.0
1.0,100.0,0.003438815999970757,0.0,584.78125,0.0
2.0,1.0,0.0034138409998831776,50.0,584.79296875,0.0
2.0,2.0,0.003407203999813646,0.0,584.796875,0.0
2.0,3.0,0.0032316179999725136,0.0,584.796875,0.0
2.0,4.0,0.0030094209998878796,50.0,584.8046875,0.0
