Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,1.4825496849998672,39.7,641.8125,0.0
1.0,2.0,0.9041493820000142,4.3,645.71875,0.0
1.0,3.0,1.5273812609998458,6.9,645.71875,0.0
1.0,4.0,1.5111502879999534,53.8,645.71875,0.0
1.0,5.0,7.58318804999999,2.6,645.96875,0.0
1.0,6.0,14.348872051999933,9.9,645.96875,0.0
1.0,7.0,17.686864474999766,13.5,645.96875,0.0
1.0,8.0,17.928537354000127,15.1,650.6015625,0.0
1.0,9.0,11.109346671999901,10.2,650.6015625,0.0
1.0,10.0,14.653491405000295,8.3,650.6015625,0.0
2.0,1.0,17.487627461000102,7.5,650.6015625,0.0
2.0,2.0,18.03490746100033,11.9,650.84765625,0.0
2.0,3.0,18.02379393299998,10.8,650.84765625,0.0
2.0,4.0,14.633215761999963,9.8,650.84765625,0.0
2.0,5.0,14.298998434000168,8.5,650.84765625,0.0
2.0,6.0,11.116092178000144,10.2,650.84765625,0.0
2.0,7.0,17.812996114999805,11.3,650.84765625,0.0
2.0,8.0,18.344778581000355,6.8,650.84765625,0.0
2.0,9.0,11.203216121999958,9.3,650.84765625,0.0
2.0,10.0,17.18771545000027,11.4,650.84765625,0.0
3.0,1.0,14.736770665999757,7.4,651.15234375,0.0
3.0,2.0,11.293487257000379,8.7,651.15234375,0.0
3.0,3.0,13.788257435000105,7.9,651.15234375,0.0
3.0,4.0,18.08276208799998,10.7,651.15234375,0.0
3.0,5.0,18.36001332900014,6.9,651.15234375,0.0
3.0,6.0,18.67472061999979,10.2,651.15234375,0.0
3.0,7.0,10.142900152000038,9.6,651.15234375,0.0
3.0,8.0,14.497937310999987,7.6,651.40625,0.0
3.0,9.0,17.906161306000286,10.9,651.40625,0.0
3.0,10.0,14.725872649999928,8.4,651.40625,0.0
4.0,1.0,18.379866693999702,11.4,651.40625,0.0
4.0,2.0,10.35945345800019,10.8,651.40625,0.0
4.0,3.0,14.802604149999752,8.2,651.6640625,0.0
4.0,4.0,13.622031529999731,8.8,651.6640625,0.0
4.0,5.0,18.978631119000056,11.2,651.6640625,0.0
4.0,6.0,10.56260406499996,10.7,651.6640625,0.0
4.0,7.0,14.195085565999761,8.8,651.6640625,0.0
4.0,8.0,14.658123372999853,8.0,651.6640625,0.0
4.0,9.0,17.36296165399972,12.4,651.6640625,0.0
4.0,10.0,18.628010562000327,7.2,651.6640625,0.0
5.0,1.0,14.453796048000186,13.4,651.6640625,0.0
5.0,2.0,13.831916944000113,8.7,651.6640625,0.0
5.0,3.0,18.19836882699974,8.8,651.6640625,0.0
5.0,4.0,15.066648909999913,11.4,651.6640625,0.0
5.0,5.0,10.10626687299964,10.0,651.6640625,0.0
5.0,6.0,14.491131846000371,7.7,651.6640625,0.0
5.0,7.0,14.596754185999998,7.6,651.6640625,0.0
5.0,8.0,14.092617448000055,10.4,651.6640625,0.0
5.0,9.0,15.004741378999825,11.1,651.6640625,0.0
5.0,10.0,18.30530222699963,6.5,651.6640625,0.0
6.0,1.0,17.99228934299981,10.2,651.6640625,0.0
6.0,2.0,18.161021824999807,10.5,651.6640625,0.0
6.0,3.0,13.68331721100003,7.7,651.6640625,0.0
6.0,4.0,18.455181324000023,7.5,651.6640625,0.0
