Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,2.429057641000327,52.5,641.91015625,0.0
1.0,2.0,2.395275302999835,2.9,645.17578125,0.0
1.0,3.0,1.649322946999746,3.6,645.17578125,0.0
1.0,4.0,1.585511310000129,7.9,645.17578125,0.0
1.0,5.0,1.3735596359997544,11.7,645.42578125,0.0
1.0,6.0,2.4613943660001496,30.8,645.42578125,0.0
1.0,7.0,2.0819265119998818,2.7,645.42578125,0.0
1.0,8.0,12.796896974999981,9.3,650.05859375,0.0
1.0,9.0,9.981870043000072,11.3,650.05859375,0.0
1.0,10.0,7.263623286999973,6.9,650.05859375,0.0
2.0,1.0,12.636344893000114,13.9,650.05859375,0.0
2.0,2.0,13.158520841999689,9.7,650.05859375,0.0
2.0,3.0,10.629984009000054,11.0,650.37109375,0.0
2.0,4.0,7.7059070949999295,3.2,650.37109375,0.0
2.0,5.0,7.223712680000062,15.1,650.37109375,0.0
2.0,6.0,7.629838860999826,13.7,650.37109375,0.0
2.0,7.0,10.405700679999882,8.6,650.37109375,0.0
2.0,8.0,7.411567081999692,5.9,650.37109375,0.0
2.0,9.0,7.329110899999705,13.5,650.37109375,0.0
2.0,10.0,7.236764080000285,4.9,650.609375,0.0
3.0,1.0,10.400038545999905,8.9,650.609375,0.0
3.0,2.0,12.833672720000322,11.9,650.609375,0.0
3.0,3.0,12.60968019100028,11.6,650.609375,0.0
3.0,4.0,13.294499325999823,8.4,650.609375,0.0
3.0,5.0,10.084493314999236,10.3,650.86328125,0.0
3.0,6.0,7.415484688999641,2.9,650.86328125,0.0
3.0,7.0,13.041871226000694,10.3,650.86328125,0.0
3.0,8.0,10.318467996000436,8.3,650.86328125,0.0
3.0,9.0,7.490630915000111,13.1,650.86328125,0.0
3.0,10.0,13.121197602000393,9.0,650.86328125,0.0
4.0,1.0,12.663872153999364,9.5,650.86328125,0.0
4.0,2.0,9.633711213000424,11.4,650.86328125,0.0
4.0,3.0,9.85338462100026,11.7,651.12109375,0.0
4.0,4.0,10.132087420999596,11.1,651.12109375,0.0
4.0,5.0,7.549970955999925,13.4,651.12109375,0.0
4.0,6.0,8.442836999000065,3.4,651.12109375,0.0
4.0,7.0,10.300435029000255,11.1,651.12109375,0.0
4.0,8.0,10.024856562000423,10.9,651.12109375,0.0
4.0,9.0,7.545726055999694,13.7,651.12109375,0.0
