Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.5858279169997331,45.6,531.27734375,0.0
1.0,2.0,0.5667405889998918,4.2,534.5625,0.0
1.0,3.0,0.6012248549996002,4.2,534.6484375,0.0
1.0,4.0,0.47359809200042946,7.4,534.70703125,0.0
1.0,5.0,0.3414810949998355,14.5,534.71875,0.0
1.0,6.0,0.5664058190004653,1.8,534.82421875,0.0
1.0,7.0,0.59183899799973,5.0,534.83203125,0.0
1.0,8.0,0.3374785060004797,1.5,534.859375,0.0
1.0,9.0,0.4362402960005056,4.6,534.91796875,0.0
1.0,10.0,0.6215150600000925,2.4,534.93359375,0.0
1.0,11.0,0.4709797530003925,6.3,534.95703125,0.0
1.0,12.0,0.46197072100039804,1.1,535.0234375,0.0
1.0,13.0,0.45497495099971275,9.8,535.0390625,0.0
1.0,14.0,0.5491642910001246,56.5,535.109375,0.0
1.0,15.0,0.5962948269998378,56.3,535.13671875,0.0
1.0,16.0,0.4590427859993724,51.1,535.14453125,0.0
1.0,17.0,0.3280505759994412,1.5,535.18359375,0.0
1.0,18.0,0.5644158590002917,4.5,535.24609375,0.0
1.0,19.0,0.44240325299961114,3.4,535.2578125,0.0
1.0,20.0,0.5846319909996964,4.3,535.3515625,0.0
1.0,21.0,0.452273905999391,2.2,535.359375,0.0
1.0,22.0,0.5817296959994565,5.1,535.37109375,0.0
1.0,23.0,0.326570654000534,1.5,535.37109375,0.0
1.0,24.0,0.5756242819998079,6.1,535.375,0.0
1.0,25.0,0.5780661580001833,9.6,535.38671875,0.0
1.0,26.0,0.6418649319994074,5.5,535.46484375,0.0
1.0,27.0,0.44612439399952564,3.4,535.46875,0.0
1.0,28.0,0.4692510830000174,5.3,535.51953125,0.0
1.0,29.0,0.47122440800012555,3.2,535.55859375,0.0
1.0,30.0,0.5728082870000435,4.3,535.57421875,0.0
1.0,31.0,0.5577400160000252,2.7,535.6171875,0.0
1.0,32.0,0.554947073999756,3.6,535.65625,0.0
1.0,33.0,0.47292924399971525,5.3,535.66015625,0.0
1.0,34.0,0.5484081250006057,1.8,535.671875,0.0
1.0,35.0,0.5968948770005227,5.0,535.68359375,0.0
1.0,36.0,0.46279329400022107,43.0,535.6875,0.0
1.0,37.0,0.42844434100061335,54.7,535.70703125,0.0
1.0,38.0,0.46172857900000963,57.6,535.70703125,0.0
1.0,39.0,0.5065764820001277,36.0,535.7109375,0.0
1.0,40.0,0.6032538879999265,4.2,535.7421875,0.0
1.0,41.0,0.6131244409998544,4.1,535.7421875,0.0
1.0,42.0,0.34468625299996347,2.9,535.74609375,0.0
1.0,43.0,0.4593103779998273,2.2,535.76171875,0.0
1.0,44.0,0.45622421099960775,5.5,535.76171875,0.0
1.0,45.0,0.5865219939996678,9.4,535.765625,0.0
1.0,46.0,0.44381813800009695,3.4,535.79296875,0.0
1.0,47.0,0.6085644820004745,2.5,535.796875,0.0
1.0,48.0,0.5677871199995934,4.4,535.8046875,0.0
1.0,49.0,0.31770925399996486,3.1,535.81640625,0.0
1.0,50.0,0.6058191609999994,4.9,535.8203125,0.0
1.0,51.0,0.4721673229996668,1.1,535.82421875,0.0
1.0,52.0,0.4557081349994405,5.5,535.85546875,0.0
1.0,53.0,0.5788976329995421,1.7,535.859375,0.0
1.0,54.0,0.43717969200042717,4.6,535.86328125,0.0
1.0,55.0,0.5631819949994679,8.8,535.87109375,0.0
1.0,56.0,0.43134802500026126,3.5,535.87109375,0.0
1.0,57.0,0.3314751329999126,4.5,535.87109375,0.0
1.0,58.0,0.4561078650003765,5.6,535.89453125,0.0
1.0,59.0,0.3734944900006667,2.7,535.89453125,0.0
1.0,60.0,0.399250671000118,48.1,535.8984375,0.0
1.0,61.0,0.583668217000195,56.0,535.90625,0.0
1.0,62.0,0.6874239179996948,55.1,535.9140625,0.0
1.0,63.0,0.4677422100003241,2.2,535.9140625,0.0
1.0,64.0,0.44190500600052474,1.1,535.93359375,0.0
1.0,65.0,0.4384411569999429,12.5,535.9375,0.0
1.0,66.0,0.44927655199990113,7.8,535.94140625,0.0
1.0,67.0,0.34199434600031964,4.5,535.94921875,0.0
1.0,68.0,0.49539742399974784,3.0,535.96484375,0.0
1.0,69.0,0.35447578900038934,7.0,535.96484375,0.0
1.0,70.0,0.6145000249998702,2.4,535.98046875,0.0
1.0,71.0,0.46460099600062676,4.3,535.98828125,0.0
1.0,72.0,0.5985726459994112,2.5,535.9921875,0.0
1.0,73.0,0.5527846940003656,4.5,535.99609375,0.0
1.0,74.0,0.4100278099995194,2.4,536.015625,0.0
1.0,75.0,0.36107016899950395,1.4,536.01953125,0.0
1.0,76.0,0.6130097859995658,4.1,536.02734375,0.0
1.0,77.0,0.5546002800001588,3.7,536.0390625,0.0
