Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.0031481350001740793,56.0,507.875,0.0
1.0,2.0,0.0038354700000127195,60.0,511.0,0.0
1.0,3.0,0.004466348000278231,0.0,511.0,0.0
1.0,4.0,0.0026056359997710388,0.0,511.0,0.0
1.0,5.0,0.004023998999855394,50.0,511.0,0.0
1.0,6.0,0.0032361149997086613,0.0,511.125,0.0
1.0,7.0,0.003445992000251863,100.0,511.125,0.0
1.0,8.0,0.00405579200014472,0.0,511.125,0.0
1.0,9.0,0.0033273860003646405,100.0,511.125,0.0
1.0,10.0,0.003079748999880394,0.0,511.125,0.0
1.0,11.0,0.0041463020002083795,0.0,511.125,0.0
1.0,12.0,0.0024452800003018638,100.0,511.125,0.0
1.0,13.0,0.0032080819996735954,0.0,511.25,0.0
1.0,14.0,0.003285527000116417,100.0,511.25,0.0
1.0,15.0,0.0032612340000923723,0.0,511.25,0.0
1.0,16.0,0.0032461020000482677,0.0,511.25,0.0
1.0,17.0,0.0032594660001450393,100.0,511.25,0.0
1.0,18.0,0.002543478999996296,0.0,511.25,0.0
1.0,19.0,0.0036452869999266113,0.0,511.375,0.0
1.0,20.0,0.004359128000032797,50.0,511.375,0.0
1.0,21.0,0.003560233999905904,0.0,511.375,0.0
1.0,22.0,0.004354765000243788,50.0,511.375,0.0
1.0,23.0,0.0036592399997061875,0.0,511.5,0.0
1.0,24.0,0.0038585239999520127,100.0,511.5,0.0
1.0,25.0,0.0031078489996616554,0.0,511.5,0.0
1.0,26.0,0.003987056999903871,100.0,511.5,0.0
1.0,27.0,0.0039026869999361224,0.0,511.625,0.0
1.0,28.0,0.002581168000233447,0.0,511.625,0.0
1.0,29.0,0.003982269000061933,50.0,511.625,0.0
1.0,30.0,0.004160326000146597,0.0,511.625,0.0
1.0,31.0,0.004119720000289817,100.0,511.75,0.0
1.0,32.0,0.004303304000131902,0.0,511.75,0.0
1.0,33.0,0.002363765999689349,100.0,511.75,0.0
1.0,34.0,0.004090358999746968,0.0,511.75,0.0
1.0,35.0,0.002928666000116209,100.0,511.75,0.0
1.0,36.0,0.0053769730002386495,100.0,511.75,0.0
1.0,37.0,0.005059469999650901,100.0,511.75,0.0
1.0,38.0,0.003622762999839324,0.0,511.75,0.0
1.0,39.0,0.0028464989995882206,100.0,511.75,0.0
1.0,40.0,0.004416384000251128,0.0,511.75,0.0
1.0,41.0,0.0036937370000487135,100.0,511.75,0.0
1.0,42.0,0.0037087069999870437,0.0,511.75,0.0
1.0,43.0,0.004363474999991013,50.0,511.75,0.0
1.0,44.0,0.003271645000040735,0.0,511.75,0.0
1.0,45.0,0.003333800000291376,0.0,511.75,0.0
1.0,46.0,0.0054799960003037995,50.0,511.75,0.0
1.0,47.0,0.0035921809999308607,0.0,511.75,0.0
1.0,48.0,0.0044282240000939055,50.0,511.75,0.0
1.0,49.0,0.0035248429999228392,0.0,511.875,0.0
1.0,50.0,0.004319180000038614,100.0,511.875,0.0
1.0,51.0,0.005136170999776368,50.0,511.875,0.0
1.0,52.0,0.006764938000287657,100.0,511.875,0.0
1.0,53.0,0.005248892000054184,100.0,511.875,0.0
1.0,54.0,0.0036769089997505944,0.0,511.875,0.0
1.0,55.0,0.0043524459997570375,100.0,511.875,0.0
1.0,56.0,0.004402252000090812,100.0,511.875,0.0
1.0,57.0,0.0035849809996761905,50.0,511.875,0.0
1.0,58.0,0.00426300800017998,0.0,511.875,0.0
1.0,59.0,0.002727065999806655,50.0,511.875,0.0
1.0,60.0,0.0034228709996568796,0.0,511.875,0.0
1.0,61.0,0.004300017999867123,50.0,511.875,0.0
1.0,62.0,0.002646915999775956,0.0,511.875,0.0
1.0,63.0,0.004314820000217878,100.0,511.875,0.0
1.0,64.0,0.0034185969998361543,0.0,512.0,0.0
1.0,65.0,0.0042711989999588695,0.0,512.0,0.0
1.0,66.0,0.0026276039998265333,50.0,512.0,0.0
1.0,67.0,0.003524749999996857,0.0,512.0,0.0
1.0,68.0,0.0025762000000213447,100.0,512.0,0.0
1.0,69.0,0.004296839999824442,0.0,512.0,0.0
1.0,70.0,0.003599542999836558,0.0,512.0,0.0
