Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.0043381060004321625,59.2,508.80859375,0.0
1.0,2.0,0.004154195000410255,50.0,511.921875,0.0
1.0,3.0,0.004030641000099422,0.0,511.9375,0.0
1.0,4.0,0.0039525379997940036,50.0,511.953125,0.0
1.0,5.0,0.003705955000441463,0.0,511.96875,0.0
1.0,6.0,0.0034099739996236167,50.0,511.98046875,0.0
1.0,7.0,0.0041853709999486455,0.0,511.98828125,0.0
1.0,8.0,0.002479196999956912,0.0,512.00390625,0.0
1.0,9.0,0.004091363000043202,50.0,512.02734375,0.0
1.0,10.0,0.002842482999767526,0.0,512.046875,0.0
1.0,11.0,0.0034636210002645385,100.0,512.0546875,0.0
1.0,12.0,0.0036493349998636404,0.0,512.0625,0.0
1.0,13.0,0.002578429999630316,100.0,512.0859375,0.0
1.0,14.0,0.003250158999435371,0.0,512.10546875,0.0
1.0,15.0,0.003275469000072917,0.0,512.12890625,0.0
1.0,16.0,0.004170608000094944,100.0,512.15234375,0.0
1.0,17.0,0.003572755000277539,0.0,512.17578125,0.0
1.0,18.0,0.004112161000193737,100.0,512.19921875,0.0
1.0,19.0,0.004212255000311416,0.0,512.2265625,0.0
1.0,20.0,0.004122592000385339,100.0,512.25390625,0.0
1.0,21.0,0.0035096909996354952,50.0,512.27734375,0.0
1.0,22.0,0.004287821999241714,100.0,512.31640625,0.0
1.0,23.0,0.0033581040006538387,0.0,512.34375,0.0
1.0,24.0,0.0033006429994202335,0.0,512.375,0.0
1.0,25.0,0.00408463700023276,100.0,512.421875,0.0
1.0,26.0,0.00361361199975363,0.0,512.453125,0.0
1.0,27.0,0.004235526000229584,100.0,512.48046875,0.0
1.0,28.0,0.002537986999413988,0.0,512.5078125,0.0
1.0,29.0,0.002583446999778971,0.0,512.53515625,0.0
1.0,30.0,0.0034429910001563258,100.0,512.56640625,0.0
1.0,31.0,0.004384732999824337,0.0,512.6015625,0.0
1.0,32.0,0.0033299890001217136,100.0,512.625,0.0
1.0,33.0,0.003230584000448289,0.0,512.6328125,0.0
1.0,34.0,0.002736495000135619,100.0,512.640625,0.0
1.0,35.0,0.002457769999637094,0.0,512.640625,0.0
1.0,36.0,0.002641342000060831,0.0,512.6484375,0.0
1.0,37.0,0.004834655000195198,100.0,512.65234375,0.0
1.0,38.0,0.004216379999888886,0.0,512.66015625,0.0
1.0,39.0,0.004323037999711232,100.0,512.6640625,0.0
1.0,40.0,0.003539239000019734,0.0,512.6640625,0.0
1.0,41.0,0.004187002000435314,100.0,512.671875,0.0
1.0,42.0,0.0033037140001397347,0.0,512.671875,0.0
1.0,43.0,0.0034054159996230737,50.0,512.67578125,0.0
1.0,44.0,0.003270287000304961,0.0,512.68359375,0.0
1.0,45.0,0.0034685250002439716,0.0,512.69140625,0.0
1.0,46.0,0.003320791999612993,100.0,512.703125,0.0
1.0,47.0,0.003290480000032403,0.0,512.70703125,0.0
1.0,48.0,0.004188599999906728,50.0,512.7109375,0.0
1.0,49.0,0.0035058029998253915,0.0,512.71484375,0.0
1.0,50.0,0.0025061979995371075,0.0,512.71875,0.0
1.0,51.0,0.0040833650000422494,100.0,512.7265625,0.0
1.0,52.0,0.004095401000085985,0.0,512.734375,0.0
1.0,53.0,0.003444205000050715,100.0,512.73828125,0.0
1.0,54.0,0.0035793409997495473,0.0,512.78125,0.0
1.0,55.0,0.0024584250004409114,0.0,512.79296875,0.0
1.0,56.0,0.0034047879998979624,100.0,512.796875,0.0
1.0,57.0,0.0032654389997333055,0.0,512.8046875,0.0
1.0,58.0,0.004133213999921281,100.0,512.8125,0.0
1.0,59.0,0.0035314859997015446,0.0,512.81640625,0.0
1.0,60.0,0.002457157999742776,0.0,512.8203125,0.0
1.0,61.0,0.0034387939995212946,100.0,512.828125,0.0
1.0,62.0,0.004063240000505175,0.0,512.828125,0.0
1.0,63.0,0.004227386999446026,100.0,512.83984375,0.0
1.0,64.0,0.002486092000253848,0.0,512.83984375,0.0
1.0,65.0,0.004237760999785678,0.0,512.84375,0.0
1.0,66.0,0.0033378340003764606,100.0,512.8515625,0.0
1.0,67.0,0.0033067269996536197,0.0,512.8515625,0.0
1.0,68.0,0.003368631000739697,100.0,512.86328125,0.0
1.0,69.0,0.004406426000059582,0.0,512.8671875,0.0
1.0,70.0,0.004064310000103433,100.0,512.87109375,0.0
1.0,71.0,0.0025525209994157194,0.0,512.875,0.0
1.0,72.0,0.004128992000005383,0.0,512.8828125,0.0
1.0,73.0,0.004640529999960563,50.0,512.890625,0.0
1.0,74.0,0.0033990649999395828,0.0,512.8984375,0.0
1.0,75.0,0.0024955779999800143,100.0,512.8984375,0.0
1.0,76.0,0.00417796600049769,0.0,512.90625,0.0
1.0,77.0,0.0035192710001865635,100.0,512.90625,0.0
1.0,78.0,0.003360190999956103,0.0,512.9140625,0.0
1.0,79.0,0.004172373999608681,0.0,512.921875,0.0
1.0,80.0,0.004146751000007498,50.0,512.92578125,0.0
1.0,81.0,0.0042195980004180456,0.0,512.93359375,0.0
1.0,82.0,0.003599106999899959,100.0,512.93359375,0.0
1.0,83.0,0.003423159999329073,0.0,512.9453125,0.0
1.0,84.0,0.004148471000007703,100.0,512.94921875,0.0
1.0,85.0,0.0041170800004692865,0.0,512.95703125,0.0
1.0,86.0,0.003563109000424447,100.0,512.9609375,0.0
1.0,87.0,0.0025451700003031874,0.0,512.96484375,0.0
1.0,88.0,0.0024914929999795277,0.0,512.96875,0.0
1.0,89.0,0.002673669000614609,100.0,512.96875,0.0
1.0,90.0,0.003280531000200426,0.0,512.984375,0.0
1.0,91.0,0.0032386720004069502,0.0,512.984375,0.0
1.0,92.0,0.003452947000369022,100.0,512.98828125,0.0
1.0,93.0,0.0034322770006838255,0.0,512.9921875,0.0
1.0,94.0,0.004124547000174061,100.0,512.99609375,0.0
1.0,95.0,0.0041245910006182385,0.0,513.01171875,0.0
1.0,96.0,0.002603058000204328,100.0,513.01953125,0.0
1.0,97.0,0.004069994000019506,0.0,513.03515625,0.0
1.0,98.0,0.0040592180002931855,100.0,513.04296875,0.0
1.0,99.0,0.0031229719998009386,0.0,513.05078125,0.0
1.0,100.0,0.0025397250001333305,0.0,513.05078125,0.0
2.0,1.0,0.003633799999988696,100.0,513.0625,0.0
2.0,2.0,0.003464333000010811,0.0,513.07421875,0.0
2.0,3.0,0.0032990090003295336,100.0,513.078125,0.0
2.0,4.0,0.0027685389995895093,0.0,513.0859375,0.0
2.0,5.0,0.004242792000695772,50.0,513.08984375,0.0
2.0,6.0,0.003515645999868866,0.0,513.09375,0.0
2.0,7.0,0.004120385999158316,0.0,513.09765625,0.0
2.0,8.0,0.004097125000043889,100.0,513.109375,0.0
2.0,9.0,0.004650137000680843,50.0,513.1171875,0.0
2.0,10.0,0.004330152999500569,0.0,513.12109375,0.0
2.0,11.0,0.002565796999988379,0.0,513.12109375,0.0
2.0,12.0,0.004125972000110778,100.0,513.12890625,0.0
2.0,13.0,0.0026195260006716126,0.0,513.13671875,0.0
2.0,14.0,0.0024295389994222205,0.0,513.14453125,0.0
2.0,15.0,0.0025829159994827933,100.0,513.14453125,0.0
2.0,16.0,0.00252662999992026,0.0,513.15234375,0.0
2.0,17.0,0.003294778000054066,0.0,513.15625,0.0
2.0,18.0,0.004302870000174153,100.0,513.16796875,0.0
2.0,19.0,0.0032381860000896268,0.0,513.16796875,0.0
2.0,20.0,0.0044211360000190325,100.0,513.1796875,0.0
2.0,21.0,0.003350521000356821,0.0,513.1796875,0.0
2.0,22.0,0.003448503000072378,100.0,513.1875,0.0
2.0,23.0,0.004297961000702344,0.0,513.19140625,0.0
2.0,24.0,0.002760268000201904,0.0,513.27734375,0.0
2.0,25.0,0.0034507480004322133,100.0,513.28125,0.0
2.0,26.0,0.0033757909995983937,0.0,513.28515625,0.0
2.0,27.0,0.002692496000236133,100.0,513.2890625,0.0
2.0,28.0,0.0034135599998990074,0.0,513.29296875,0.0
2.0,29.0,0.0034896829993158462,0.0,513.296875,0.0
2.0,30.0,0.003744933999769273,100.0,513.3046875,0.0
2.0,31.0,0.0027443670005595777,0.0,513.3046875,0.0
2.0,32.0,0.0043841890001203865,100.0,513.3125,0.0
2.0,33.0,0.004220081999847025,0.0,513.3125,0.0
2.0,34.0,0.004320551999626332,100.0,513.3203125,0.0
2.0,35.0,0.004360382000413665,0.0,513.3203125,0.0
2.0,36.0,0.004221694999614556,100.0,513.33203125,0.0
2.0,37.0,0.004095502000382112,0.0,513.33203125,0.0
2.0,38.0,0.004507186000410002,100.0,513.33984375,0.0
2.0,39.0,0.004208871999253461,0.0,513.33984375,0.0
2.0,40.0,0.0033632409995334456,100.0,513.34765625,0.0
2.0,41.0,0.0033695330002956325,0.0,513.34765625,0.0
2.0,42.0,0.004735514000458352,0.0,513.359375,0.0
2.0,43.0,0.002670130999831599,100.0,513.36328125,0.0
2.0,44.0,0.0038291990003926912,0.0,513.36328125,0.0
2.0,45.0,0.005119503000059922,100.0,513.3671875,0.0
2.0,46.0,0.005416545000116457,100.0,513.37109375,0.0
2.0,47.0,0.004011958999399212,100.0,513.375,0.0
2.0,48.0,0.004042501999720116,100.0,513.3828125,0.0
2.0,49.0,0.004040142000121705,100.0,513.3828125,0.0
2.0,50.0,0.0030077049996179994,0.0,513.390625,0.0
2.0,51.0,0.0026304099992557894,50.0,513.39453125,0.0
2.0,52.0,0.004194128999188251,0.0,513.39453125,0.0
2.0,53.0,0.002515537999897788,50.0,513.40234375,0.0
2.0,54.0,0.0025171630004479084,0.0,513.40234375,0.0
2.0,55.0,0.003544810999301262,0.0,513.40625,0.0
2.0,56.0,0.004400530000566505,50.0,513.41015625,0.0
2.0,57.0,0.0037848279998797807,0.0,513.4140625,0.0
2.0,58.0,0.002583667000180867,50.0,513.41796875,0.0
2.0,59.0,0.00413552999998501,0.0,513.421875,0.0
2.0,60.0,0.0039729850004732725,100.0,513.4296875,0.0
2.0,61.0,0.004422603999955754,0.0,513.4296875,0.0
2.0,62.0,0.004306809999434336,100.0,513.4375,0.0
2.0,63.0,0.002506117999473645,0.0,513.4375,0.0
2.0,64.0,0.0035204469995733234,100.0,513.4375,0.0
2.0,65.0,0.00455504599995038,0.0,513.4453125,0.0
2.0,66.0,0.0034450220000508125,100.0,513.4453125,0.0
2.0,67.0,0.004346929000348609,0.0,513.45703125,0.0
2.0,68.0,0.0034258799996678135,50.0,513.4609375,0.0
2.0,69.0,0.004397415000312321,0.0,513.46484375,0.0
2.0,70.0,0.0032628210001348634,0.0,513.46875,0.0
2.0,71.0,0.004233992000081344,100.0,513.47265625,0.0
2.0,72.0,0.003491661999760254,0.0,513.47265625,0.0
2.0,73.0,0.0042061300000568735,100.0,513.48046875,0.0
2.0,74.0,0.004229202999340487,0.0,513.484375,0.0
2.0,75.0,0.003328539999529312,100.0,513.4921875,0.0
2.0,76.0,0.0035848520001309225,0.0,513.4921875,0.0
2.0,77.0,0.003535950999321358,0.0,513.5,0.0
2.0,78.0,0.002740353000262985,100.0,513.50390625,0.0
2.0,79.0,0.003464251999503176,0.0,513.50390625,0.0
2.0,80.0,0.0033523609999974724,100.0,513.51171875,0.0
2.0,81.0,0.0033530609998706495,0.0,513.5234375,0.0
2.0,82.0,0.0035070459998678416,0.0,513.52734375,0.0
2.0,83.0,0.004334030999416427,100.0,513.53515625,0.0
2.0,84.0,0.0033147989997814875,0.0,513.53515625,0.0
2.0,85.0,0.003507362999698671,100.0,513.5390625,0.0
2.0,86.0,0.003426844999921741,0.0,513.54296875,0.0
2.0,87.0,0.0042804950007848674,100.0,513.546875,0.0
2.0,88.0,0.004137619000175619,0.0,513.55859375,0.0
2.0,89.0,0.003355591000399727,100.0,513.5625,0.0
2.0,90.0,0.0033682000002954737,0.0,513.56640625,0.0
2.0,91.0,0.004336302999945474,50.0,513.58984375,0.0
2.0,92.0,0.004264136000529106,0.0,513.58984375,0.0
2.0,93.0,0.004190810999716632,50.0,513.6015625,0.0
2.0,94.0,0.002685159999600728,0.0,513.60546875,0.0
2.0,95.0,0.004299012000046787,0.0,513.61328125,0.0
2.0,96.0,0.003376106999894546,100.0,513.62109375,0.0
2.0,97.0,0.0025164089993268135,0.0,513.625,0.0
2.0,98.0,0.004202563999569975,50.0,513.6328125,0.0
2.0,99.0,0.004128065000259085,0.0,513.63671875,0.0
2.0,100.0,0.0036276069995437865,50.0,513.64453125,0.0
3.0,1.0,0.0025964430005842587,0.0,513.64453125,0.0
3.0,2.0,0.004260673000317183,0.0,513.65234375,0.0
3.0,3.0,0.004236937999849033,100.0,513.65234375,0.0
3.0,4.0,0.0043154790000698995,0.0,513.6640625,0.0
3.0,5.0,0.0038746379996155156,100.0,513.67578125,0.0
3.0,6.0,0.005211918999521004,0.0,513.68359375,0.0
3.0,7.0,0.003161653999995906,100.0,513.68359375,0.0
3.0,8.0,0.005030610000176239,50.0,513.6875,0.0
3.0,9.0,0.005349682000087341,0.0,513.6953125,0.0
3.0,10.0,0.0036963809998269426,100.0,513.703125,0.0
3.0,11.0,0.003427813999223872,0.0,513.70703125,0.0
3.0,12.0,0.003530238999701396,0.0,513.7109375,0.0
3.0,13.0,0.0026680210003178217,100.0,513.71484375,0.0
3.0,14.0,0.0033698639999784064,0.0,513.71484375,0.0
3.0,15.0,0.0025073959996007034,0.0,513.72265625,0.0
3.0,16.0,0.0037302800001270953,50.0,513.7265625,0.0
3.0,17.0,0.004302631000427937,0.0,513.7265625,0.0
3.0,18.0,0.002542300000641262,100.0,513.73046875,0.0
3.0,19.0,0.004191748000266671,0.0,513.73828125,0.0
3.0,20.0,0.004144866000387992,100.0,513.7421875,0.0
3.0,21.0,0.0034173869998994633,0.0,513.75,0.0
3.0,22.0,0.0034774510004353942,100.0,513.75,0.0
3.0,23.0,0.0033262429997193976,0.0,513.75390625,0.0
3.0,24.0,0.003405479999855743,0.0,513.7578125,0.0
3.0,25.0,0.0033829449994300376,100.0,513.76953125,0.0
3.0,26.0,0.0034441239995430806,0.0,513.7890625,0.0
3.0,27.0,0.0044047390001651365,100.0,513.796875,0.0
3.0,28.0,0.003421692000301846,0.0,513.80078125,0.0
3.0,29.0,0.004120725000575476,100.0,513.8046875,0.0
3.0,30.0,0.0033694920002744766,0.0,513.80859375,0.0
3.0,31.0,0.0026736049994724453,0.0,513.8125,0.0
3.0,32.0,0.0033477140004833927,100.0,513.81640625,0.0
3.0,33.0,0.0040863920003175735,0.0,513.8203125,0.0
3.0,34.0,0.004003938999630918,100.0,513.828125,0.0
3.0,35.0,0.004092444999514555,0.0,513.828125,0.0
3.0,36.0,0.002470355000696145,100.0,513.8359375,0.0
3.0,37.0,0.0024311669994858676,0.0,513.83984375,0.0
3.0,38.0,0.0031519049998678383,0.0,513.83984375,0.0
3.0,39.0,0.004094945999895572,100.0,513.84375,0.0
3.0,40.0,0.004507456999817805,100.0,513.84765625,0.0
3.0,41.0,0.003210296999895945,0.0,513.84765625,0.0
3.0,42.0,0.003436244999647897,100.0,513.85546875,0.0
3.0,43.0,0.002538384999752452,0.0,513.8671875,0.0
3.0,44.0,0.0032896579996304354,0.0,513.87109375,0.0
3.0,45.0,0.0024670000002515735,100.0,513.87109375,0.0
3.0,46.0,0.004285218999939389,0.0,513.87890625,0.0
3.0,47.0,0.004180113000074925,100.0,513.87890625,0.0
3.0,48.0,0.0033577650001461734,0.0,513.8984375,0.0
3.0,49.0,0.004197193999971205,0.0,513.8984375,0.0
3.0,50.0,0.004489930999625358,50.0,513.90234375,0.0
3.0,51.0,0.006222740999874077,100.0,513.90625,0.0
3.0,52.0,0.0043801199999506935,0.0,513.9140625,0.0
3.0,53.0,0.0029608820004796144,100.0,513.9140625,0.0
3.0,54.0,0.004338097999607271,0.0,513.9140625,0.0
3.0,55.0,0.0033756150005501695,100.0,513.91796875,0.0
3.0,56.0,0.0033219829992958694,0.0,513.921875,0.0
3.0,57.0,0.0026466780000191648,0.0,513.92578125,0.0
3.0,58.0,0.004503293999732705,50.0,513.9296875,0.0
3.0,59.0,0.004194793000351638,0.0,513.93359375,0.0
3.0,60.0,0.0036242180003682734,100.0,513.9375,0.0
3.0,61.0,0.004255521999766643,0.0,513.9375,0.0
3.0,62.0,0.0042875019998973585,100.0,513.94140625,0.0
3.0,63.0,0.00325551199966867,0.0,513.9453125,0.0
3.0,64.0,0.004134838999561907,100.0,513.9453125,0.0
3.0,65.0,0.0034787249996952596,0.0,513.95703125,0.0
3.0,66.0,0.0025533589996484807,0.0,513.96484375,0.0
3.0,67.0,0.003696239999953832,100.0,513.96484375,0.0
3.0,68.0,0.004160905000389903,0.0,513.96875,0.0
3.0,69.0,0.002360405999752402,100.0,513.96875,0.0
3.0,70.0,0.003261480000219308,0.0,513.9765625,0.0
3.0,71.0,0.0041438670004936284,100.0,513.9765625,0.0
3.0,72.0,0.0042818689998966875,0.0,513.984375,0.0
3.0,73.0,0.002588442000160285,0.0,513.98828125,0.0
3.0,74.0,0.004124561000026006,100.0,513.98828125,0.0
3.0,75.0,0.002466273999743862,0.0,513.98828125,0.0
3.0,76.0,0.002348562000406673,0.0,513.99609375,0.0
3.0,77.0,0.004306598999392008,100.0,514.00390625,0.0
3.0,78.0,0.00330392399973789,0.0,514.00390625,0.0
3.0,79.0,0.004127335999328352,100.0,514.01171875,0.0
3.0,80.0,0.0032200719997490523,0.0,514.015625,0.0
3.0,81.0,0.004184042999440862,100.0,514.01953125,0.0
3.0,82.0,0.004265851000127441,0.0,514.0234375,0.0
3.0,83.0,0.0033725580005921074,100.0,514.02734375,0.0
3.0,84.0,0.00354078300006222,0.0,514.03125,0.0
3.0,85.0,0.004085427999598323,0.0,514.03515625,0.0
3.0,86.0,0.0027001429998563253,100.0,514.04296875,0.0
3.0,87.0,0.00429078999968624,0.0,514.04296875,0.0
3.0,88.0,0.0025515220004308503,100.0,514.046875,0.0
3.0,89.0,0.004086728999936895,0.0,514.046875,0.0
3.0,90.0,0.0023857359992689453,0.0,514.0546875,0.0
3.0,91.0,0.0035783940002147574,100.0,514.05859375,0.0
3.0,92.0,0.0040643279999130755,0.0,514.05859375,0.0
3.0,93.0,0.0023835299998609116,100.0,514.0703125,0.0
3.0,94.0,0.003200423999260238,0.0,514.078125,0.0
