Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,0.6740014679999149,67.8,642.69140625,0.0
1.0,2.0,0.6240679410002485,5.4,646.06640625,0.0
1.0,3.0,0.6060798350008554,1.7,646.06640625,0.0
1.0,4.0,0.5515353629998572,2.8,646.19140625,0.0
1.0,5.0,0.38066450800033635,3.9,646.19140625,0.0
1.0,6.0,0.9508737520009163,2.6,646.19140625,0.0
1.0,7.0,0.683558169999742,2.9,646.31640625,0.0
1.0,8.0,0.7178399579970574,12.5,650.94140625,0.0
1.0,9.0,0.3998440319992369,17.7,651.06640625,0.0
1.0,10.0,1.0418524480010092,12.0,651.19140625,0.0
1.0,11.0,0.8090431499986153,13.0,651.19140625,0.0
1.0,12.0,0.7611184930028685,13.8,651.19140625,0.0
1.0,13.0,0.8217905849996896,43.9,651.19140625,0.0
1.0,14.0,1.5960859459992207,43.4,651.19140625,0.0
1.0,15.0,0.6507779869971273,14.7,651.56640625,0.0
1.0,16.0,0.5121028459980153,15.4,651.56640625,0.0
1.0,17.0,1.0330680340011895,18.0,651.56640625,0.0
1.0,18.0,1.182443190999038,9.8,651.56640625,0.0
1.0,19.0,1.2850062950019492,10.5,651.56640625,0.0
1.0,20.0,0.8782708190010453,15.4,651.69140625,0.0
2.0,1.0,1.2952025929989759,9.6,651.69140625,0.0
2.0,2.0,1.413885678997758,6.4,651.69140625,0.0
2.0,3.0,0.596623230001569,14.3,651.69140625,0.0
2.0,4.0,1.0035363780007174,48.5,651.94140625,0.0
2.0,5.0,1.0203122660022927,66.5,651.94140625,0.0
2.0,6.0,1.0627109259985446,12.9,651.94140625,0.0
2.0,7.0,0.9373632679998991,10.6,652.06640625,0.0
2.0,8.0,0.8444800039978873,15.4,652.06640625,0.0
2.0,9.0,0.8295409040001687,13.4,652.06640625,0.0
2.0,10.0,0.41723495200130856,22.6,652.06640625,0.0
2.0,11.0,0.6411652189999586,10.9,652.06640625,0.0
2.0,12.0,0.8328067449983791,13.8,652.06640625,0.0
