Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,52.0,9.0,39.0,52.0
2.0,49.0,13.0,38.0,49.0
3.0,60.0,15.0,25.0,60.0
4.0,58.0,16.0,26.0,57.99999999999999
5.0,61.0,22.0,17.0,61.0
6.0,62.0,17.0,21.0,62.0
7.0,58.0,12.0,30.0,57.99999999999999
8.0,54.0,15.0,31.0,54.0
9.0,51.0,18.0,31.0,51.0
10.0,55.0,16.0,29.0,55.00000000000001
11.0,61.0,14.0,25.0,61.0
12.0,65.0,15.0,20.0,65.0
13.0,59.0,13.0,28.0,59.0
14.0,54.0,11.0,35.0,54.0
15.0,56.0,11.0,33.0,56.00000000000001
16.0,55.0,18.0,27.0,55.00000000000001
17.0,59.0,7.0,34.0,59.0
18.0,54.0,12.0,34.0,54.0
19.0,53.0,9.0,38.0,53.0
20.0,58.0,11.0,31.0,57.99999999999999
21.0,64.0,16.0,20.0,64.0
22.0,61.0,12.0,27.0,61.0
23.0,57.0,15.0,28.0,56.99999999999999
24.0,58.0,17.0,25.0,57.99999999999999
25.0,60.0,12.0,28.0,60.0
26.0,52.0,10.0,38.0,52.0
27.0,61.0,13.0,26.0,61.0
28.0,57.0,13.0,30.0,56.99999999999999
29.0,59.0,16.0,25.0,59.0
30.0,63.0,17.0,20.0,63.0
31.0,63.0,11.0,26.0,63.0
32.0,66.0,9.0,25.0,66.0
33.0,46.0,17.0,37.0,46.0
34.0,68.0,13.0,19.0,68.0
35.0,58.0,13.0,29.0,57.99999999999999
36.0,51.0,12.0,37.0,51.0
37.0,45.0,20.0,35.0,45.0
38.0,64.0,8.0,28.0,64.0
39.0,61.0,12.0,27.0,61.0
40.0,51.0,12.0,37.0,51.0
41.0,59.0,14.0,27.0,59.0
42.0,54.0,10.0,36.0,54.0
43.0,51.0,12.0,37.0,51.0
44.0,49.0,13.0,38.0,49.0
45.0,62.0,9.0,29.0,62.0
46.0,49.0,17.0,34.0,49.0
47.0,47.0,12.0,41.0,47.0
48.0,56.0,12.0,32.0,56.00000000000001
49.0,48.0,16.0,36.0,48.0
50.0,50.0,13.0,37.0,50.0
