Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,10.0,1.0,9.0,50.0
2.0,14.0,0.0,6.0,70.0
3.0,13.0,2.0,5.0,65.0
4.0,13.0,1.0,6.0,65.0
5.0,12.0,3.0,5.0,60.0
6.0,11.0,3.0,6.0,55.00000000000001
7.0,12.0,3.0,5.0,60.0
8.0,15.0,1.0,4.0,75.0
9.0,10.0,3.0,7.0,50.0
10.0,10.0,6.0,4.0,50.0
11.0,9.0,5.0,6.0,45.0
12.0,12.0,3.0,5.0,60.0
13.0,13.0,1.0,6.0,65.0
14.0,11.0,5.0,4.0,55.00000000000001
15.0,12.0,2.0,6.0,60.0
16.0,13.0,1.0,6.0,65.0
17.0,11.0,1.0,8.0,55.00000000000001
18.0,10.0,4.0,6.0,50.0
19.0,12.0,2.0,6.0,60.0
20.0,9.0,2.0,9.0,45.0
21.0,9.0,4.0,7.0,45.0
22.0,9.0,4.0,7.0,45.0
23.0,16.0,2.0,2.0,80.0
24.0,12.0,6.0,2.0,60.0
25.0,10.0,1.0,9.0,50.0
26.0,11.0,2.0,7.0,55.00000000000001
27.0,13.0,2.0,5.0,65.0
28.0,12.0,1.0,7.0,60.0
29.0,10.0,2.0,8.0,50.0
30.0,7.0,2.0,11.0,35.0
31.0,10.0,2.0,8.0,50.0
32.0,15.0,1.0,4.0,75.0
33.0,10.0,4.0,6.0,50.0
34.0,9.0,5.0,6.0,45.0
35.0,12.0,3.0,5.0,60.0
36.0,12.0,1.0,7.0,60.0
37.0,10.0,4.0,6.0,50.0
38.0,14.0,1.0,5.0,70.0
39.0,10.0,1.0,9.0,50.0
40.0,12.0,3.0,5.0,60.0
41.0,13.0,1.0,6.0,65.0
42.0,12.0,1.0,7.0,60.0
43.0,13.0,3.0,4.0,65.0
44.0,10.0,2.0,8.0,50.0
45.0,9.0,0.0,11.0,45.0
46.0,13.0,2.0,5.0,65.0
47.0,15.0,1.0,4.0,75.0
48.0,9.0,3.0,8.0,45.0
49.0,12.0,3.0,5.0,60.0
50.0,13.0,2.0,5.0,65.0
51.0,11.0,1.0,8.0,55.00000000000001
52.0,12.0,2.0,6.0,60.0
53.0,12.0,2.0,6.0,60.0
54.0,9.0,3.0,8.0,45.0
55.0,10.0,3.0,7.0,50.0
56.0,10.0,0.0,10.0,50.0
57.0,8.0,4.0,8.0,40.0
58.0,10.0,2.0,8.0,50.0
59.0,8.0,5.0,7.0,40.0
60.0,9.0,2.0,9.0,45.0
61.0,11.0,2.0,7.0,55.00000000000001
62.0,12.0,4.0,4.0,60.0
63.0,10.0,1.0,9.0,50.0
64.0,10.0,1.0,9.0,50.0
65.0,11.0,4.0,5.0,55.00000000000001
66.0,9.0,7.0,4.0,45.0
67.0,11.0,1.0,8.0,55.00000000000001
68.0,9.0,3.0,8.0,45.0
69.0,11.0,1.0,8.0,55.00000000000001
70.0,13.0,2.0,5.0,65.0
