Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,76.0,9.0,15.0,76.0
2.0,72.0,6.0,22.0,72.0
3.0,69.0,12.0,19.0,69.0
4.0,75.0,12.0,13.0,75.0
5.0,76.0,2.0,22.0,76.0
6.0,73.0,3.0,24.0,73.0
7.0,85.0,3.0,12.0,85.0
8.0,76.0,10.0,14.0,76.0
9.0,74.0,4.0,22.0,74.0
10.0,70.0,10.0,20.0,70.0
11.0,76.0,5.0,19.0,76.0
12.0,72.0,10.0,18.0,72.0
13.0,79.0,8.0,13.0,79.0
14.0,77.0,10.0,13.0,77.0
15.0,75.0,5.0,20.0,75.0
16.0,74.0,8.0,18.0,74.0
17.0,75.0,6.0,19.0,75.0
18.0,79.0,2.0,19.0,79.0
19.0,75.0,4.0,21.0,75.0
20.0,79.0,3.0,18.0,79.0
21.0,71.0,13.0,16.0,71.0
22.0,78.0,6.0,16.0,78.0
23.0,79.0,7.0,14.0,79.0
24.0,76.0,2.0,22.0,76.0
25.0,77.0,5.0,18.0,77.0
26.0,80.0,7.0,13.0,80.0
27.0,76.0,9.0,15.0,76.0
28.0,79.0,6.0,15.0,79.0
29.0,82.0,9.0,9.0,82.0
30.0,84.0,5.0,11.0,84.0
31.0,76.0,9.0,15.0,76.0
32.0,77.0,6.0,17.0,77.0
33.0,81.0,4.0,15.0,81.0
34.0,74.0,7.0,19.0,74.0
35.0,79.0,7.0,14.0,79.0
36.0,75.0,4.0,21.0,75.0
37.0,83.0,5.0,12.0,83.0
38.0,83.0,6.0,11.0,83.0
39.0,78.0,7.0,15.0,78.0
40.0,77.0,4.0,19.0,77.0
41.0,74.0,6.0,20.0,74.0
42.0,78.0,5.0,17.0,78.0
43.0,78.0,5.0,17.0,78.0
44.0,76.0,4.0,20.0,76.0
45.0,80.0,6.0,14.0,80.0
46.0,73.0,8.0,19.0,73.0
47.0,83.0,4.0,13.0,83.0
48.0,68.0,6.0,26.0,68.0
49.0,74.0,7.0,19.0,74.0
50.0,87.0,5.0,8.0,87.0
51.0,75.0,5.0,20.0,75.0
52.0,81.0,8.0,11.0,81.0
53.0,89.0,2.0,9.0,89.0
54.0,85.0,4.0,11.0,85.0
55.0,74.0,5.0,21.0,74.0
56.0,76.0,5.0,19.0,76.0
57.0,78.0,8.0,14.0,78.0
58.0,79.0,7.0,14.0,79.0
59.0,84.0,5.0,11.0,84.0
60.0,82.0,5.0,13.0,82.0
61.0,76.0,8.0,16.0,76.0
62.0,82.0,5.0,13.0,82.0
63.0,77.0,2.0,21.0,77.0
64.0,78.0,2.0,20.0,78.0
65.0,69.0,10.0,21.0,69.0
66.0,76.0,6.0,18.0,76.0
67.0,88.0,3.0,9.0,88.0
68.0,75.0,9.0,16.0,75.0
69.0,83.0,5.0,12.0,83.0
70.0,75.0,7.0,18.0,75.0
71.0,72.0,5.0,23.0,72.0
72.0,70.0,4.0,26.0,70.0
73.0,80.0,7.0,13.0,80.0
74.0,71.0,7.0,22.0,71.0
75.0,83.0,5.0,12.0,83.0
76.0,74.0,3.0,23.0,74.0
77.0,81.0,10.0,9.0,81.0
78.0,81.0,5.0,14.0,81.0
79.0,85.0,2.0,13.0,85.0
80.0,84.0,2.0,14.0,84.0
81.0,79.0,4.0,17.0,79.0
82.0,82.0,9.0,9.0,82.0
83.0,82.0,6.0,12.0,82.0
84.0,86.0,5.0,9.0,86.0
85.0,80.0,5.0,15.0,80.0
86.0,83.0,4.0,13.0,83.0
87.0,81.0,4.0,15.0,81.0
88.0,85.0,5.0,10.0,85.0
89.0,80.0,4.0,16.0,80.0
90.0,81.0,6.0,13.0,81.0
91.0,82.0,8.0,10.0,82.0
92.0,82.0,6.0,12.0,82.0
93.0,82.0,5.0,13.0,82.0
94.0,73.0,7.0,20.0,73.0
95.0,83.0,6.0,11.0,83.0
96.0,77.0,8.0,15.0,77.0
97.0,86.0,7.0,7.0,86.0
98.0,73.0,5.0,22.0,73.0
99.0,73.0,6.0,21.0,73.0
100.0,73.0,8.0,19.0,73.0
