Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,50.0,13.0,37.0,50.0
2.0,53.0,12.0,35.0,53.0
3.0,54.0,11.0,35.0,54.0
4.0,59.0,12.0,29.0,59.0
5.0,52.0,10.0,38.0,52.0
6.0,60.0,10.0,30.0,60.0
7.0,61.0,6.0,33.0,61.0
8.0,52.0,15.0,33.0,52.0
9.0,63.0,10.0,27.0,63.0
10.0,63.0,9.0,28.0,63.0
11.0,60.0,14.0,26.0,60.0
12.0,65.0,6.0,29.0,65.0
13.0,53.0,12.0,35.0,53.0
14.0,60.0,15.0,25.0,60.0
15.0,48.0,12.0,40.0,48.0
16.0,50.0,13.0,37.0,50.0
17.0,51.0,23.0,26.0,51.0
18.0,60.0,11.0,29.0,60.0
19.0,51.0,24.0,25.0,51.0
20.0,61.0,16.0,23.0,61.0
21.0,60.0,12.0,28.0,60.0
22.0,59.0,10.0,31.0,59.0
23.0,57.0,14.0,29.0,56.99999999999999
24.0,67.0,7.0,26.0,67.0
25.0,56.0,13.0,31.0,56.00000000000001
26.0,57.0,12.0,31.0,56.99999999999999
27.0,64.0,8.0,28.0,64.0
28.0,63.0,12.0,25.0,63.0
29.0,65.0,8.0,27.0,65.0
30.0,66.0,10.0,24.0,66.0
31.0,58.0,18.0,24.0,57.99999999999999
32.0,60.0,12.0,28.0,60.0
33.0,56.0,7.0,37.0,56.00000000000001
34.0,59.0,10.0,31.0,59.0
35.0,52.0,20.0,28.0,52.0
36.0,54.0,14.0,32.0,54.0
37.0,60.0,14.0,26.0,60.0
38.0,58.0,13.0,29.0,57.99999999999999
39.0,48.0,17.0,35.0,48.0
40.0,56.0,17.0,27.0,56.00000000000001
41.0,55.0,10.0,35.0,55.00000000000001
42.0,45.0,12.0,43.0,45.0
43.0,57.0,17.0,26.0,56.99999999999999
44.0,55.0,17.0,28.0,55.00000000000001
45.0,61.0,8.0,31.0,61.0
46.0,61.0,11.0,28.0,61.0
47.0,51.0,9.0,40.0,51.0
48.0,43.0,14.0,43.0,43.0
49.0,57.0,12.0,31.0,56.99999999999999
50.0,64.0,10.0,26.0,64.0
51.0,61.0,13.0,26.0,61.0
52.0,51.0,20.0,29.0,51.0
53.0,55.0,12.0,33.0,55.00000000000001
54.0,58.0,22.0,20.0,57.99999999999999
55.0,51.0,25.0,24.0,51.0
56.0,69.0,10.0,21.0,69.0
57.0,62.0,8.0,30.0,62.0
58.0,69.0,6.0,25.0,69.0
59.0,57.0,14.0,29.0,56.99999999999999
60.0,56.0,2.0,42.0,56.00000000000001
61.0,61.0,15.0,24.0,61.0
62.0,59.0,11.0,30.0,59.0
63.0,60.0,14.0,26.0,60.0
64.0,61.0,19.0,20.0,61.0
65.0,58.0,17.0,25.0,57.99999999999999
66.0,67.0,9.0,24.0,67.0
67.0,61.0,15.0,24.0,61.0
68.0,51.0,16.0,33.0,51.0
69.0,56.0,8.0,36.0,56.00000000000001
70.0,67.0,11.0,22.0,67.0
71.0,59.0,11.0,30.0,59.0
72.0,62.0,7.0,31.0,62.0
73.0,60.0,11.0,29.0,60.0
74.0,55.0,15.0,30.0,55.00000000000001
75.0,52.0,10.0,38.0,52.0
76.0,58.0,15.0,27.0,57.99999999999999
77.0,55.0,7.0,38.0,55.00000000000001
78.0,60.0,13.0,27.0,60.0
79.0,58.0,16.0,26.0,57.99999999999999
80.0,59.0,14.0,27.0,59.0
81.0,52.0,13.0,35.0,52.0
82.0,51.0,11.0,38.0,51.0
83.0,58.0,10.0,32.0,57.99999999999999
84.0,62.0,15.0,23.0,62.0
85.0,62.0,11.0,27.0,62.0
86.0,65.0,16.0,19.0,65.0
87.0,52.0,18.0,30.0,52.0
88.0,55.0,13.0,32.0,55.00000000000001
89.0,58.0,16.0,26.0,57.99999999999999
90.0,57.0,9.0,34.0,56.99999999999999
91.0,68.0,15.0,17.0,68.0
92.0,57.0,13.0,30.0,56.99999999999999
93.0,61.0,12.0,27.0,61.0
94.0,55.0,11.0,34.0,55.00000000000001
95.0,68.0,10.0,22.0,68.0
96.0,56.0,15.0,29.0,56.00000000000001
97.0,63.0,8.0,29.0,63.0
98.0,74.0,9.0,17.0,74.0
99.0,63.0,13.0,24.0,63.0
100.0,62.0,15.0,23.0,62.0
