Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,52.0,15.0,33.0,52.0
2.0,61.0,15.0,24.0,61.0
3.0,59.0,13.0,28.0,59.0
4.0,67.0,14.0,19.0,67.0
5.0,61.0,16.0,23.0,61.0
6.0,70.0,8.0,22.0,70.0
7.0,72.0,8.0,20.0,72.0
8.0,62.0,15.0,23.0,62.0
9.0,72.0,8.0,20.0,72.0
10.0,68.0,11.0,21.0,68.0
11.0,80.0,9.0,11.0,80.0
12.0,74.0,5.0,21.0,74.0
13.0,76.0,14.0,10.0,76.0
14.0,68.0,9.0,23.0,68.0
15.0,65.0,16.0,19.0,65.0
16.0,62.0,12.0,26.0,62.0
17.0,65.0,9.0,26.0,65.0
18.0,75.0,11.0,14.0,75.0
19.0,66.0,15.0,19.0,66.0
20.0,75.0,8.0,17.0,75.0
21.0,68.0,10.0,22.0,68.0
22.0,78.0,11.0,11.0,78.0
23.0,66.0,16.0,18.0,66.0
24.0,71.0,10.0,19.0,71.0
25.0,68.0,17.0,15.0,68.0
26.0,79.0,11.0,10.0,79.0
27.0,78.0,8.0,14.0,78.0
28.0,64.0,14.0,22.0,64.0
29.0,77.0,12.0,11.0,77.0
30.0,80.0,10.0,10.0,80.0
31.0,75.0,12.0,13.0,75.0
32.0,69.0,10.0,21.0,69.0
33.0,74.0,10.0,16.0,74.0
34.0,73.0,13.0,14.0,73.0
35.0,73.0,16.0,11.0,73.0
36.0,80.0,11.0,9.0,80.0
37.0,77.0,13.0,10.0,77.0
38.0,79.0,9.0,12.0,79.0
39.0,79.0,12.0,9.0,79.0
40.0,81.0,7.0,12.0,81.0
41.0,82.0,5.0,13.0,82.0
42.0,75.0,8.0,17.0,75.0
43.0,73.0,14.0,13.0,73.0
44.0,80.0,9.0,11.0,80.0
45.0,76.0,20.0,4.0,76.0
46.0,81.0,10.0,9.0,81.0
47.0,81.0,6.0,13.0,81.0
48.0,83.0,11.0,6.0,83.0
49.0,80.0,9.0,11.0,80.0
50.0,83.0,9.0,8.0,83.0
51.0,71.0,18.0,11.0,71.0
52.0,78.0,13.0,9.0,78.0
53.0,80.0,13.0,7.0,80.0
54.0,74.0,14.0,12.0,74.0
55.0,80.0,10.0,10.0,80.0
56.0,80.0,12.0,8.0,80.0
57.0,79.0,12.0,9.0,79.0
58.0,79.0,13.0,8.0,79.0
59.0,76.0,13.0,11.0,76.0
60.0,80.0,15.0,5.0,80.0
61.0,81.0,13.0,6.0,81.0
62.0,83.0,11.0,6.0,83.0
63.0,85.0,6.0,9.0,85.0
64.0,84.0,10.0,6.0,84.0
65.0,78.0,14.0,8.0,78.0
66.0,82.0,10.0,8.0,82.0
67.0,83.0,11.0,6.0,83.0
68.0,86.0,9.0,5.0,86.0
69.0,78.0,12.0,10.0,78.0
70.0,86.0,6.0,8.0,86.0
71.0,76.0,13.0,11.0,76.0
72.0,82.0,12.0,6.0,82.0
73.0,84.0,8.0,8.0,84.0
74.0,87.0,7.0,6.0,87.0
75.0,80.0,9.0,11.0,80.0
76.0,91.0,4.0,5.0,91.0
77.0,73.0,19.0,8.0,73.0
78.0,78.0,14.0,8.0,78.0
79.0,83.0,13.0,4.0,83.0
80.0,82.0,10.0,8.0,82.0
81.0,87.0,8.0,5.0,87.0
82.0,79.0,13.0,8.0,79.0
83.0,82.0,13.0,5.0,82.0
84.0,85.0,9.0,6.0,85.0
85.0,83.0,8.0,9.0,83.0
86.0,84.0,9.0,7.0,84.0
87.0,83.0,13.0,4.0,83.0
88.0,85.0,11.0,4.0,85.0
89.0,79.0,11.0,10.0,79.0
90.0,78.0,15.0,7.0,78.0
91.0,82.0,11.0,7.0,82.0
92.0,80.0,16.0,4.0,80.0
93.0,81.0,12.0,7.0,81.0
94.0,83.0,8.0,9.0,83.0
95.0,78.0,17.0,5.0,78.0
96.0,80.0,9.0,11.0,80.0
97.0,86.0,8.0,6.0,86.0
98.0,82.0,11.0,7.0,82.0
99.0,77.0,10.0,13.0,77.0
100.0,86.0,5.0,9.0,86.0
