test,num_evaluacion,partida_eval,ganado,movimientos
Random DeepQ,1,1,1,4
Random DeepQ,1,2,0,3
Random DeepQ,1,3,1,3
Random DeepQ,1,4,1,4
Random DeepQ,1,5,0,3
Random DeepQ,1,6,0,4
Random DeepQ,1,7,1,4
Random DeepQ,1,8,0,4
Random DeepQ,1,9,1,3
Random DeepQ,1,10,0,4
Random DeepQ,1,11,0,3
Random DeepQ,1,12,0,3
Random DeepQ,1,13,1,5
Random DeepQ,1,14,0,4
Random DeepQ,1,15,1,4
Random DeepQ,1,16,0,3
Random DeepQ,1,17,1,5
Random DeepQ,1,18,1,3
Random DeepQ,1,19,0,4
Random DeepQ,1,20,0,3
Random DeepQ,1,21,1,5
Random DeepQ,1,22,0,4
Random DeepQ,1,23,1,5
Random DeepQ,1,24,0,3
Random DeepQ,1,25,0,5
Random DeepQ,1,26,0,3
Random DeepQ,1,27,1,5
Random DeepQ,1,28,0,2
Random DeepQ,1,29,1,4
Random DeepQ,1,30,0,5
Random DeepQ,1,31,0,4
Random DeepQ,1,32,0,3
Random DeepQ,1,33,0,4
Random DeepQ,1,34,0,4
Random DeepQ,1,35,1,4
Random DeepQ,1,36,0,3
Random DeepQ,1,37,0,3
Random DeepQ,1,38,0,4
Random DeepQ,1,39,1,3
Random DeepQ,1,40,1,4
Random DeepQ,1,41,0,5
Random DeepQ,1,42,0,3
Random DeepQ,1,43,0,4
Random DeepQ,1,44,0,4
Random DeepQ,1,45,1,3
Random DeepQ,1,46,0,3
Random DeepQ,1,47,0,5
Random DeepQ,1,48,1,4
Random DeepQ,1,49,0,3
Random DeepQ,1,50,0,4
Random DeepQ,1,51,1,3
Random DeepQ,1,52,0,4
Random DeepQ,1,53,1,4
Random DeepQ,1,54,0,2
Random DeepQ,1,55,1,3
Random DeepQ,1,56,0,4
Random DeepQ,1,57,0,5
Random DeepQ,1,58,0,3
Random DeepQ,1,59,0,3
Random DeepQ,1,60,0,4
Random DeepQ,1,61,0,5
Random DeepQ,1,62,0,4
Random DeepQ,1,63,0,4
Random DeepQ,1,64,0,4
Random DeepQ,1,65,1,4
Random DeepQ,1,66,1,4
Random DeepQ,1,67,1,5
Random DeepQ,1,68,0,3
Random DeepQ,1,69,0,5
Random DeepQ,1,70,0,4
Random DeepQ,1,71,0,5
Random DeepQ,1,72,0,3
Random DeepQ,1,73,1,4
Random DeepQ,1,74,1,4
Random DeepQ,1,75,1,4
Random DeepQ,1,76,0,4
Random DeepQ,1,77,1,5
Random DeepQ,1,78,0,5
Random DeepQ,1,79,0,4
Random DeepQ,1,80,0,3
Random DeepQ,1,81,1,4
Random DeepQ,1,82,0,4
Random DeepQ,1,83,1,5
Random DeepQ,1,84,0,4
Random DeepQ,1,85,0,5
Random DeepQ,1,86,0,3
Random DeepQ,1,87,1,4
Random DeepQ,1,88,0,3
Random DeepQ,1,89,0,4
Random DeepQ,1,90,0,3
Random DeepQ,1,91,1,4
Random DeepQ,1,92,0,3
Random DeepQ,1,93,1,4
Random DeepQ,1,94,0,4
Random DeepQ,1,95,1,4
Random DeepQ,1,96,0,3
Random DeepQ,1,97,1,5
Random DeepQ,1,98,0,4
Random DeepQ,1,99,0,5
Random DeepQ,1,100,0,3
Random DeepQ,2,1,0,4
Random DeepQ,2,2,0,4
Random DeepQ,2,3,1,5
Random DeepQ,2,4,0,2
Random DeepQ,2,5,0,5
Random DeepQ,2,6,0,4
Random DeepQ,2,7,1,5
Random DeepQ,2,8,0,4
Random DeepQ,2,9,0,3
Random DeepQ,2,10,1,4
Random DeepQ,2,11,0,5
Random DeepQ,2,12,0,5
Random DeepQ,2,13,1,5
Random DeepQ,2,14,0,5
Random DeepQ,2,15,0,5
Random DeepQ,2,16,1,4
Random DeepQ,2,17,1,5
Random DeepQ,2,18,0,3
Random DeepQ,2,19,0,3
Random DeepQ,2,20,0,5
Random DeepQ,2,21,1,3
Random DeepQ,2,22,0,4
Random DeepQ,2,23,0,5
Random DeepQ,2,24,0,5
Random DeepQ,2,25,1,3
Random DeepQ,2,26,0,4
Random DeepQ,2,27,0,5
Random DeepQ,2,28,0,5
Random DeepQ,2,29,1,4
Random DeepQ,2,30,0,4
Random DeepQ,2,31,0,4
Random DeepQ,2,32,0,2
Random DeepQ,2,33,0,5
Random DeepQ,2,34,0,2
Random DeepQ,2,35,0,3
Random DeepQ,2,36,0,3
Random DeepQ,2,37,0,5
Random DeepQ,2,38,1,3
Random DeepQ,2,39,1,5
Random DeepQ,2,40,0,4
Random DeepQ,2,41,0,4
Random DeepQ,2,42,0,4
Random DeepQ,2,43,1,4
Random DeepQ,2,44,0,2
Random DeepQ,2,45,1,5
Random DeepQ,2,46,0,5
Random DeepQ,2,47,1,5
Random DeepQ,2,48,0,5
Random DeepQ,2,49,0,4
Random DeepQ,2,50,0,3
Random DeepQ,2,51,0,5
Random DeepQ,2,52,0,4
Random DeepQ,2,53,1,5
Random DeepQ,2,54,0,3
Random DeepQ,2,55,1,4
Random DeepQ,2,56,0,2
Random DeepQ,2,57,0,4
Random DeepQ,2,58,0,4
Random DeepQ,2,59,0,4
Random DeepQ,2,60,0,3
Random DeepQ,2,61,0,4
Random DeepQ,2,62,0,2
Random DeepQ,2,63,0,4
Random DeepQ,2,64,0,4
Random DeepQ,2,65,1,5
Random DeepQ,2,66,0,4
Random DeepQ,2,67,1,5
Random DeepQ,2,68,0,4
Random DeepQ,2,69,1,5
Random DeepQ,2,70,0,2
Random DeepQ,2,71,0,4
Random DeepQ,2,72,0,3
Random DeepQ,2,73,0,5
Random DeepQ,2,74,0,3
Random DeepQ,2,75,1,5
Random DeepQ,2,76,0,4
Random DeepQ,2,77,0,5
Random DeepQ,2,78,1,4
Random DeepQ,2,79,0,4
Random DeepQ,2,80,0,4
Random DeepQ,2,81,1,5
Random DeepQ,2,82,0,4
Random DeepQ,2,83,1,5
Random DeepQ,2,84,0,3
Random DeepQ,2,85,0,3
Random DeepQ,2,86,0,5
Random DeepQ,2,87,0,4
Random DeepQ,2,88,0,3
Random DeepQ,2,89,1,5
Random DeepQ,2,90,0,3
Random DeepQ,2,91,1,4
Random DeepQ,2,92,0,4
Random DeepQ,2,93,0,4
Random DeepQ,2,94,0,2
Random DeepQ,2,95,0,4
Random DeepQ,2,96,0,4
Random DeepQ,2,97,1,5
Random DeepQ,2,98,0,3
Random DeepQ,2,99,1,5
Random DeepQ,2,100,0,5
Random DeepQ,3,1,1,5
Random DeepQ,3,2,0,4
Random DeepQ,3,3,0,4
Random DeepQ,3,4,0,4
Random DeepQ,3,5,1,5
Random DeepQ,3,6,1,4
Random DeepQ,3,7,1,4
Random DeepQ,3,8,1,3
Random DeepQ,3,9,1,4
Random DeepQ,3,10,0,2
Random DeepQ,3,11,1,3
Random DeepQ,3,12,1,5
Random DeepQ,3,13,1,3
Random DeepQ,3,14,0,5
Random DeepQ,3,15,0,3
Random DeepQ,3,16,0,3
